using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=1
i=0, infea=0.0256585, nnz_a=1.9846, nnz_b=2, uni_search=23.415, uni_subSolve=0.238564, uni_maintain=0.0973127, bi_search=3.58265, bi_subSolve=0.160064, bi_maintain=0.845124, admm_maintain=0.270662, area1=0.983594, area23=1.00317, area4=1.00035, dual_obj=-2574.26, overall time=44.4631
i=1, infea=0.0427681, nnz_a=2.90873, nnz_b=2.99835, uni_search=23.8432, uni_subSolve=0.345756, uni_maintain=0.143288, bi_search=4.12296, bi_subSolve=0.155223, bi_maintain=0.883222, admm_maintain=0.354962, area1=3.97234, area23=1.02237, area4=1.00047, dual_obj=-4962.88, overall time=78.6012
i=2, infea=0.0586283, nnz_a=3.75466, nnz_b=3.99371, uni_search=23.5403, uni_subSolve=0.417349, uni_maintain=0.211023, bi_search=6.6638, bi_subSolve=0.295852, bi_maintain=1.67142, admm_maintain=0.416183, area1=8.67532, area23=1.0202, area4=1.00036, dual_obj=-7262.7, overall time=116.052
i=3, infea=0.0716363, nnz_a=4.54394, nnz_b=4.98125, uni_search=23.6972, uni_subSolve=0.485725, uni_maintain=0.293753, bi_search=5.34765, bi_subSolve=0.24622, bi_maintain=1.3448, admm_maintain=0.448664, area1=14.7373, area23=1.01955, area4=1.00034, dual_obj=-9485.57, overall time=152.152
i=4, infea=0.0827475, nnz_a=5.28277, nnz_b=5.941, uni_search=23.8229, uni_subSolve=0.565393, uni_maintain=0.391285, bi_search=4.21741, bi_subSolve=0.221651, bi_maintain=1.1665, admm_maintain=0.489152, area1=22.362, area23=1.0187, area4=1.00022, dual_obj=-11633.4, overall time=187.047
i=5, infea=0.092392, nnz_a=5.97629, nnz_b=6.84825, uni_search=22.5363, uni_subSolve=0.544768, uni_maintain=0.412138, bi_search=6.24104, bi_subSolve=0.344983, bi_maintain=1.81493, admm_maintain=0.542042, area1=31.6489, area23=1.01798, area4=1.00019, dual_obj=-13711.1, overall time=223.552
i=6, infea=0.101273, nnz_a=6.62674, nnz_b=7.69633, uni_search=22.5456, uni_subSolve=0.604971, uni_maintain=0.472735, bi_search=4.54379, bi_subSolve=0.273626, bi_maintain=1.35247, admm_maintain=0.594613, area1=42.5115, area23=1.01765, area4=1.00026, dual_obj=-15727, overall time=257.911
i=7, infea=0.109528, nnz_a=7.23466, nnz_b=8.50587, uni_search=23.0589, uni_subSolve=0.683089, uni_maintain=0.554875, bi_search=4.73322, bi_subSolve=0.301361, bi_maintain=1.44975, admm_maintain=0.574697, area1=54.874, area23=1.0182, area4=1.00016, dual_obj=-17685.1, overall time=293.185
i=8, infea=0.117369, nnz_a=7.80469, nnz_b=9.28936, uni_search=22.4132, uni_subSolve=0.676401, uni_maintain=0.564347, bi_search=7.10271, bi_subSolve=0.413431, bi_maintain=2.10257, admm_maintain=1.01585, area1=68.7353, area23=1.01897, area4=1.0001, dual_obj=-19598.5, overall time=331.68
i=9, infea=0.124932, nnz_a=8.33373, nnz_b=10.0515, uni_search=22.8625, uni_subSolve=0.778842, uni_maintain=0.629596, bi_search=6.47618, bi_subSolve=0.388507, bi_maintain=1.9118, admm_maintain=0.858393, area1=84.0308, area23=1.02026, area4=1.00006, dual_obj=-21474.3, p_obj=196223, heldout Acc=0.252278, overall time=369.706
i=10, infea=0.132289, nnz_a=8.82703, nnz_b=10.7897, uni_search=24.8761, uni_subSolve=1.08587, uni_maintain=0.77931, bi_search=8.30995, bi_subSolve=0.572335, bi_maintain=2.76353, admm_maintain=0.912947, area1=100.779, area23=1.02219, area4=1.00015, dual_obj=-23325.6, overall time=413.691
