using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=0, infea=0.0127697, nnz_a=1.99906, nnz_b=2, uni_search=29.9424, uni_subSolve=0.172044, uni_maintain=0.0924915, bi_search=3544, bi_subSolve=0.405337, bi_maintain=0.61479, admm_maintain=0.164042, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1636.88, p_obj=218811, heldout Acc=0.166856, overall time=3584.77
i=1, infea=0.0181056, nnz_a=2.98936, nnz_b=3, uni_search=28.1364, uni_subSolve=0.168184, uni_maintain=0.112526, bi_search=3539.62, bi_subSolve=0.305743, bi_maintain=0.517725, admm_maintain=0.200395, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2825.98, p_obj=195909, heldout Acc=0.219248, overall time=7157.87
i=2, infea=0.021172, nnz_a=3.96287, nnz_b=4, uni_search=29.8067, uni_subSolve=0.223913, uni_maintain=0.152443, bi_search=3535.39, bi_subSolve=0.330229, bi_maintain=0.609692, admm_maintain=0.237229, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3723.7, p_obj=203770, heldout Acc=0.26139, overall time=10728.7
i=3, infea=0.0223805, nnz_a=4.88636, nnz_b=4.99978, uni_search=30.6421, uni_subSolve=0.277777, uni_maintain=0.19618, bi_search=3496.22, bi_subSolve=0.345501, bi_maintain=0.68698, admm_maintain=0.284594, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4402.89, p_obj=163355, heldout Acc=0.301253, overall time=14261.4
i=4, infea=0.0232114, nnz_a=5.70673, nnz_b=5.99772, uni_search=27.1578, uni_subSolve=0.275128, uni_maintain=0.229104, bi_search=3507.35, bi_subSolve=0.376333, bi_maintain=0.785649, admm_maintain=0.254829, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4959.36, p_obj=176767, heldout Acc=0.333144, overall time=17801.7
i=5, infea=0.024275, nnz_a=6.36977, nnz_b=6.98887, uni_search=27.3062, uni_subSolve=0.30598, uni_maintain=0.279201, bi_search=3517.59, bi_subSolve=0.399758, bi_maintain=0.882017, admm_maintain=0.284406, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5486.26, p_obj=188166, heldout Acc=0.317768 (1/100), overall time=21352.8
i=6, infea=0.0253932, nnz_a=6.91094, nnz_b=7.96451, uni_search=28.4219, uni_subSolve=0.361582, uni_maintain=0.343974, bi_search=3510.54, bi_subSolve=0.431865, bi_maintain=0.988335, admm_maintain=0.283553, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6033.32, p_obj=185095, heldout Acc=0.370159, overall time=24898.1
i=7, infea=0.0264187, nnz_a=7.3627, nnz_b=8.91448, uni_search=26.5898, uni_subSolve=0.347811, uni_maintain=0.339924, bi_search=3547.74, bi_subSolve=0.468998, bi_maintain=1.09275, admm_maintain=0.321853, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6605.45, p_obj=186861, heldout Acc=0.352506 (1/100), overall time=28479
i=8, infea=0.027353, nnz_a=7.75619, nnz_b=9.82977, uni_search=26.9507, uni_subSolve=0.390071, uni_maintain=0.376621, bi_search=3515.84, bi_subSolve=0.475632, bi_maintain=1.16235, admm_maintain=0.312068, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7191.21, p_obj=177568, heldout Acc=0.367312 (2/100), overall time=32028.5
i=9, infea=0.0282096, nnz_a=8.10213, nnz_b=10.7045, uni_search=26.5639, uni_subSolve=0.394588, uni_maintain=0.377836, bi_search=3539.18, bi_subSolve=0.509141, bi_maintain=1.26089, admm_maintain=0.346074, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7772.77, p_obj=188993, heldout Acc=0.375285, overall time=35601.1
i=10, infea=0.0289832, nnz_a=8.40975, nnz_b=11.5403, uni_search=26.7884, uni_subSolve=0.411564, uni_maintain=0.39937, bi_search=3495.8, bi_subSolve=0.517059, bi_maintain=1.32311, admm_maintain=0.371978, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8338.2, p_obj=195157, heldout Acc=0.384966, overall time=39130.7
