using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.0357306, nnz_a=1.98289, nnz_b=1.99999, uni_search=21.6283, uni_subSolve=0.206705, uni_maintain=0.0945087, bi_search=2.12669, bi_subSolve=0.105675, bi_maintain=1.04241, admm_maintain=0.221834, area1=0.981791, area23=1.00418, area4=1.0033, dual_obj=-2788.68, overall time=35.2075
i=1, infea=0.0642301, nnz_a=2.89602, nnz_b=2.97512, uni_search=22.0541, uni_subSolve=0.29607, uni_maintain=0.133466, bi_search=2.36161, bi_subSolve=0.111101, bi_maintain=1.17826, admm_maintain=0.277568, area1=3.92644, area23=1.01522, area4=1.00511, dual_obj=-5494.19, overall time=65.1407
i=2, infea=0.09047, nnz_a=3.71489, nnz_b=3.92478, uni_search=21.487, uni_subSolve=0.352777, uni_maintain=0.187136, bi_search=2.83231, bi_subSolve=0.151286, bi_maintain=1.49141, admm_maintain=0.308232, area1=8.83522, area23=1.01392, area4=1.00636, dual_obj=-8221.41, overall time=95.9454
i=3, infea=0.114714, nnz_a=4.46516, nnz_b=4.84288, uni_search=23.9401, uni_subSolve=0.532143, uni_maintain=0.298247, bi_search=3.65074, bi_subSolve=0.186291, bi_maintain=1.78757, admm_maintain=0.425689, area1=15.6519, area23=1.01215, area4=1.00717, dual_obj=-10978.5, overall time=130.92
i=4, infea=0.137027, nnz_a=5.15614, nnz_b=5.72746, uni_search=22.9731, uni_subSolve=0.557733, uni_maintain=0.330636, bi_search=4.71501, bi_subSolve=0.27746, bi_maintain=2.55373, admm_maintain=0.433652, area1=24.2524, area23=1.01062, area4=1.00678, dual_obj=-13767.3, overall time=166.789
i=5, infea=0.157552, nnz_a=5.79245, nnz_b=6.57666, uni_search=23.2207, uni_subSolve=0.608053, uni_maintain=0.435496, bi_search=6.92078, bi_subSolve=0.390259, bi_maintain=3.44056, admm_maintain=0.552268, area1=34.5341, area23=1.00979, area4=1.00742, dual_obj=-16576.8, overall time=206.589
i=6, infea=0.176745, nnz_a=6.38233, nnz_b=7.389, uni_search=23.213, uni_subSolve=0.656521, uni_maintain=0.504917, bi_search=6.06223, bi_subSolve=0.364475, bi_maintain=2.98995, admm_maintain=0.602829, area1=46.4916, area23=1.00905, area4=1.00752, dual_obj=-19404.3, overall time=245.109
i=7, infea=0.19489, nnz_a=6.9307, nnz_b=8.15811, uni_search=23.4779, uni_subSolve=0.714771, uni_maintain=0.564295, bi_search=6.31851, bi_subSolve=0.387899, bi_maintain=3.00277, admm_maintain=0.594822, area1=60.1279, area23=1.00871, area4=1.00718, dual_obj=-22236.3, overall time=284.503
i=8, infea=0.212447, nnz_a=7.44107, nnz_b=8.88121, uni_search=23.8495, uni_subSolve=0.809306, uni_maintain=0.664589, bi_search=6.2633, bi_subSolve=0.38725, bi_maintain=2.88549, admm_maintain=0.625302, area1=75.49, area23=1.00845, area4=1.00703, dual_obj=-25080.1, overall time=324.464
i=9, infea=0.229547, nnz_a=7.92005, nnz_b=9.5536, uni_search=24.1851, uni_subSolve=0.890615, uni_maintain=0.713367, bi_search=6.26635, bi_subSolve=0.3968, bi_maintain=2.84812, admm_maintain=0.762504, area1=92.5711, area23=1.00842, area4=1.00577, dual_obj=-27928.2, p_obj=235486, heldout Acc=0.169704, overall time=364.967
i=10, infea=0.246243, nnz_a=8.36207, nnz_b=10.1788, uni_search=22.8961, uni_subSolve=0.846731, uni_maintain=0.603768, bi_search=5.24391, bi_subSolve=0.382604, bi_maintain=2.4827, admm_maintain=0.55634, area1=111.364, area23=1.00867, area4=1.00562, dual_obj=-30779.5, overall time=401.821
i=11, infea=0.262563, nnz_a=8.78021, nnz_b=10.7587, uni_search=22.4289, uni_subSolve=0.848213, uni_maintain=0.581792, bi_search=5.05302, bi_subSolve=0.37645, bi_maintain=2.36422, admm_maintain=0.431485, area1=131.889, area23=1.00897, area4=1.00469, dual_obj=-33633.5, overall time=437.459
i=12, infea=0.27839, nnz_a=9.17316, nnz_b=11.3013, uni_search=21.1886, uni_subSolve=0.711219, uni_maintain=0.554696, bi_search=5.53298, bi_subSolve=0.405191, bi_maintain=2.52345, admm_maintain=0.580879, area1=154.149, area23=1.00922, area4=1.00388, dual_obj=-36486.9, overall time=473.08
i=13, infea=0.293621, nnz_a=9.54022, nnz_b=11.8061, uni_search=24.6861, uni_subSolve=1.15514, uni_maintain=0.899711, bi_search=7.19153, bi_subSolve=0.475588, bi_maintain=3.02563, admm_maintain=0.624464, area1=178.028, area23=1.00983, area4=1.00328, dual_obj=-39354.6, overall time=515.16
i=14, infea=0.308097, nnz_a=9.88793, nnz_b=12.2847, uni_search=23.185, uni_subSolve=0.960353, uni_maintain=0.784938, bi_search=7.55979, bi_subSolve=0.479256, bi_maintain=3.03543, admm_maintain=0.756817, area1=203.498, area23=1.01039, area4=1.00297, dual_obj=-42227.8, overall time=556.142
i=15, infea=0.321762, nnz_a=10.2176, nnz_b=12.7469, uni_search=20.837, uni_subSolve=0.718827, uni_maintain=0.610601, bi_search=4.51817, bi_subSolve=0.333567, bi_maintain=1.92665, admm_maintain=0.508508, area1=230.488, area23=1.01122, area4=1.00274, dual_obj=-45102.5, overall time=589.631
i=16, infea=0.334695, nnz_a=10.5313, nnz_b=13.1874, uni_search=24.493, uni_subSolve=1.21624, uni_maintain=1.01682, bi_search=5.6133, bi_subSolve=0.386903, bi_maintain=2.28415, admm_maintain=0.467494, area1=258.896, area23=1.01189, area4=1.00266, dual_obj=-47984.6, overall time=628.888
i=17, infea=0.347043, nnz_a=10.8249, nnz_b=13.6167, uni_search=20.0415, uni_subSolve=0.637849, uni_maintain=0.580822, bi_search=4.94766, bi_subSolve=0.354722, bi_maintain=2.01763, admm_maintain=0.52373, area1=288.823, area23=1.0127, area4=1.0021, dual_obj=-50866.9, overall time=661.262
i=18, infea=0.358922, nnz_a=11.1072, nnz_b=14.036, uni_search=21.418, uni_subSolve=0.822285, uni_maintain=0.700815, bi_search=8.87734, bi_subSolve=0.542875, bi_maintain=3.3464, admm_maintain=1.30828, area1=320.063, area23=1.0138, area4=1.00211, dual_obj=-53751.7, overall time=702.109
i=19, infea=0.370646, nnz_a=11.3784, nnz_b=14.4442, uni_search=22.2339, uni_subSolve=0.968167, uni_maintain=0.777421, bi_search=7.64471, bi_subSolve=0.459124, bi_maintain=2.73643, admm_maintain=0.789496, area1=352.621, area23=1.01469, area4=1.00187, dual_obj=-56630.6, p_obj=228238, heldout Acc=0.191913, overall time=741.686
i=20, infea=0.382102, nnz_a=11.6367, nnz_b=14.8404, uni_search=23.3514, uni_subSolve=1.02745, uni_maintain=1.0254, bi_search=11.9713, bi_subSolve=0.712055, bi_maintain=4.48144, admm_maintain=0.999645, area1=386.401, area23=1.01592, area4=1.00157, dual_obj=-59516, overall time=789.64
i=21, infea=0.393558, nnz_a=11.8845, nnz_b=15.2239, uni_search=24.135, uni_subSolve=1.26459, uni_maintain=0.999544, bi_search=12.8945, bi_subSolve=0.74414, bi_maintain=4.63288, admm_maintain=0.638588, area1=421.407, area23=1.01727, area4=1.00146, dual_obj=-62397.7, overall time=839.259
i=22, infea=0.405007, nnz_a=12.1224, nnz_b=15.5931, uni_search=22.3317, uni_subSolve=0.934695, uni_maintain=0.914607, bi_search=11.104, bi_subSolve=0.61309, bi_maintain=3.67393, admm_maintain=1.15243, area1=457.526, area23=1.01883, area4=1.00141, dual_obj=-65276.5, overall time=884.274
i=23, infea=0.416405, nnz_a=12.3543, nnz_b=15.946, uni_search=24.8632, uni_subSolve=1.41657, uni_maintain=1.17672, bi_search=16.0299, bi_subSolve=0.827649, bi_maintain=5.08776, admm_maintain=1.27831, area1=494.84, area23=1.02042, area4=1.00113, dual_obj=-68146.6, overall time=939.248
i=24, infea=0.427679, nnz_a=12.575, nnz_b=16.285, uni_search=22.0422, uni_subSolve=0.955674, uni_maintain=0.911667, bi_search=8.82304, bi_subSolve=0.476604, bi_maintain=2.71548, admm_maintain=0.807351, area1=533.189, area23=1.02239, area4=1.00121, dual_obj=-71016.6, overall time=980.016
i=25, infea=0.439028, nnz_a=12.796, nnz_b=16.6141, uni_search=23.2236, uni_subSolve=1.15358, uni_maintain=1.03164, bi_search=9.12492, bi_subSolve=0.499731, bi_maintain=2.82772, admm_maintain=0.824535, area1=572.727, area23=1.02425, area4=1.00132, dual_obj=-73871.7, overall time=1022.72
i=26, infea=0.450147, nnz_a=13.0027, nnz_b=16.9317, uni_search=22.2048, uni_subSolve=0.924598, uni_maintain=0.90551, bi_search=9.92023, bi_subSolve=0.506814, bi_maintain=2.95562, admm_maintain=0.899795, area1=613.399, area23=1.02641, area4=1.00104, dual_obj=-76725.8, overall time=1065.05
i=27, infea=0.461228, nnz_a=13.2033, nnz_b=17.2398, uni_search=24.1871, uni_subSolve=1.31344, uni_maintain=1.06984, bi_search=11.0853, bi_subSolve=0.566147, bi_maintain=3.30632, admm_maintain=0.844266, area1=655.138, area23=1.02848, area4=1.00089, dual_obj=-79576.1, overall time=1111.63
i=28, infea=0.472028, nnz_a=13.4001, nnz_b=17.5387, uni_search=22.1036, uni_subSolve=0.949856, uni_maintain=0.917799, bi_search=11.6349, bi_subSolve=0.554115, bi_maintain=3.24316, admm_maintain=0.877248, area1=697.958, area23=1.031, area4=1.00101, dual_obj=-82420.2, overall time=1155.72
i=29, infea=0.482772, nnz_a=13.5934, nnz_b=17.836, uni_search=21.2233, uni_subSolve=0.876304, uni_maintain=0.820729, bi_search=9.75173, bi_subSolve=0.492943, bi_maintain=2.69127, admm_maintain=0.895679, area1=741.809, area23=1.03331, area4=1.00106, dual_obj=-85258.6, p_obj=246903, heldout Acc=0.229499, overall time=1196.29
i=30, infea=0.493459, nnz_a=13.7781, nnz_b=18.1268, uni_search=22.6061, uni_subSolve=1.07466, uni_maintain=0.941305, bi_search=14.9124, bi_subSolve=0.693642, bi_maintain=4.13339, admm_maintain=0.855984, area1=786.708, area23=1.03594, area4=1.00115, dual_obj=-88088, overall time=1245.57
i=31, infea=0.504018, nnz_a=13.9605, nnz_b=18.4131, uni_search=21.9906, uni_subSolve=0.998378, uni_maintain=0.93865, bi_search=10.608, bi_subSolve=0.519991, bi_maintain=2.82275, admm_maintain=0.878364, area1=832.654, area23=1.03861, area4=1.0011, dual_obj=-90919.2, overall time=1288.24
i=32, infea=0.514468, nnz_a=14.1373, nnz_b=18.7008, uni_search=23.9999, uni_subSolve=1.31613, uni_maintain=1.24156, bi_search=12.353, bi_subSolve=0.570166, bi_maintain=3.16264, admm_maintain=1.11107, area1=879.754, area23=1.04146, area4=1.00111, dual_obj=-93723.3, overall time=1336.2
i=33, infea=0.524778, nnz_a=14.3113, nnz_b=18.9835, uni_search=23.2458, uni_subSolve=1.17403, uni_maintain=1.04519, bi_search=11.4192, bi_subSolve=0.563088, bi_maintain=3.03816, admm_maintain=0.612203, area1=927.707, area23=1.04452, area4=1.00147, dual_obj=-96519.4, overall time=1381.08
i=34, infea=0.534956, nnz_a=14.4801, nnz_b=19.2673, uni_search=20.8724, uni_subSolve=0.880717, uni_maintain=0.829171, bi_search=9.53676, bi_subSolve=0.491255, bi_maintain=2.48488, admm_maintain=0.618146, area1=976.768, area23=1.04764, area4=1.0013, dual_obj=-99292.9, overall time=1420.18
i=35, infea=0.545138, nnz_a=14.6413, nnz_b=19.5469, uni_search=22.6851, uni_subSolve=1.26921, uni_maintain=0.9705, bi_search=9.50343, bi_subSolve=0.491173, bi_maintain=2.44265, admm_maintain=0.621572, area1=1026.76, area23=1.05059, area4=1.00151, dual_obj=-102053, overall time=1461.75
i=36, infea=0.555075, nnz_a=14.8006, nnz_b=19.8243, uni_search=19.8121, uni_subSolve=0.789135, uni_maintain=0.709449, bi_search=9.80095, bi_subSolve=0.497564, bi_maintain=2.45705, admm_maintain=0.627532, area1=1077.72, area23=1.05407, area4=1.002, dual_obj=-104783, overall time=1499.71
i=37, infea=0.564914, nnz_a=14.9582, nnz_b=20.0948, uni_search=21.5109, uni_subSolve=1.02201, uni_maintain=0.915888, bi_search=11.968, bi_subSolve=0.546791, bi_maintain=2.80047, admm_maintain=0.781324, area1=1129.69, area23=1.05749, area4=1.00193, dual_obj=-107482, overall time=1542.94
i=38, infea=0.574523, nnz_a=15.1043, nnz_b=20.3625, uni_search=22.23, uni_subSolve=1.26925, uni_maintain=0.931438, bi_search=13.7992, bi_subSolve=0.634465, bi_maintain=3.31986, admm_maintain=0.751674, area1=1182.43, area23=1.0613, area4=1.00266, dual_obj=-110145, overall time=1589.75
i=39, infea=0.583842, nnz_a=15.2438, nnz_b=20.6223, uni_search=22.2227, uni_subSolve=1.2739, uni_maintain=0.942684, bi_search=14.7318, bi_subSolve=0.660347, bi_maintain=3.4548, admm_maintain=0.724625, area1=1235.9, area23=1.06496, area4=1.00273, dual_obj=-112753, p_obj=195163, heldout Acc=0.291572, overall time=1637.65
i=40, infea=0.592832, nnz_a=15.3815, nnz_b=20.8682, uni_search=21.799, uni_subSolve=1.05246, uni_maintain=1.02709, bi_search=11.3507, bi_subSolve=0.533113, bi_maintain=2.56803, admm_maintain=0.635118, area1=1290.41, area23=1.06877, area4=1.00298, dual_obj=-115304, overall time=1680.09
i=41, infea=0.601387, nnz_a=15.5092, nnz_b=21.1082, uni_search=20.4724, uni_subSolve=0.892804, uni_maintain=0.826262, bi_search=10.1875, bi_subSolve=0.506953, bi_maintain=2.34063, admm_maintain=0.596333, area1=1345.42, area23=1.07284, area4=1.00374, dual_obj=-117785, overall time=1719.19
i=42, infea=0.609348, nnz_a=15.6341, nnz_b=21.3424, uni_search=20.8835, uni_subSolve=0.957559, uni_maintain=0.89806, bi_search=13.5062, bi_subSolve=0.576079, bi_maintain=2.82859, admm_maintain=0.940198, area1=1401.11, area23=1.0769, area4=1.00389, dual_obj=-120201, overall time=1763.47
i=43, infea=0.616912, nnz_a=15.7586, nnz_b=21.564, uni_search=22.1498, uni_subSolve=1.10854, uni_maintain=1.08172, bi_search=16.1435, bi_subSolve=0.627716, bi_maintain=3.18226, admm_maintain=0.972871, area1=1457.4, area23=1.08118, area4=1.00429, dual_obj=-122510, overall time=1812.64
i=44, infea=0.623798, nnz_a=15.8731, nnz_b=21.7771, uni_search=22.3846, uni_subSolve=1.14371, uni_maintain=1.12721, bi_search=16.1974, bi_subSolve=0.634092, bi_maintain=3.15213, admm_maintain=0.964357, area1=1514.26, area23=1.08589, area4=1.00496, dual_obj=-124733, overall time=1862.38
i=45, infea=0.630016, nnz_a=15.9832, nnz_b=21.9805, uni_search=23.2366, uni_subSolve=1.26898, uni_maintain=1.31407, bi_search=16.8077, bi_subSolve=0.643025, bi_maintain=3.18531, admm_maintain=0.971711, area1=1571.77, area23=1.09034, area4=1.00556, dual_obj=-126846, overall time=1914.04
i=46, infea=0.635709, nnz_a=16.0891, nnz_b=22.1689, uni_search=21.9337, uni_subSolve=1.11458, uni_maintain=1.09661, bi_search=15.1842, bi_subSolve=0.60413, bi_maintain=2.88391, admm_maintain=0.843472, area1=1629.55, area23=1.09509, area4=1.00631, dual_obj=-128851, overall time=1961.42
