using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=0, infea=0.0198397, nnz_a=1.9749, nnz_b=1.99971, uni_search=0.670915, uni_subSolve=0.0785095, uni_maintain=0.0200355, bi_search=0.507064, bi_subSolve=0.092327, bi_maintain=0.0540652, admm_maintain=0.226624, area1=1.22145, area23=1.06488, area4=1.10773, dual_obj=-1285.49, p_obj=62840.2, heldout Acc=0.869501, overall time=3.55674
i=1, infea=0.0137382, nnz_a=2.1011, nnz_b=2.95146, uni_search=0.726307, uni_subSolve=0.0786622, uni_maintain=0.0309748, bi_search=0.654726, bi_subSolve=0.0995695, bi_maintain=0.0617266, admm_maintain=0.271394, area1=3.69797, area23=1.11321, area4=1.10977, dual_obj=-1402.16, p_obj=78093.6, heldout Acc=0.885055, overall time=6.6407
i=2, infea=0.0122173, nnz_a=2.40416, nnz_b=3.8161, uni_search=0.594782, uni_subSolve=0.0855214, uni_maintain=0.0346554, bi_search=0.565789, bi_subSolve=0.106552, bi_maintain=0.0688763, admm_maintain=0.290307, area1=5.87236, area23=1.17734, area4=1.36766, dual_obj=-1777.99, p_obj=68752.1, heldout Acc=0.895971, overall time=9.54075
i=3, infea=0.0103744, nnz_a=2.67067, nnz_b=4.57498, uni_search=0.623941, uni_subSolve=0.0865658, uni_maintain=0.0375835, bi_search=0.749236, bi_subSolve=0.116896, bi_maintain=0.0803094, admm_maintain=0.296818, area1=7.96763, area23=1.28716, area4=1.94968, dual_obj=-2033.76, p_obj=68700, heldout Acc=0.902061, overall time=12.7229
i=4, infea=0.00934735, nnz_a=2.96181, nnz_b=5.20999, uni_search=0.69936, uni_subSolve=0.0898708, uni_maintain=0.0367563, bi_search=0.731442, bi_subSolve=0.129833, bi_maintain=0.0869723, admm_maintain=0.340946, area1=10.0767, area23=1.41484, area4=2.57103, dual_obj=-2279.83, p_obj=68734.8, heldout Acc=0.904821, overall time=16.0347
i=5, infea=0.00872678, nnz_a=3.27654, nnz_b=5.82114, uni_search=0.736642, uni_subSolve=0.0966854, uni_maintain=0.038029, bi_search=0.737356, bi_subSolve=0.135081, bi_maintain=0.0931311, admm_maintain=0.314655, area1=12.342, area23=1.54366, area4=3.17751, dual_obj=-2507.8, p_obj=62405.1, heldout Acc=0.905182, overall time=19.4171
i=6, infea=0.00824193, nnz_a=3.60377, nnz_b=6.42341, uni_search=0.676545, uni_subSolve=0.0964779, uni_maintain=0.0390103, bi_search=0.732508, bi_subSolve=0.136641, bi_maintain=0.101524, admm_maintain=0.318523, area1=14.9344, area23=1.66066, area4=3.67698, dual_obj=-2717.55, p_obj=59192.5, heldout Acc=0.903802 (1/1000), overall time=22.714
i=7, infea=0.0078612, nnz_a=3.91649, nnz_b=7.01053, uni_search=0.624874, uni_subSolve=0.096482, uni_maintain=0.0424323, bi_search=0.807629, bi_subSolve=0.140243, bi_maintain=0.10581, admm_maintain=0.321544, area1=17.952, area23=1.76088, area4=4.2375, dual_obj=-2900.68, p_obj=59030.6, heldout Acc=0.906319, overall time=26.0584
i=8, infea=0.00753443, nnz_a=4.21118, nnz_b=7.57412, uni_search=0.63233, uni_subSolve=0.0990215, uni_maintain=0.0405179, bi_search=0.845857, bi_subSolve=0.146744, bi_maintain=0.111731, admm_maintain=0.335676, area1=21.3512, area23=1.84566, area4=4.81355, dual_obj=-3063.59, p_obj=51994.9, heldout Acc=0.908538, overall time=29.4773
i=9, infea=0.00721817, nnz_a=4.48391, nnz_b=8.09152, uni_search=0.641522, uni_subSolve=0.10142, uni_maintain=0.0414243, bi_search=0.882075, bi_subSolve=0.15095, bi_maintain=0.117793, admm_maintain=0.343834, area1=25.1115, area23=1.91467, area4=5.35755, dual_obj=-3210.6, p_obj=49881.3, heldout Acc=0.906256 (1/1000), overall time=32.9617
i=10, infea=0.00688931, nnz_a=4.73686, nnz_b=8.55947, uni_search=0.72996, uni_subSolve=0.110174, uni_maintain=0.0428079, bi_search=0.930867, bi_subSolve=0.162956, bi_maintain=0.12228, admm_maintain=0.375663, area1=29.235, area23=1.96373, area4=5.86566, dual_obj=-3344.97, p_obj=50781.7, heldout Acc=0.908719, overall time=36.7116
i=11, infea=0.00655453, nnz_a=4.96858, nnz_b=8.9664, uni_search=0.718692, uni_subSolve=0.111195, uni_maintain=0.0439736, bi_search=0.95658, bi_subSolve=0.167866, bi_maintain=0.126948, admm_maintain=0.373276, area1=33.7043, area23=1.99475, area4=6.35469, dual_obj=-3468.74, p_obj=46859.1, heldout Acc=0.906878 (1/1000), overall time=40.4739
i=12, infea=0.00621509, nnz_a=5.18426, nnz_b=9.32533, uni_search=0.637563, uni_subSolve=0.10706, uni_maintain=0.0446934, bi_search=0.912955, bi_subSolve=0.162843, bi_maintain=0.132568, admm_maintain=0.363535, area1=38.5199, area23=2.01363, area4=6.78695, dual_obj=-3583.75, p_obj=46027.2, heldout Acc=0.907726 (2/1000), overall time=44.0608
i=13, infea=0.00588358, nnz_a=5.38368, nnz_b=9.63095, uni_search=0.650346, uni_subSolve=0.1112, uni_maintain=0.0462512, bi_search=0.947967, bi_subSolve=0.168132, bi_maintain=0.135963, admm_maintain=0.361929, area1=43.6803, area23=2.02252, area4=7.17965, dual_obj=-3691.48, p_obj=44565.5, heldout Acc=0.907086 (3/1000), overall time=47.7818
i=14, infea=0.0055688, nnz_a=5.56355, nnz_b=9.8916, uni_search=0.64413, uni_subSolve=0.112787, uni_maintain=0.0465208, bi_search=0.976031, bi_subSolve=0.172293, bi_maintain=0.140308, admm_maintain=0.359401, area1=49.2351, area23=2.02394, area4=7.57316, dual_obj=-3792.74, p_obj=45936.5, heldout Acc=0.909666, overall time=51.4722
i=15, infea=0.00527208, nnz_a=5.7278, nnz_b=10.1094, uni_search=0.662267, uni_subSolve=0.116206, uni_maintain=0.0479685, bi_search=1.10188, bi_subSolve=0.187134, bi_maintain=0.144005, admm_maintain=0.398398, area1=55.2025, area23=2.02122, area4=7.93769, dual_obj=-3888.84, p_obj=45981.3, heldout Acc=0.909927, overall time=55.3936
i=16, infea=0.0049937, nnz_a=5.87733, nnz_b=10.2904, uni_search=0.730022, uni_subSolve=0.123753, uni_maintain=0.0490685, bi_search=1.1312, bi_subSolve=0.189914, bi_maintain=0.148084, admm_maintain=0.378961, area1=61.584, area23=2.01267, area4=8.27488, dual_obj=-3980.41, p_obj=41249.4, heldout Acc=0.910478, overall time=59.4505
i=17, infea=0.00473804, nnz_a=6.00311, nnz_b=10.4378, uni_search=0.651576, uni_subSolve=0.119157, uni_maintain=0.0500236, bi_search=1.08956, bi_subSolve=0.182395, bi_maintain=0.153301, admm_maintain=0.368666, area1=68.4258, area23=2.00044, area4=8.63231, dual_obj=-4067.97, p_obj=41018.4, heldout Acc=0.911263, overall time=63.3291
