using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.237254, nnz_a=1.59354, nnz_b=1.99466, uni_search=0.263222, uni_subSolve=0.0369602, uni_maintain=0.0224848, bi_search=0.230237, bi_subSolve=0.0438892, bi_maintain=0.0606871, admm_maintain=0.103097, area1=0.324834, area23=1.03383, area4=1.13079, dual_obj=-14133.4, p_obj=35794.3, heldout Acc=0.859532, overall time=2.2287
i=1, infea=0.295026, nnz_a=1.97141, nnz_b=2.63267, uni_search=0.313242, uni_subSolve=0.0438684, uni_maintain=0.027792, bi_search=0.322026, bi_subSolve=0.0494281, bi_maintain=0.0821168, admm_maintain=0.122236, area1=2.53214, area23=1.12629, area4=1.22626, dual_obj=-21067.2, p_obj=32273, heldout Acc=0.880508, overall time=4.00424
i=2, infea=0.308039, nnz_a=2.32608, nnz_b=3.17479, uni_search=0.264243, uni_subSolve=0.0438848, uni_maintain=0.0332941, bi_search=0.295279, bi_subSolve=0.0566157, bi_maintain=0.097261, admm_maintain=0.122711, area1=4.12055, area23=1.14757, area4=1.30779, dual_obj=-23614.1, p_obj=29726.8, heldout Acc=0.887662, overall time=5.71698
i=3, infea=0.309413, nnz_a=2.56962, nnz_b=3.66772, uni_search=0.290912, uni_subSolve=0.0474338, uni_maintain=0.032018, bi_search=0.343519, bi_subSolve=0.0638151, bi_maintain=0.10947, admm_maintain=0.13147, area1=5.67401, area23=1.16633, area4=1.3654, dual_obj=-24600.4, p_obj=32445.6, heldout Acc=0.895547, overall time=7.54981
i=4, infea=0.302555, nnz_a=2.71092, nnz_b=4.11575, uni_search=0.271417, uni_subSolve=0.0501654, uni_maintain=0.0341827, bi_search=0.349419, bi_subSolve=0.0693436, bi_maintain=0.119064, admm_maintain=0.129562, area1=7.1298, area23=1.19021, area4=1.4113, dual_obj=-25000.3, p_obj=29919.6, heldout Acc=0.896278, overall time=9.38545
i=5, infea=0.282605, nnz_a=2.7896, nnz_b=4.51162, uni_search=0.271629, uni_subSolve=0.0520144, uni_maintain=0.0355246, bi_search=0.358591, bi_subSolve=0.0741843, bi_maintain=0.126537, admm_maintain=0.131818, area1=8.46047, area23=1.2181, area4=1.44429, dual_obj=-25268.8, p_obj=31704.4, heldout Acc=0.902214, overall time=11.2513
i=6, infea=0.25649, nnz_a=2.86139, nnz_b=4.82056, uni_search=0.263835, uni_subSolve=0.0525064, uni_maintain=0.0359125, bi_search=0.367555, bi_subSolve=0.0779093, bi_maintain=0.13323, admm_maintain=0.13185, area1=9.71085, area23=1.25146, area4=1.49638, dual_obj=-25557.4, p_obj=32881.1, heldout Acc=0.901231 (1/1000), overall time=13.1275
i=7, infea=0.233292, nnz_a=2.94378, nnz_b=5.03397, uni_search=0.272015, uni_subSolve=0.053462, uni_maintain=0.0359129, bi_search=0.384529, bi_subSolve=0.0807658, bi_maintain=0.134871, admm_maintain=0.131865, area1=10.9158, area23=1.30231, area4=1.59678, dual_obj=-25812.6, p_obj=32323.2, heldout Acc=0.899643 (2/1000), overall time=15.0485
i=8, infea=0.216501, nnz_a=3.03509, nnz_b=5.17455, uni_search=0.275195, uni_subSolve=0.0544191, uni_maintain=0.0360749, bi_search=0.398019, bi_subSolve=0.0828261, bi_maintain=0.133788, admm_maintain=0.161064, area1=12.1193, area23=1.36219, area4=1.72326, dual_obj=-25995.5, p_obj=31513.3, heldout Acc=0.90963, overall time=17.0019
i=9, infea=0.205892, nnz_a=3.14568, nnz_b=5.29055, uni_search=0.270593, uni_subSolve=0.0556811, uni_maintain=0.0363113, bi_search=0.412491, bi_subSolve=0.0842117, bi_maintain=0.130106, admm_maintain=0.133163, area1=13.3615, area23=1.43392, area4=1.90284, dual_obj=-26121.8, p_obj=31804.2, heldout Acc=0.913644, overall time=18.9391
i=10, infea=0.198989, nnz_a=3.25977, nnz_b=5.40738, uni_search=0.27071, uni_subSolve=0.0567771, uni_maintain=0.0379691, bi_search=0.431638, bi_subSolve=0.0855588, bi_maintain=0.125206, admm_maintain=0.136637, area1=14.6671, area23=1.50704, area4=2.14077, dual_obj=-26213.4, p_obj=29203.3, heldout Acc=0.914519, overall time=20.8987
