using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.237254, nnz_a=1.59192, nnz_b=1.99468, uni_search=0.283542, uni_subSolve=0.0378245, uni_maintain=0.0225205, bi_search=1.05368, bi_subSolve=0.0457534, bi_maintain=0.0627241, admm_maintain=0.106408, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14103.4, p_obj=36279.2, heldout Acc=0.861571, overall time=3.08726
i=1, infea=0.294966, nnz_a=1.97554, nnz_b=2.64851, uni_search=0.307427, uni_subSolve=0.0427042, uni_maintain=0.0269756, bi_search=1.09282, bi_subSolve=0.0513755, bi_maintain=0.0842534, admm_maintain=0.127439, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21032.2, p_obj=33399.6, heldout Acc=0.871279, overall time=5.63998
i=2, infea=0.309425, nnz_a=2.33054, nnz_b=3.20329, uni_search=0.273529, uni_subSolve=0.0444994, uni_maintain=0.0343737, bi_search=1.03471, bi_subSolve=0.0589334, bi_maintain=0.0993966, admm_maintain=0.153587, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23602.1, p_obj=28591.3, heldout Acc=0.890738, overall time=8.1663
i=3, infea=0.311645, nnz_a=2.57576, nnz_b=3.69841, uni_search=0.337846, uni_subSolve=0.0508593, uni_maintain=0.033697, bi_search=1.08336, bi_subSolve=0.0664432, bi_maintain=0.122842, admm_maintain=0.145527, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24622.1, p_obj=26656.6, heldout Acc=0.896142, overall time=10.8882
i=4, infea=0.304689, nnz_a=2.72135, nnz_b=4.14695, uni_search=0.301119, uni_subSolve=0.0516657, uni_maintain=0.0343053, bi_search=1.06308, bi_subSolve=0.070516, bi_maintain=0.125984, admm_maintain=0.146851, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25019.2, p_obj=31130.1, heldout Acc=0.896927, overall time=13.5216
i=5, infea=0.284115, nnz_a=2.81428, nnz_b=4.54284, uni_search=0.29642, uni_subSolve=0.0534304, uni_maintain=0.0350816, bi_search=1.05576, bi_subSolve=0.074776, bi_maintain=0.133891, admm_maintain=0.145818, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25278.8, p_obj=32291, heldout Acc=0.89146 (1/1000), overall time=16.1552
i=6, infea=0.257116, nnz_a=2.88686, nnz_b=4.84929, uni_search=0.293515, uni_subSolve=0.0543762, uni_maintain=0.0359833, bi_search=1.05611, bi_subSolve=0.0790582, bi_maintain=0.142164, admm_maintain=0.145736, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25561.1, p_obj=31498.1, heldout Acc=0.908484, overall time=18.8564
i=7, infea=0.233029, nnz_a=2.96861, nnz_b=5.05186, uni_search=0.38936, uni_subSolve=0.068865, uni_maintain=0.037863, bi_search=1.16886, bi_subSolve=0.102498, bi_maintain=0.157367, admm_maintain=0.186362, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25817.4, p_obj=32779.3, heldout Acc=0.895863 (1/1000), overall time=21.9689
i=8, infea=0.21555, nnz_a=3.05649, nnz_b=5.18298, uni_search=0.394154, uni_subSolve=0.0703832, uni_maintain=0.0376943, bi_search=1.1702, bi_subSolve=0.106041, bi_maintain=0.157174, admm_maintain=0.187773, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26004.9, p_obj=31802.9, heldout Acc=0.903675 (2/1000), overall time=25.101
i=9, infea=0.20463, nnz_a=3.15694, nnz_b=5.29473, uni_search=0.391792, uni_subSolve=0.0721399, uni_maintain=0.0382556, bi_search=1.16108, bi_subSolve=0.106226, bi_maintain=0.152512, admm_maintain=0.184457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26130.4, p_obj=32794.4, heldout Acc=0.907889 (3/1000), overall time=28.2084
i=10, infea=0.197602, nnz_a=3.2667, nnz_b=5.40453, uni_search=0.379972, uni_subSolve=0.072025, uni_maintain=0.0385226, bi_search=1.15677, bi_subSolve=0.106893, bi_maintain=0.146738, admm_maintain=0.18648, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26222, p_obj=31395.5, heldout Acc=0.917271, overall time=31.2928
i=11, infea=0.192262, nnz_a=3.38188, nnz_b=5.50743, uni_search=0.380563, uni_subSolve=0.0732779, uni_maintain=0.0395678, bi_search=1.15813, bi_subSolve=0.107914, bi_maintain=0.141726, admm_maintain=0.187767, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26289, p_obj=32092.8, heldout Acc=0.916549 (1/1000), overall time=34.4379
i=12, infea=0.187479, nnz_a=3.50287, nnz_b=5.6046, uni_search=0.450113, uni_subSolve=0.0788742, uni_maintain=0.0403216, bi_search=1.18724, bi_subSolve=0.114636, bi_maintain=0.148364, admm_maintain=0.231838, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26344.6, p_obj=31087.6, heldout Acc=0.916775 (2/1000), overall time=37.7482
i=13, infea=0.182567, nnz_a=3.62075, nnz_b=5.68618, uni_search=0.451186, uni_subSolve=0.0800123, uni_maintain=0.0409055, bi_search=1.18135, bi_subSolve=0.115294, bi_maintain=0.144639, admm_maintain=0.235473, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26401.6, p_obj=29356.8, heldout Acc=0.919454, overall time=41.059
i=14, infea=0.177103, nnz_a=3.73141, nnz_b=5.75123, uni_search=0.452429, uni_subSolve=0.0814557, uni_maintain=0.0430853, bi_search=1.17946, bi_subSolve=0.116442, bi_maintain=0.141342, admm_maintain=0.237702, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26458.7, p_obj=29571.3, heldout Acc=0.919066 (1/1000), overall time=44.3761
i=15, infea=0.171268, nnz_a=3.8302, nnz_b=5.80949, uni_search=0.455055, uni_subSolve=0.0826526, uni_maintain=0.0426437, bi_search=1.17255, bi_subSolve=0.116314, bi_maintain=0.1388, admm_maintain=0.24011, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26512.1, p_obj=27887.2, heldout Acc=0.919599, overall time=47.6842
