using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=0, infea=0.0108335, nnz_a=2, nnz_b=1.99975, uni_search=0.228705, uni_subSolve=0.0342986, uni_maintain=0.0165531, bi_search=1.0264, bi_subSolve=0.0524945, bi_maintain=0.0445953, admm_maintain=0.0876827, area1=-nan, area23=-nan, area4=-nan, dual_obj=-945.643, p_obj=76410, heldout Acc=0.883476, overall time=2.91224
i=1, infea=0.014268, nnz_a=2.61667, nnz_b=2.95175, uni_search=0.321338, uni_subSolve=0.0425289, uni_maintain=0.0233669, bi_search=1.06626, bi_subSolve=0.119024, bi_maintain=0.0561678, admm_maintain=0.122381, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1614.11, p_obj=70895.8, heldout Acc=0.896584, overall time=5.50008
i=2, infea=0.0165725, nnz_a=2.98971, nnz_b=3.82817, uni_search=0.207736, uni_subSolve=0.0380305, uni_maintain=0.0288818, bi_search=1.0048, bi_subSolve=0.0797152, bi_maintain=0.0503958, admm_maintain=0.100218, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2186.85, p_obj=65966.2, heldout Acc=0.898542, overall time=7.76947
i=3, infea=0.0181121, nnz_a=3.27178, nnz_b=4.59585, uni_search=0.232641, uni_subSolve=0.0405585, uni_maintain=0.0330657, bi_search=1.02264, bi_subSolve=0.104004, bi_maintain=0.0558346, admm_maintain=0.105648, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2718.91, p_obj=58597, heldout Acc=0.909305, overall time=10.1556
i=4, infea=0.0193327, nnz_a=3.53151, nnz_b=5.27901, uni_search=0.219838, uni_subSolve=0.0429954, uni_maintain=0.0349335, bi_search=1.00843, bi_subSolve=0.0844115, bi_maintain=0.060556, admm_maintain=0.106014, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3216.45, p_obj=58839.9, heldout Acc=0.914402, overall time=12.4804
i=5, infea=0.0203782, nnz_a=3.76992, nnz_b=5.88812, uni_search=0.261989, uni_subSolve=0.0503061, uni_maintain=0.0399562, bi_search=1.04731, bi_subSolve=0.0925782, bi_maintain=0.079227, admm_maintain=0.150596, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3683.47, p_obj=55182.4, heldout Acc=0.910523 (1/1000), overall time=15.0589
i=6, infea=0.021327, nnz_a=3.99351, nnz_b=6.4358, uni_search=0.261551, uni_subSolve=0.0520252, uni_maintain=0.0410079, bi_search=1.04717, bi_subSolve=0.096447, bi_maintain=0.0823999, admm_maintain=0.127914, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4125.23, p_obj=50137.6, heldout Acc=0.915548, overall time=17.6282
i=7, infea=0.0222024, nnz_a=4.20702, nnz_b=6.9288, uni_search=0.26706, uni_subSolve=0.053088, uni_maintain=0.0395568, bi_search=1.05708, bi_subSolve=0.122185, bi_maintain=0.0877556, admm_maintain=0.134413, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4544.49, p_obj=48726.8, heldout Acc=0.918669, overall time=20.2595
i=8, infea=0.0230372, nnz_a=4.40726, nnz_b=7.37524, uni_search=0.277758, uni_subSolve=0.0546835, uni_maintain=0.040314, bi_search=1.05704, bi_subSolve=0.122045, bi_maintain=0.0899297, admm_maintain=0.137851, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4945.05, p_obj=48994.4, heldout Acc=0.921538, overall time=22.9043
i=9, infea=0.0238204, nnz_a=4.60156, nnz_b=7.78066, uni_search=0.234876, uni_subSolve=0.0508126, uni_maintain=0.0406093, bi_search=1.02078, bi_subSolve=0.112324, bi_maintain=0.0832209, admm_maintain=0.124134, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5328.89, p_obj=47029.7, heldout Acc=0.921448 (1/1000), overall time=25.3699
i=10, infea=0.0245828, nnz_a=4.78784, nnz_b=8.14888, uni_search=0.237826, uni_subSolve=0.0519472, uni_maintain=0.0414013, bi_search=1.02281, bi_subSolve=0.114553, bi_maintain=0.0866634, admm_maintain=0.124255, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5697.18, p_obj=48965.6, heldout Acc=0.920997 (2/1000), overall time=27.8456
