using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=0, infea=0.0685696, nnz_a=1.73076, nnz_b=1.99845, uni_search=0.285616, uni_subSolve=0.0383469, uni_maintain=0.0208196, bi_search=1.04089, bi_subSolve=0.0532056, bi_maintain=0.0571164, admm_maintain=0.106704, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4950.85, p_obj=44257.9, heldout Acc=0.884017, overall time=3.07978
i=1, infea=0.0964629, nnz_a=2.22182, nnz_b=2.97051, uni_search=0.322559, uni_subSolve=0.0416906, uni_maintain=0.0256461, bi_search=1.04978, bi_subSolve=0.114415, bi_maintain=0.0654834, admm_maintain=0.152301, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7769.51, p_obj=41339.7, heldout Acc=0.890955, overall time=5.6733
i=2, infea=0.115427, nnz_a=2.56615, nnz_b=3.88387, uni_search=0.279354, uni_subSolve=0.0432411, uni_maintain=0.0344596, bi_search=1.02705, bi_subSolve=0.0773235, bi_maintain=0.0726898, admm_maintain=0.128656, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9999.72, p_obj=37080.1, heldout Acc=0.896954, overall time=8.16211
i=3, infea=0.128821, nnz_a=2.85205, nnz_b=4.71679, uni_search=0.304619, uni_subSolve=0.0447336, uni_maintain=0.0324916, bi_search=1.04996, bi_subSolve=0.11895, bi_maintain=0.0803534, admm_maintain=0.134061, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11979.2, p_obj=37273.4, heldout Acc=0.898849, overall time=10.7856
i=4, infea=0.13869, nnz_a=3.10019, nnz_b=5.48189, uni_search=0.286605, uni_subSolve=0.0466664, uni_maintain=0.034042, bi_search=1.03155, bi_subSolve=0.0902086, bi_maintain=0.0867583, admm_maintain=0.13867, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13789.4, p_obj=35521.3, heldout Acc=0.901005, overall time=13.3309
i=5, infea=0.146522, nnz_a=3.32912, nnz_b=6.18832, uni_search=0.283168, uni_subSolve=0.0482357, uni_maintain=0.0351559, bi_search=1.03267, bi_subSolve=0.0945792, bi_maintain=0.0926375, admm_maintain=0.140808, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15455.6, p_obj=33907.8, heldout Acc=0.904758, overall time=15.8908
i=6, infea=0.152726, nnz_a=3.53987, nnz_b=6.83972, uni_search=0.281242, uni_subSolve=0.0494661, uni_maintain=0.0380882, bi_search=1.03192, bi_subSolve=0.0996205, bi_maintain=0.0981991, admm_maintain=0.1424, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16986.9, p_obj=31953.9, heldout Acc=0.908628, overall time=18.4728
i=7, infea=0.157516, nnz_a=3.73614, nnz_b=7.43856, uni_search=0.294074, uni_subSolve=0.0506258, uni_maintain=0.0371413, bi_search=1.02813, bi_subSolve=0.121917, bi_maintain=0.103091, admm_maintain=0.132072, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18360.9, p_obj=33893.5, heldout Acc=0.908782, overall time=21.0702
i=8, infea=0.160641, nnz_a=3.92259, nnz_b=7.9929, uni_search=0.258842, uni_subSolve=0.0497493, uni_maintain=0.0377042, bi_search=1.02623, bi_subSolve=0.123056, bi_maintain=0.106875, admm_maintain=0.135009, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19538.9, p_obj=30420.2, heldout Acc=0.912372, overall time=23.6289
i=9, infea=0.162345, nnz_a=4.10211, nnz_b=8.50716, uni_search=0.256896, uni_subSolve=0.0510418, uni_maintain=0.0384607, bi_search=1.02717, bi_subSolve=0.122041, bi_maintain=0.110292, admm_maintain=0.137163, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20523.7, p_obj=32341.5, heldout Acc=0.913293, overall time=26.1992
i=10, infea=0.163117, nnz_a=4.27825, nnz_b=8.98091, uni_search=0.255969, uni_subSolve=0.0517507, uni_maintain=0.0390149, bi_search=1.02476, bi_subSolve=0.120537, bi_maintain=0.112953, admm_maintain=0.130498, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21340.2, p_obj=29288.7, heldout Acc=0.915864, overall time=28.8115
i=11, infea=0.163162, nnz_a=4.4493, nnz_b=9.42305, uni_search=0.24338, uni_subSolve=0.0506124, uni_maintain=0.0391517, bi_search=1.01595, bi_subSolve=0.120119, bi_maintain=0.113249, admm_maintain=0.133651, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22016.9, p_obj=30392, heldout Acc=0.909964 (1/1000), overall time=31.338
i=12, infea=0.162898, nnz_a=4.61987, nnz_b=9.83348, uni_search=0.243406, uni_subSolve=0.0510348, uni_maintain=0.039522, bi_search=1.01684, bi_subSolve=0.121504, bi_maintain=0.115448, admm_maintain=0.132284, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22579, p_obj=29136.7, heldout Acc=0.912661 (2/1000), overall time=33.8735
i=13, infea=0.162258, nnz_a=4.78464, nnz_b=10.2106, uni_search=0.264437, uni_subSolve=0.0541984, uni_maintain=0.0407291, bi_search=1.04663, bi_subSolve=0.128284, bi_maintain=0.126342, admm_maintain=0.140719, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23037.2, p_obj=27726.8, heldout Acc=0.915701 (3/1000), overall time=36.5488
