using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=0, infea=0.0194835, nnz_a=1.97638, nnz_b=1.99958, uni_search=0.560295, uni_subSolve=0.0698716, uni_maintain=0.018252, bi_search=0.477923, bi_subSolve=0.0832829, bi_maintain=0.0504432, admm_maintain=0.217122, area1=1.20733, area23=1.06507, area4=1.10447, dual_obj=-1318.25, p_obj=60673.8, heldout Acc=0.863619, overall time=3.36504
i=1, infea=0.0147893, nnz_a=2.15815, nnz_b=2.9641, uni_search=0.909141, uni_subSolve=0.0907369, uni_maintain=0.0307704, bi_search=0.829076, bi_subSolve=0.113634, bi_maintain=0.0629998, admm_maintain=0.316783, area1=3.71469, area23=1.1297, area4=1.17492, dual_obj=-1393.37, p_obj=73654.1, heldout Acc=0.880562, overall time=6.97028
i=2, infea=0.0125977, nnz_a=2.43407, nnz_b=3.84089, uni_search=0.566759, uni_subSolve=0.0789646, uni_maintain=0.0346658, bi_search=0.359992, bi_subSolve=0.0609008, bi_maintain=0.0602433, admm_maintain=0.158667, area1=5.97249, area23=1.20906, area4=1.55791, dual_obj=-1724.16, p_obj=67614.1, heldout Acc=0.889791, overall time=9.23906
i=3, infea=0.010562, nnz_a=2.66087, nnz_b=4.5744, uni_search=0.346163, uni_subSolve=0.052317, uni_maintain=0.0342739, bi_search=0.465234, bi_subSolve=0.0704014, bi_maintain=0.0695046, admm_maintain=0.167517, area1=8.16899, area23=1.31924, area4=2.16101, dual_obj=-1994.19, p_obj=66744.3, heldout Acc=0.899183, overall time=11.3117
i=4, infea=0.00943045, nnz_a=2.93388, nnz_b=5.17584, uni_search=0.823422, uni_subSolve=0.0896113, uni_maintain=0.0369324, bi_search=0.747234, bi_subSolve=0.117691, bi_maintain=0.0875899, admm_maintain=0.209594, area1=10.2733, area23=1.4391, area4=2.80526, dual_obj=-2253.08, p_obj=63782.3, heldout Acc=0.898867 (1/100), overall time=14.7459
i=5, infea=0.00871997, nnz_a=3.24028, nnz_b=5.76368, uni_search=0.447346, uni_subSolve=0.0598613, uni_maintain=0.0390055, bi_search=0.778342, bi_subSolve=0.130331, bi_maintain=0.111135, admm_maintain=0.365272, area1=12.5934, area23=1.55769, area4=3.36628, dual_obj=-2487.75, p_obj=65902.6, heldout Acc=0.903603, overall time=18.1342
i=6, infea=0.00815535, nnz_a=3.56326, nnz_b=6.34197, uni_search=0.577506, uni_subSolve=0.0879697, uni_maintain=0.0383981, bi_search=0.621003, bi_subSolve=0.113118, bi_maintain=0.0967218, admm_maintain=0.27933, area1=15.2743, area23=1.66743, area4=3.8916, dual_obj=-2700.15, p_obj=60945.5, heldout Acc=0.904677, overall time=21.1129
i=7, infea=0.00774542, nnz_a=3.87468, nnz_b=6.90955, uni_search=0.382099, uni_subSolve=0.0721202, uni_maintain=0.0384572, bi_search=0.59978, bi_subSolve=0.104434, bi_maintain=0.0922775, admm_maintain=0.186453, area1=18.3698, area23=1.76651, area4=4.41044, dual_obj=-2885.96, p_obj=56258.7, heldout Acc=0.905128, overall time=23.5625
i=8, infea=0.00741845, nnz_a=4.17144, nnz_b=7.46507, uni_search=0.690719, uni_subSolve=0.111061, uni_maintain=0.0540452, bi_search=0.724956, bi_subSolve=0.113729, bi_maintain=0.100188, admm_maintain=0.188053, area1=21.8565, area23=1.8459, area4=4.92169, dual_obj=-3052.62, p_obj=56604.5, heldout Acc=0.905074 (1/100), overall time=26.7449
i=9, infea=0.0071107, nnz_a=4.45005, nnz_b=7.98922, uni_search=0.357433, uni_subSolve=0.069697, uni_maintain=0.0392655, bi_search=0.892168, bi_subSolve=0.141487, bi_maintain=0.113995, admm_maintain=0.202165, area1=25.7388, area23=1.90833, area4=5.4176, dual_obj=-3202.47, p_obj=52594.8, heldout Acc=0.90465 (2/100), overall time=29.6993
i=10, infea=0.00680006, nnz_a=4.70703, nnz_b=8.46067, uni_search=0.493518, uni_subSolve=0.0938321, uni_maintain=0.0532485, bi_search=0.713807, bi_subSolve=0.120061, bi_maintain=0.107659, admm_maintain=0.195836, area1=29.9753, area23=1.95313, area4=5.91251, dual_obj=-3338.69, p_obj=51927.2, heldout Acc=0.905534, overall time=32.6195
i=11, infea=0.00648005, nnz_a=4.94249, nnz_b=8.87896, uni_search=0.606278, uni_subSolve=0.141857, uni_maintain=0.0569533, bi_search=1.02512, bi_subSolve=0.194155, bi_maintain=0.147124, admm_maintain=0.193526, area1=34.5712, area23=1.98636, area4=6.37353, dual_obj=-3464.41, p_obj=52242, heldout Acc=0.905976, overall time=36.2574
i=12, infea=0.00616292, nnz_a=5.16018, nnz_b=9.24211, uni_search=0.406705, uni_subSolve=0.076838, uni_maintain=0.0460201, bi_search=0.766389, bi_subSolve=0.155502, bi_maintain=0.115102, admm_maintain=0.318209, area1=39.4771, area23=2.00549, area4=6.78394, dual_obj=-3580.95, p_obj=48114, heldout Acc=0.906129, overall time=39.322
i=13, infea=0.0058545, nnz_a=5.36103, nnz_b=9.55467, uni_search=0.508116, uni_subSolve=0.0816526, uni_maintain=0.0547781, bi_search=0.859466, bi_subSolve=0.16158, bi_maintain=0.158047, admm_maintain=0.182123, area1=44.7591, area23=2.01554, area4=7.16101, dual_obj=-3689.81, p_obj=45694.3, heldout Acc=0.908664, overall time=42.4124
i=14, infea=0.00555372, nnz_a=5.54273, nnz_b=9.82295, uni_search=0.551218, uni_subSolve=0.103391, uni_maintain=0.0489519, bi_search=0.870882, bi_subSolve=0.139138, bi_maintain=0.137742, admm_maintain=0.193949, area1=50.4061, area23=2.01535, area4=7.51045, dual_obj=-3792.25, p_obj=45552.1, heldout Acc=0.909097, overall time=45.5164
i=15, infea=0.00527198, nnz_a=5.70608, nnz_b=10.0503, uni_search=0.575201, uni_subSolve=0.106802, uni_maintain=0.049551, bi_search=0.916299, bi_subSolve=0.150527, bi_maintain=0.152037, admm_maintain=0.288228, area1=56.4345, area23=2.01104, area4=7.82421, dual_obj=-3889.58, p_obj=43583.4, heldout Acc=0.909422, overall time=48.9185
i=16, infea=0.00500149, nnz_a=5.85023, nnz_b=10.2386, uni_search=0.549002, uni_subSolve=0.0978879, uni_maintain=0.106701, bi_search=0.999476, bi_subSolve=0.169665, bi_maintain=0.140255, admm_maintain=0.323634, area1=62.8459, area23=2.0026, area4=8.12065, dual_obj=-3982.16, p_obj=41330.7, heldout Acc=0.909783, overall time=52.5603
i=17, infea=0.00474973, nnz_a=5.97763, nnz_b=10.3915, uni_search=0.868983, uni_subSolve=0.144345, uni_maintain=0.0493556, bi_search=1.40251, bi_subSolve=0.203343, bi_maintain=0.156971, admm_maintain=0.492416, area1=69.6431, area23=1.99272, area4=8.4162, dual_obj=-4070.93, p_obj=41816.3, heldout Acc=0.910523, overall time=57.428
i=18, infea=0.00451163, nnz_a=6.08666, nnz_b=10.5116, uni_search=0.937062, uni_subSolve=0.142247, uni_maintain=0.0526543, bi_search=1.3985, bi_subSolve=0.215739, bi_maintain=0.160088, admm_maintain=0.489231, area1=76.8608, area23=1.97747, area4=8.71398, dual_obj=-4156.57, p_obj=39130.3, heldout Acc=0.910541, overall time=62.3257
i=19, infea=0.00428619, nnz_a=6.17717, nnz_b=10.6041, uni_search=0.955692, uni_subSolve=0.144474, uni_maintain=0.0556353, bi_search=1.41255, bi_subSolve=0.217225, bi_maintain=0.171787, admm_maintain=0.488722, area1=84.4973, area23=1.96139, area4=9.00177, dual_obj=-4239.3, p_obj=37493.3, heldout Acc=0.911732, overall time=67.2702
i=20, infea=0.00407125, nnz_a=6.25195, nnz_b=10.6677, uni_search=0.955041, uni_subSolve=0.145401, uni_maintain=0.0580935, bi_search=1.44022, bi_subSolve=0.220483, bi_maintain=0.166708, admm_maintain=0.494461, area1=92.5133, area23=1.94471, area4=9.32757, dual_obj=-4320.12, p_obj=40445.7, heldout Acc=0.912426, overall time=72.2568
i=21, infea=0.00387081, nnz_a=6.31274, nnz_b=10.7129, uni_search=0.957858, uni_subSolve=0.146836, uni_maintain=0.0617075, bi_search=1.46154, bi_subSolve=0.221766, bi_maintain=0.168745, admm_maintain=0.515219, area1=100.969, area23=1.92558, area4=9.62823, dual_obj=-4399.01, p_obj=38495.7, heldout Acc=0.912057 (1/100), overall time=77.3064
i=22, infea=0.00368086, nnz_a=6.35681, nnz_b=10.738, uni_search=0.975929, uni_subSolve=0.149524, uni_maintain=0.0646781, bi_search=1.11479, bi_subSolve=0.178879, bi_maintain=0.148008, admm_maintain=0.283219, area1=109.837, area23=1.90873, area4=9.96346, dual_obj=-4475.99, p_obj=38746.8, heldout Acc=0.91341, overall time=81.4609
i=23, infea=0.00350501, nnz_a=6.39328, nnz_b=10.7466, uni_search=0.53217, uni_subSolve=0.110513, uni_maintain=0.058294, bi_search=1.12468, bi_subSolve=0.179112, bi_maintain=0.149142, admm_maintain=0.284547, area1=119.15, area23=1.89107, area4=10.2772, dual_obj=-4552.17, p_obj=39005, heldout Acc=0.914411, overall time=85.0447
i=24, infea=0.00333932, nnz_a=6.41792, nnz_b=10.7416, uni_search=0.531523, uni_subSolve=0.111041, uni_maintain=0.0603021, bi_search=1.14795, bi_subSolve=0.179107, bi_maintain=0.14994, admm_maintain=0.282982, area1=128.84, area23=1.87427, area4=10.616, dual_obj=-4627.14, p_obj=36755.8, heldout Acc=0.914465, overall time=88.6472
i=25, infea=0.00318561, nnz_a=6.43317, nnz_b=10.7224, uni_search=0.534609, uni_subSolve=0.111521, uni_maintain=0.0614447, bi_search=1.17108, bi_subSolve=0.180158, bi_maintain=0.150574, admm_maintain=0.282017, area1=138.91, area23=1.85686, area4=10.943, dual_obj=-4701.24, p_obj=39787.6, heldout Acc=0.914402 (1/100), overall time=92.2789
i=26, infea=0.00304229, nnz_a=6.44236, nnz_b=10.698, uni_search=0.588659, uni_subSolve=0.118831, uni_maintain=0.0668482, bi_search=1.27276, bi_subSolve=0.18687, bi_maintain=0.182288, admm_maintain=0.351955, area1=149.358, area23=1.84049, area4=11.2587, dual_obj=-4774.75, p_obj=39892.3, heldout Acc=0.915864, overall time=96.226
i=27, infea=0.00291033, nnz_a=6.44769, nnz_b=10.6673, uni_search=0.357473, uni_subSolve=0.09283, uni_maintain=0.057806, bi_search=1.05472, bi_subSolve=0.14341, bi_maintain=0.141955, admm_maintain=0.192975, area1=160.152, area23=1.8242, area4=11.5504, dual_obj=-4848.08, p_obj=37362.6, heldout Acc=0.916207, overall time=99.1907
