using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.182731, nnz_a=1.52021, nnz_b=1.99434, uni_search=0.224233, uni_subSolve=0.0375335, uni_maintain=0.0235823, bi_search=0.22775, bi_subSolve=0.0431526, bi_maintain=0.0612357, admm_maintain=0.101136, area1=0.26395, area23=1.03928, area4=1.13942, dual_obj=-8507.82, p_obj=40971.7, heldout Acc=0.867354, overall time=2.1743
i=1, infea=0.23473, nnz_a=1.84807, nnz_b=2.6299, uni_search=0.250116, uni_subSolve=0.0453632, uni_maintain=0.0281727, bi_search=0.319571, bi_subSolve=0.049237, bi_maintain=0.0825378, admm_maintain=0.120455, area1=2.32803, area23=1.1381, area4=1.27051, dual_obj=-14485.8, p_obj=38476.6, heldout Acc=0.880571, overall time=3.87518
i=2, infea=0.269706, nnz_a=2.17558, nnz_b=3.14347, uni_search=0.222605, uni_subSolve=0.0480578, uni_maintain=0.0326715, bi_search=0.292883, bi_subSolve=0.0569396, bi_maintain=0.0997815, admm_maintain=0.123622, area1=3.81874, area23=1.15951, area4=1.35511, dual_obj=-18249.2, p_obj=35221, heldout Acc=0.887815, overall time=5.55079
i=3, infea=0.288102, nnz_a=2.42309, nnz_b=3.5957, uni_search=0.245035, uni_subSolve=0.0521226, uni_maintain=0.0318398, bi_search=0.340893, bi_subSolve=0.0638882, bi_maintain=0.109522, admm_maintain=0.129068, area1=5.36026, area23=1.17974, area4=1.42488, dual_obj=-20759.4, p_obj=33519.4, heldout Acc=0.880517 (1/100), overall time=7.33218
i=4, infea=0.293854, nnz_a=2.59186, nnz_b=3.99625, uni_search=0.221696, uni_subSolve=0.053829, uni_maintain=0.0335676, bi_search=0.348705, bi_subSolve=0.0690779, bi_maintain=0.117862, admm_maintain=0.132213, area1=6.86373, area23=1.20118, area4=1.47807, dual_obj=-22366.3, p_obj=28868.6, heldout Acc=0.886787 (2/100), overall time=9.11737
i=5, infea=0.287977, nnz_a=2.67849, nnz_b=4.35564, uni_search=0.231438, uni_subSolve=0.0577637, uni_maintain=0.0354577, bi_search=0.36085, bi_subSolve=0.0734337, bi_maintain=0.125322, admm_maintain=0.135399, area1=8.30078, area23=1.22599, area4=1.51403, dual_obj=-23467.6, p_obj=33099.3, heldout Acc=0.893968, overall time=10.9545
i=6, infea=0.27281, nnz_a=2.76749, nnz_b=4.6553, uni_search=0.228812, uni_subSolve=0.058779, uni_maintain=0.037441, bi_search=0.373527, bi_subSolve=0.077218, bi_maintain=0.131696, admm_maintain=0.139511, area1=9.67354, area23=1.25844, area4=1.56742, dual_obj=-24292.5, p_obj=32747, heldout Acc=0.898786, overall time=12.8165
i=7, infea=0.254322, nnz_a=2.84229, nnz_b=4.88618, uni_search=0.226357, uni_subSolve=0.0588127, uni_maintain=0.0357784, bi_search=0.38546, bi_subSolve=0.0795015, bi_maintain=0.132792, admm_maintain=0.133497, area1=11.0111, area23=1.29586, area4=1.62809, dual_obj=-24926.9, p_obj=33647.7, heldout Acc=0.907735, overall time=14.6808
i=8, infea=0.2379, nnz_a=2.92406, nnz_b=5.05666, uni_search=0.236275, uni_subSolve=0.0606848, uni_maintain=0.0362997, bi_search=0.405387, bi_subSolve=0.0822693, bi_maintain=0.135002, admm_maintain=0.134934, area1=12.3437, area23=1.34696, area4=1.72986, dual_obj=-25394.8, p_obj=32599.3, heldout Acc=0.908421, overall time=16.5928
i=9, infea=0.224656, nnz_a=3.01792, nnz_b=5.19641, uni_search=0.232882, uni_subSolve=0.0614453, uni_maintain=0.0373512, bi_search=0.42335, bi_subSolve=0.084267, bi_maintain=0.133452, admm_maintain=0.136517, area1=13.7197, area23=1.40412, area4=1.87285, dual_obj=-25731.9, p_obj=31852, heldout Acc=0.909115, overall time=18.5753
i=10, infea=0.214312, nnz_a=3.11157, nnz_b=5.32136, uni_search=0.231827, uni_subSolve=0.0629252, uni_maintain=0.0368891, bi_search=0.434844, bi_subSolve=0.0848495, bi_maintain=0.129002, admm_maintain=0.134162, area1=15.144, area23=1.46574, area4=2.06308, dual_obj=-25975.2, p_obj=31005.1, heldout Acc=0.914132, overall time=20.5067
i=11, infea=0.205958, nnz_a=3.21259, nnz_b=5.43991, uni_search=0.218971, uni_subSolve=0.0622443, uni_maintain=0.0372803, bi_search=0.448782, bi_subSolve=0.0854749, bi_maintain=0.12442, admm_maintain=0.143679, area1=16.6417, area23=1.53289, area4=2.32648, dual_obj=-26149.6, p_obj=32391.2, heldout Acc=0.912986 (1/100), overall time=22.4443
i=12, infea=0.199031, nnz_a=3.31095, nnz_b=5.54641, uni_search=0.231609, uni_subSolve=0.0650066, uni_maintain=0.0378176, bi_search=0.476057, bi_subSolve=0.0874334, bi_maintain=0.122058, admm_maintain=0.138329, area1=18.2017, area23=1.60038, area4=2.6582, dual_obj=-26279.7, p_obj=31491.6, heldout Acc=0.914727, overall time=24.4235
i=13, infea=0.192866, nnz_a=3.40824, nnz_b=5.63821, uni_search=0.231113, uni_subSolve=0.0660736, uni_maintain=0.038233, bi_search=0.495951, bi_subSolve=0.0886741, bi_maintain=0.117888, admm_maintain=0.141087, area1=19.8512, area23=1.66629, area4=3.0675, dual_obj=-26383, p_obj=29806.9, heldout Acc=0.916838, overall time=26.4596
i=14, infea=0.186826, nnz_a=3.50245, nnz_b=5.71909, uni_search=0.225639, uni_subSolve=0.0665216, uni_maintain=0.0386072, bi_search=0.501347, bi_subSolve=0.0879491, bi_maintain=0.111995, admm_maintain=0.136441, area1=21.58, area23=1.727, area4=3.52117, dual_obj=-26455.9, p_obj=29927.7, heldout Acc=0.918805, overall time=28.448
i=15, infea=0.180825, nnz_a=3.59057, nnz_b=5.78638, uni_search=0.229476, uni_subSolve=0.0680749, uni_maintain=0.0393017, bi_search=0.525104, bi_subSolve=0.0901795, bi_maintain=0.110937, admm_maintain=0.138596, area1=23.385, area23=1.77752, area4=3.9236, dual_obj=-26511.3, p_obj=28797, heldout Acc=0.919328, overall time=30.475
i=16, infea=0.174551, nnz_a=3.6722, nnz_b=5.84139, uni_search=0.231762, uni_subSolve=0.0693244, uni_maintain=0.0397269, bi_search=0.540115, bi_subSolve=0.0904972, bi_maintain=0.107707, admm_maintain=0.141142, area1=25.2669, area23=1.82058, area4=4.36083, dual_obj=-26552.3, p_obj=28657.9, heldout Acc=0.91894 (1/100), overall time=32.5225
i=17, infea=0.168074, nnz_a=3.74489, nnz_b=5.89063, uni_search=0.229066, uni_subSolve=0.0698423, uni_maintain=0.0395716, bi_search=0.555634, bi_subSolve=0.0916505, bi_maintain=0.105333, admm_maintain=0.144656, area1=27.2257, area23=1.85341, area4=4.73873, dual_obj=-26576.5, p_obj=28326.9, heldout Acc=0.920555, overall time=34.5822
i=18, infea=0.161475, nnz_a=3.81143, nnz_b=5.93634, uni_search=0.229851, uni_subSolve=0.0707148, uni_maintain=0.0403715, bi_search=0.542203, bi_subSolve=0.0889653, bi_maintain=0.0972238, admm_maintain=0.12119, area1=29.2423, area23=1.87444, area4=5.1298, dual_obj=-26589.4, p_obj=27808, heldout Acc=0.921908, overall time=36.576
i=19, infea=0.154891, nnz_a=3.87297, nnz_b=5.9755, uni_search=0.198652, uni_subSolve=0.0665613, uni_maintain=0.0401072, bi_search=0.5385, bi_subSolve=0.0872941, bi_maintain=0.0921627, admm_maintain=0.122796, area1=31.3215, area23=1.88836, area4=5.38282, dual_obj=-26577, p_obj=26150.3, heldout Acc=0.920735 (1/100), overall time=38.5069
i=20, infea=0.148319, nnz_a=3.92614, nnz_b=6.00083, uni_search=0.198803, uni_subSolve=0.0672285, uni_maintain=0.0407309, bi_search=0.550262, bi_subSolve=0.0876196, bi_maintain=0.0910078, admm_maintain=0.122084, area1=33.4634, area23=1.89748, area4=5.73037, dual_obj=-26538, p_obj=26289.9, heldout Acc=0.923018, overall time=40.4486
i=21, infea=0.142094, nnz_a=3.97352, nnz_b=6.02205, uni_search=0.197725, uni_subSolve=0.0677505, uni_maintain=0.0411679, bi_search=0.561594, bi_subSolve=0.087906, bi_maintain=0.0902513, admm_maintain=0.123716, area1=35.6451, area23=1.90142, area4=5.95368, dual_obj=-26474.1, p_obj=27376.3, heldout Acc=0.923514, overall time=42.4035
i=22, infea=0.136188, nnz_a=4.01809, nnz_b=6.02979, uni_search=0.198338, uni_subSolve=0.0684457, uni_maintain=0.0416816, bi_search=0.572486, bi_subSolve=0.0883211, bi_maintain=0.0893302, admm_maintain=0.123595, area1=37.8938, area23=1.89978, area4=6.21848, dual_obj=-26384.4, p_obj=24601.7, heldout Acc=0.923316 (1/100), overall time=44.3729
