using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=0, infea=0.236575, nnz_a=1.59225, nnz_b=1.9943, uni_search=0.329431, uni_subSolve=0.0463091, uni_maintain=0.0236329, bi_search=1.11604, bi_subSolve=0.0599192, bi_maintain=0.0696217, admm_maintain=0.115284, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14058.3, p_obj=38070.8, heldout Acc=0.865676, overall time=3.33222
i=1, infea=0.293997, nnz_a=1.97631, nnz_b=2.62917, uni_search=0.358227, uni_subSolve=0.050713, uni_maintain=0.028197, bi_search=1.17934, bi_subSolve=0.064758, bi_maintain=0.0916739, admm_maintain=0.133815, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20992.4, p_obj=20715.7, heldout Acc=0.880535, overall time=6.15719
i=2, infea=0.307449, nnz_a=2.33312, nnz_b=3.17217, uni_search=0.3149, uni_subSolve=0.0526896, uni_maintain=0.0348224, bi_search=1.06099, bi_subSolve=0.06496, bi_maintain=0.108873, admm_maintain=0.145932, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23578.2, p_obj=28323.6, heldout Acc=0.886291, overall time=8.85017
i=3, infea=0.308865, nnz_a=2.57541, nnz_b=3.66193, uni_search=0.349299, uni_subSolve=0.0549621, uni_maintain=0.0331282, bi_search=1.13457, bi_subSolve=0.0794909, bi_maintain=0.118736, admm_maintain=0.148747, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24586.7, p_obj=23591.8, heldout Acc=0.89331, overall time=11.6984
i=4, infea=0.301471, nnz_a=2.71418, nnz_b=4.11042, uni_search=0.336812, uni_subSolve=0.0585511, uni_maintain=0.0350329, bi_search=1.12137, bi_subSolve=0.0877561, bi_maintain=0.130077, admm_maintain=0.152433, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24987, p_obj=31796.6, heldout Acc=0.904776, overall time=14.5799
i=5, infea=0.281435, nnz_a=2.78647, nnz_b=4.51279, uni_search=0.321558, uni_subSolve=0.0592215, uni_maintain=0.0364412, bi_search=1.10666, bi_subSolve=0.0905692, bi_maintain=0.136358, admm_maintain=0.152426, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25261.3, p_obj=32702.5, heldout Acc=0.906084, overall time=17.408
i=6, infea=0.255497, nnz_a=2.86068, nnz_b=4.82592, uni_search=0.321686, uni_subSolve=0.0603907, uni_maintain=0.0371544, bi_search=1.10711, bi_subSolve=0.0954222, bi_maintain=0.143954, admm_maintain=0.15431, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25556.6, p_obj=31953.5, heldout Acc=0.900572 (1/100), overall time=20.253
i=7, infea=0.23243, nnz_a=2.94543, nnz_b=5.03889, uni_search=0.331284, uni_subSolve=0.0611187, uni_maintain=0.0368104, bi_search=1.11267, bi_subSolve=0.0974549, bi_maintain=0.145952, admm_maintain=0.155449, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25817, p_obj=33257, heldout Acc=0.909702, overall time=23.1178
i=8, infea=0.215833, nnz_a=3.03935, nnz_b=5.17547, uni_search=0.335972, uni_subSolve=0.0621874, uni_maintain=0.0373852, bi_search=1.11017, bi_subSolve=0.0998798, bi_maintain=0.145736, admm_maintain=0.156463, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26005.3, p_obj=33909.9, heldout Acc=0.914393, overall time=25.992
i=9, infea=0.205302, nnz_a=3.14658, nnz_b=5.2884, uni_search=0.301662, uni_subSolve=0.0577995, uni_maintain=0.0379236, bi_search=1.05921, bi_subSolve=0.08658, bi_maintain=0.137506, admm_maintain=0.149063, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26135.9, p_obj=31950.2, heldout Acc=0.914348 (1/100), overall time=28.6706
i=10, infea=0.198497, nnz_a=3.26549, nnz_b=5.40888, uni_search=0.301694, uni_subSolve=0.0589505, uni_maintain=0.0372695, bi_search=1.0591, bi_subSolve=0.087527, bi_maintain=0.13225, admm_maintain=0.151441, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26229.7, p_obj=31078.8, heldout Acc=0.914339 (2/100), overall time=31.3478
i=11, infea=0.193401, nnz_a=3.38961, nnz_b=5.51935, uni_search=0.298765, uni_subSolve=0.0598435, uni_maintain=0.0376726, bi_search=1.06001, bi_subSolve=0.0883073, bi_maintain=0.127165, admm_maintain=0.152822, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26299.5, p_obj=31707.6, heldout Acc=0.917858, overall time=34.0218
