using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=0, infea=0.0106077, nnz_a=2, nnz_b=1.99977, uni_search=0.206532, uni_subSolve=0.0326063, uni_maintain=0.0164646, bi_search=1.0087, bi_subSolve=0.0504836, bi_maintain=0.0414464, admm_maintain=0.079538, area1=-nan, area23=-nan, area4=-nan, dual_obj=-950.325, p_obj=76283.6, heldout Acc=0.862473, overall time=2.80883
i=1, infea=0.0140029, nnz_a=2.61473, nnz_b=2.95896, uni_search=0.237586, uni_subSolve=0.0360544, uni_maintain=0.0227382, bi_search=1.01493, bi_subSolve=0.0993984, bi_maintain=0.0440054, admm_maintain=0.11831, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1622.58, p_obj=67231.1, heldout Acc=0.890756, overall time=5.1356
i=2, infea=0.0163208, nnz_a=2.99741, nnz_b=3.8365, uni_search=0.198004, uni_subSolve=0.0375736, uni_maintain=0.0286391, bi_search=0.99867, bi_subSolve=0.0763109, bi_maintain=0.0501619, admm_maintain=0.0981657, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2196.01, p_obj=65056.2, heldout Acc=0.89745, overall time=7.37654
i=3, infea=0.0178892, nnz_a=3.28847, nnz_b=4.60238, uni_search=0.222826, uni_subSolve=0.0401822, uni_maintain=0.0327875, bi_search=1.01588, bi_subSolve=0.10387, bi_maintain=0.0560881, admm_maintain=0.0989667, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2726.62, p_obj=58093.8, heldout Acc=0.902782, overall time=9.71265
i=4, infea=0.0191183, nnz_a=3.54926, nnz_b=5.28146, uni_search=0.210404, uni_subSolve=0.0426702, uni_maintain=0.0348833, bi_search=1.00116, bi_subSolve=0.0838955, bi_maintain=0.0609728, admm_maintain=0.103503, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3223.11, p_obj=56594, heldout Acc=0.906283, overall time=12.0151
i=5, infea=0.020176, nnz_a=3.78836, nnz_b=5.88758, uni_search=0.206694, uni_subSolve=0.0445394, uni_maintain=0.0363396, bi_search=0.999912, bi_subSolve=0.0877091, bi_maintain=0.0654861, admm_maintain=0.104916, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3689.5, p_obj=51037, heldout Acc=0.909819, overall time=14.3335
i=6, infea=0.0211315, nnz_a=4.01225, nnz_b=6.43247, uni_search=0.204679, uni_subSolve=0.0459294, uni_maintain=0.0388159, bi_search=1.00104, bi_subSolve=0.090893, bi_maintain=0.069442, admm_maintain=0.105385, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4130.12, p_obj=52089.3, heldout Acc=0.91636, overall time=16.7117
i=7, infea=0.022023, nnz_a=4.22471, nnz_b=6.92346, uni_search=0.207674, uni_subSolve=0.0471107, uni_maintain=0.0386334, bi_search=1.00661, bi_subSolve=0.106185, bi_maintain=0.073295, admm_maintain=0.107645, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4548.17, p_obj=49313.8, heldout Acc=0.918056, overall time=19.0675
i=8, infea=0.0228606, nnz_a=4.428, nnz_b=7.36799, uni_search=0.209446, uni_subSolve=0.0479911, uni_maintain=0.0394358, bi_search=1.00685, bi_subSolve=0.107727, bi_maintain=0.0763563, admm_maintain=0.110822, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4947.95, p_obj=48144.5, heldout Acc=0.918029 (1/100), overall time=21.4378
i=9, infea=0.0236699, nnz_a=4.62129, nnz_b=7.77196, uni_search=0.209976, uni_subSolve=0.0488988, uni_maintain=0.0402802, bi_search=1.00808, bi_subSolve=0.109585, bi_maintain=0.0790615, admm_maintain=0.111661, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5330.83, p_obj=51192.1, heldout Acc=0.91931, overall time=23.8256
i=10, infea=0.0244355, nnz_a=4.80567, nnz_b=8.1405, uni_search=0.209786, uni_subSolve=0.0497334, uni_maintain=0.0410334, bi_search=1.00823, bi_subSolve=0.111079, bi_maintain=0.0816576, admm_maintain=0.113874, area1=-nan, area23=-nan, area4=-nan, dual_obj=-5698.77, p_obj=48161.2, heldout Acc=0.920979, overall time=26.2148
i=11, infea=0.0251671, nnz_a=4.98315, nnz_b=8.47949, uni_search=0.209791, uni_subSolve=0.0504497, uni_maintain=0.0417644, bi_search=1.00866, bi_subSolve=0.1121, bi_maintain=0.0840652, admm_maintain=0.113834, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6053.03, p_obj=44834.2, heldout Acc=0.918408 (1/100), overall time=28.6164
i=12, infea=0.0258793, nnz_a=5.15372, nnz_b=8.79064, uni_search=0.209623, uni_subSolve=0.0511301, uni_maintain=0.0424096, bi_search=1.01024, bi_subSolve=0.113441, bi_maintain=0.0860474, admm_maintain=0.11491, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6395.91, p_obj=45316.5, heldout Acc=0.923406, overall time=31.0259
i=13, infea=0.0265519, nnz_a=5.31859, nnz_b=9.07768, uni_search=0.20919, uni_subSolve=0.0515586, uni_maintain=0.0430395, bi_search=1.00993, bi_subSolve=0.11453, bi_maintain=0.087892, admm_maintain=0.116849, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6727.73, p_obj=44967.5, heldout Acc=0.922603 (1/100), overall time=33.4355
i=14, infea=0.0271962, nnz_a=5.47712, nnz_b=9.34102, uni_search=0.208425, uni_subSolve=0.0518021, uni_maintain=0.0442451, bi_search=1.0109, bi_subSolve=0.115407, bi_maintain=0.0898971, admm_maintain=0.117631, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7049.8, p_obj=41837.2, heldout Acc=0.9218 (2/100), overall time=35.8515
i=15, infea=0.0278309, nnz_a=5.6282, nnz_b=9.58836, uni_search=0.208348, uni_subSolve=0.0521228, uni_maintain=0.0449627, bi_search=1.01278, bi_subSolve=0.116757, bi_maintain=0.0916275, admm_maintain=0.118141, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7361.93, p_obj=43022.3, heldout Acc=0.924588, overall time=38.2792
i=16, infea=0.0284253, nnz_a=5.7724, nnz_b=9.81671, uni_search=0.208606, uni_subSolve=0.0523791, uni_maintain=0.0454888, bi_search=1.01389, bi_subSolve=0.11919, bi_maintain=0.0937724, admm_maintain=0.118462, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7665.59, p_obj=39854.5, heldout Acc=0.926203, overall time=40.7096
i=17, infea=0.0290066, nnz_a=5.91324, nnz_b=10.0313, uni_search=0.209348, uni_subSolve=0.0526297, uni_maintain=0.0455063, bi_search=1.01684, bi_subSolve=0.119942, bi_maintain=0.0954455, admm_maintain=0.120431, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7961.43, p_obj=41266.2, heldout Acc=0.924579 (1/100), overall time=43.1547
i=18, infea=0.0295574, nnz_a=6.04803, nnz_b=10.2314, uni_search=0.209688, uni_subSolve=0.0529106, uni_maintain=0.0462149, bi_search=1.02106, bi_subSolve=0.12161, bi_maintain=0.0974327, admm_maintain=0.125383, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8250.37, p_obj=42983, heldout Acc=0.925012 (2/100), overall time=45.6128
i=19, infea=0.030099, nnz_a=6.17815, nnz_b=10.4203, uni_search=0.209753, uni_subSolve=0.0531649, uni_maintain=0.046822, bi_search=1.02303, bi_subSolve=0.123068, bi_maintain=0.0988595, admm_maintain=0.121214, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8531.73, p_obj=41389.7, heldout Acc=0.924633 (3/100), overall time=48.0739
i=20, infea=0.0306153, nnz_a=6.3045, nnz_b=10.5977, uni_search=0.210062, uni_subSolve=0.0534388, uni_maintain=0.0483108, bi_search=1.02374, bi_subSolve=0.124335, bi_maintain=0.100288, admm_maintain=0.122466, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8806.95, p_obj=41690, heldout Acc=0.924642 (4/100), overall time=50.541
i=21, infea=0.0311183, nnz_a=6.42705, nnz_b=10.7645, uni_search=0.210716, uni_subSolve=0.0536316, uni_maintain=0.0493876, bi_search=1.024, bi_subSolve=0.12607, bi_maintain=0.100919, admm_maintain=0.121931, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9075.76, p_obj=40545.3, heldout Acc=0.927123, overall time=53.0185
i=22, infea=0.0316095, nnz_a=6.54426, nnz_b=10.9223, uni_search=0.21099, uni_subSolve=0.0539024, uni_maintain=0.0504206, bi_search=1.02527, bi_subSolve=0.128432, bi_maintain=0.102193, admm_maintain=0.124501, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9339.26, p_obj=37954.5, heldout Acc=0.925039 (1/100), overall time=55.5015
i=23, infea=0.0320734, nnz_a=6.65885, nnz_b=11.0721, uni_search=0.211265, uni_subSolve=0.0541084, uni_maintain=0.0513235, bi_search=1.02502, bi_subSolve=0.13157, bi_maintain=0.10326, admm_maintain=0.125511, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9597.59, p_obj=39287.3, heldout Acc=0.925021 (2/100), overall time=57.9953
i=24, infea=0.0325248, nnz_a=6.76931, nnz_b=11.2143, uni_search=0.211727, uni_subSolve=0.05425, uni_maintain=0.0521803, bi_search=1.02502, bi_subSolve=0.135304, bi_maintain=0.103976, admm_maintain=0.128415, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9850.81, p_obj=38138.1, heldout Acc=0.927159, overall time=60.4934
i=25, infea=0.0329572, nnz_a=6.87747, nnz_b=11.3481, uni_search=0.213719, uni_subSolve=0.0547707, uni_maintain=0.0531474, bi_search=1.02498, bi_subSolve=0.139608, bi_maintain=0.104838, admm_maintain=0.152527, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10099.9, p_obj=38446.8, heldout Acc=0.927799, overall time=63.0338
i=26, infea=0.0333785, nnz_a=6.9837, nnz_b=11.4755, uni_search=0.211958, uni_subSolve=0.0547336, uni_maintain=0.0539482, bi_search=1.02622, bi_subSolve=0.143956, bi_maintain=0.105731, admm_maintain=0.125944, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10343.7, p_obj=39875.3, heldout Acc=0.927637 (1/100), overall time=65.5456
i=27, infea=0.0337845, nnz_a=7.0867, nnz_b=11.5976, uni_search=0.212051, uni_subSolve=0.0549265, uni_maintain=0.0547004, bi_search=1.02723, bi_subSolve=0.148125, bi_maintain=0.106703, admm_maintain=0.12565, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10583.8, p_obj=37126.3, heldout Acc=0.924903 (2/100), overall time=68.0709
i=28, infea=0.0341776, nnz_a=7.18694, nnz_b=11.7149, uni_search=0.212178, uni_subSolve=0.0550604, uni_maintain=0.0554948, bi_search=1.02665, bi_subSolve=0.152841, bi_maintain=0.107501, admm_maintain=0.126403, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10819.4, p_obj=35076.5, heldout Acc=0.92724 (3/100), overall time=70.5989
i=29, infea=0.0345476, nnz_a=7.28365, nnz_b=11.8261, uni_search=0.212261, uni_subSolve=0.0552846, uni_maintain=0.0563255, bi_search=1.027, bi_subSolve=0.157734, bi_maintain=0.108554, admm_maintain=0.127387, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11050.9, p_obj=36684.8, heldout Acc=0.928115, overall time=73.1398
i=30, infea=0.0349153, nnz_a=7.37674, nnz_b=11.9318, uni_search=0.212252, uni_subSolve=0.0554943, uni_maintain=0.0570645, bi_search=1.02725, bi_subSolve=0.160892, bi_maintain=0.109305, admm_maintain=0.129009, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11278.7, p_obj=36018.2, heldout Acc=0.929017, overall time=75.6808
i=31, infea=0.0352773, nnz_a=7.46849, nnz_b=12.0336, uni_search=0.212495, uni_subSolve=0.0556566, uni_maintain=0.0577559, bi_search=1.02748, bi_subSolve=0.163778, bi_maintain=0.10996, admm_maintain=0.128233, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11503, p_obj=36541.6, heldout Acc=0.929062, overall time=78.2329
i=32, infea=0.0356222, nnz_a=7.55664, nnz_b=12.1315, uni_search=0.212511, uni_subSolve=0.0557087, uni_maintain=0.0585154, bi_search=1.02782, bi_subSolve=0.167818, bi_maintain=0.11084, admm_maintain=0.128634, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11723.3, p_obj=35687.9, heldout Acc=0.927736 (1/100), overall time=80.7901
i=33, infea=0.0359645, nnz_a=7.64097, nnz_b=12.2259, uni_search=0.212443, uni_subSolve=0.0558929, uni_maintain=0.0592935, bi_search=1.02923, bi_subSolve=0.169782, bi_maintain=0.111705, admm_maintain=0.129436, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11940.4, p_obj=34652.1, heldout Acc=0.927303 (2/100), overall time=83.3683
i=34, infea=0.0362884, nnz_a=7.72157, nnz_b=12.3155, uni_search=0.212479, uni_subSolve=0.0560478, uni_maintain=0.0598737, bi_search=1.02942, bi_subSolve=0.172065, bi_maintain=0.112279, admm_maintain=0.130783, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12154.3, p_obj=35746.2, heldout Acc=0.928711 (3/100), overall time=85.9345
i=35, infea=0.0366038, nnz_a=7.80082, nnz_b=12.4027, uni_search=0.212451, uni_subSolve=0.0561532, uni_maintain=0.0606571, bi_search=1.02923, bi_subSolve=0.174302, bi_maintain=0.112689, admm_maintain=0.131758, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12364.7, p_obj=33430.3, heldout Acc=0.926987 (4/100), overall time=88.5064
i=36, infea=0.0369097, nnz_a=7.87844, nnz_b=12.4859, uni_search=0.212621, uni_subSolve=0.0563287, uni_maintain=0.0612601, bi_search=1.02997, bi_subSolve=0.177286, bi_maintain=0.113747, admm_maintain=0.130032, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12572.2, p_obj=33438.5, heldout Acc=0.929685, overall time=91.1025
i=37, infea=0.037209, nnz_a=7.95329, nnz_b=12.5668, uni_search=0.212463, uni_subSolve=0.056448, uni_maintain=0.0620129, bi_search=1.03062, bi_subSolve=0.180175, bi_maintain=0.114442, admm_maintain=0.131668, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12775.9, p_obj=32937.6, heldout Acc=0.929459 (1/100), overall time=93.689
i=38, infea=0.0374996, nnz_a=8.02382, nnz_b=12.6445, uni_search=0.213118, uni_subSolve=0.0566142, uni_maintain=0.0626121, bi_search=1.03072, bi_subSolve=0.181339, bi_maintain=0.114684, admm_maintain=0.130591, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12977.3, p_obj=33395.1, heldout Acc=0.929766, overall time=96.2736
i=39, infea=0.0377824, nnz_a=8.09239, nnz_b=12.7201, uni_search=0.212691, uni_subSolve=0.0566535, uni_maintain=0.0633807, bi_search=1.02947, bi_subSolve=0.182351, bi_maintain=0.115428, admm_maintain=0.129983, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13175.7, p_obj=33998.7, heldout Acc=0.929784, overall time=98.8574
i=40, infea=0.0380657, nnz_a=8.16173, nnz_b=12.7944, uni_search=0.212643, uni_subSolve=0.056775, uni_maintain=0.0638314, bi_search=1.03044, bi_subSolve=0.18365, bi_maintain=0.115662, admm_maintain=0.132343, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13370.8, p_obj=33537.9, heldout Acc=0.929487 (1/100), overall time=101.448
i=41, infea=0.0383411, nnz_a=8.22714, nnz_b=12.8653, uni_search=0.212951, uni_subSolve=0.0569102, uni_maintain=0.0645898, bi_search=1.03071, bi_subSolve=0.185602, bi_maintain=0.115985, admm_maintain=0.130935, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13562.6, p_obj=32688.8, heldout Acc=0.927926 (2/100), overall time=104.047
