using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=0, infea=0.0718967, nnz_a=1.73265, nnz_b=1.99779, uni_search=0.220554, uni_subSolve=0.0336216, uni_maintain=0.0203653, bi_search=1.02363, bi_subSolve=0.0506739, bi_maintain=0.0525227, admm_maintain=0.0842493, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4837.23, p_obj=46468.7, heldout Acc=0.883503, overall time=2.8756
i=1, infea=0.0981716, nnz_a=2.22219, nnz_b=2.96461, uni_search=0.248104, uni_subSolve=0.0363469, uni_maintain=0.0252446, bi_search=1.01966, bi_subSolve=0.101675, bi_maintain=0.0591698, admm_maintain=0.0950739, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7700.65, p_obj=38986.8, heldout Acc=0.887346, overall time=5.22377
i=2, infea=0.116815, nnz_a=2.57264, nnz_b=3.87777, uni_search=0.216202, uni_subSolve=0.0373935, uni_maintain=0.0321046, bi_search=1.00457, bi_subSolve=0.0707818, bi_maintain=0.0663542, admm_maintain=0.0985382, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9949.61, p_obj=36804.5, heldout Acc=0.903702, overall time=7.51295
i=3, infea=0.130683, nnz_a=2.85317, nnz_b=4.70844, uni_search=0.235574, uni_subSolve=0.0394195, uni_maintain=0.0319044, bi_search=1.02415, bi_subSolve=0.107563, bi_maintain=0.0735185, admm_maintain=0.10422, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11933.2, p_obj=35903.6, heldout Acc=0.89994 (1/100), overall time=9.8982
i=4, infea=0.140751, nnz_a=3.09728, nnz_b=5.46873, uni_search=0.22147, uni_subSolve=0.0413337, uni_maintain=0.0335049, bi_search=1.0054, bi_subSolve=0.0827079, bi_maintain=0.0793213, admm_maintain=0.106763, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13749.8, p_obj=36641.3, heldout Acc=0.894338 (2/100), overall time=12.2356
i=5, infea=0.148514, nnz_a=3.31745, nnz_b=6.17185, uni_search=0.218501, uni_subSolve=0.042846, uni_maintain=0.0347221, bi_search=1.00484, bi_subSolve=0.0863723, bi_maintain=0.085028, admm_maintain=0.109745, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15424.4, p_obj=33853.6, heldout Acc=0.90658, overall time=14.5901
i=6, infea=0.154731, nnz_a=3.52188, nnz_b=6.8201, uni_search=0.217783, uni_subSolve=0.0440387, uni_maintain=0.0368511, bi_search=1.00577, bi_subSolve=0.0946499, bi_maintain=0.0904389, admm_maintain=0.112981, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16962.5, p_obj=31331.7, heldout Acc=0.906156 (1/100), overall time=16.9671
i=7, infea=0.15943, nnz_a=3.71214, nnz_b=7.42003, uni_search=0.225953, uni_subSolve=0.0452259, uni_maintain=0.0366416, bi_search=1.01324, bi_subSolve=0.115265, bi_maintain=0.0948611, admm_maintain=0.115311, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18338.3, p_obj=31166, heldout Acc=0.902421 (2/100), overall time=19.4013
i=8, infea=0.162437, nnz_a=3.89315, nnz_b=7.97747, uni_search=0.239573, uni_subSolve=0.0477542, uni_maintain=0.0378478, bi_search=1.03333, bi_subSolve=0.121809, bi_maintain=0.108993, admm_maintain=0.130687, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19524.1, p_obj=27687.5, heldout Acc=0.901862 (3/100), overall time=21.9374
i=9, infea=0.163942, nnz_a=4.06729, nnz_b=8.49012, uni_search=0.249934, uni_subSolve=0.0497686, uni_maintain=0.0387252, bi_search=1.03058, bi_subSolve=0.120137, bi_maintain=0.111848, admm_maintain=0.132368, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20517.2, p_obj=31286.6, heldout Acc=0.913879, overall time=24.4837
i=10, infea=0.164461, nnz_a=4.23793, nnz_b=8.96623, uni_search=0.247711, uni_subSolve=0.0501765, uni_maintain=0.0392114, bi_search=1.02899, bi_subSolve=0.119907, bi_maintain=0.114356, admm_maintain=0.131765, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21332.5, p_obj=29298, heldout Acc=0.912517 (1/100), overall time=27.0271
