using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=0.1
i=0, infea=0.0116038, nnz_a=1.99689, nnz_b=2, uni_search=1.23471, uni_subSolve=0.0192068, uni_maintain=0.00933959, bi_search=0.088598, bi_subSolve=0.00603499, bi_maintain=0.03699, admm_maintain=0.0116193, area1=0.996264, area23=1.00629, area4=1.00668, dual_obj=-5.55137, overall time=1.75657
i=1, infea=0.0215287, nnz_a=2.93292, nnz_b=2.98291, uni_search=1.12841, uni_subSolve=0.022045, uni_maintain=0.014217, bi_search=0.0908135, bi_subSolve=0.00498315, bi_maintain=0.0390268, admm_maintain=0.01343, area1=3.94133, area23=1.02919, area4=1.01781, dual_obj=-10.9857, overall time=3.1393
i=2, infea=0.0306366, nnz_a=3.76807, nnz_b=3.93688, uni_search=1.35044, uni_subSolve=0.0333581, uni_maintain=0.0239482, bi_search=0.161758, bi_subSolve=0.00955037, bi_maintain=0.0683165, admm_maintain=0.0303273, area1=8.74847, area23=1.03142, area4=1.02449, dual_obj=-16.2402, overall time=4.91092
i=3, infea=0.0391615, nnz_a=4.52554, nnz_b=4.8709, uni_search=1.40048, uni_subSolve=0.0401135, uni_maintain=0.0354576, bi_search=0.181489, bi_subSolve=0.0108765, bi_maintain=0.0740362, admm_maintain=0.0377299, area1=15.3337, area23=1.02897, area4=1.03546, dual_obj=-21.3544, overall time=6.78853
i=4, infea=0.0471076, nnz_a=5.21911, nnz_b=5.77884, uni_search=1.18511, uni_subSolve=0.0378415, uni_maintain=0.0381769, bi_search=0.110673, bi_subSolve=0.00701131, bi_maintain=0.0364379, admm_maintain=0.0266675, area1=23.6933, area23=1.02737, area4=1.04484, dual_obj=-26.3602, overall time=8.29583
i=5, infea=0.054567, nnz_a=5.85405, nnz_b=6.66961, uni_search=1.11845, uni_subSolve=0.0394192, uni_maintain=0.0414425, bi_search=0.121422, bi_subSolve=0.00817447, bi_maintain=0.0415246, admm_maintain=0.0270797, area1=33.6832, area23=1.02679, area4=1.04992, dual_obj=-31.2368, overall time=9.7575
i=6, infea=0.0615258, nnz_a=6.43451, nnz_b=7.54003, uni_search=1.16692, uni_subSolve=0.0449206, uni_maintain=0.0480899, bi_search=0.174234, bi_subSolve=0.0114679, bi_maintain=0.0641096, admm_maintain=0.0377766, area1=45.1625, area23=1.02585, area4=1.05628, dual_obj=-35.9868, overall time=11.3829
i=7, infea=0.0680543, nnz_a=6.95553, nnz_b=8.39001, uni_search=1.21833, uni_subSolve=0.0505076, uni_maintain=0.0548005, bi_search=0.171822, bi_subSolve=0.0117056, bi_maintain=0.0569864, admm_maintain=0.0408032, area1=58.078, area23=1.02458, area4=1.06423, dual_obj=-40.6512, overall time=13.0655
i=8, infea=0.0742205, nnz_a=7.43933, nnz_b=9.21178, uni_search=1.18613, uni_subSolve=0.0517356, uni_maintain=0.0567543, bi_search=0.148555, bi_subSolve=0.0112253, bi_maintain=0.0475438, admm_maintain=0.0367939, area1=72.3056, area23=1.02511, area4=1.07187, dual_obj=-45.215, overall time=14.6781
i=9, infea=0.0798541, nnz_a=7.87584, nnz_b=10.0176, uni_search=1.14817, uni_subSolve=0.0521132, uni_maintain=0.0578826, bi_search=0.140582, bi_subSolve=0.0112822, bi_maintain=0.041883, admm_maintain=0.0392063, area1=87.5611, area23=1.02581, area4=1.07187, dual_obj=-49.6191, p_obj=552.079, heldout Acc=0.180026, overall time=16.237
i=10, infea=0.0851309, nnz_a=8.28627, nnz_b=10.804, uni_search=1.27334, uni_subSolve=0.0573349, uni_maintain=0.0645485, bi_search=0.215319, bi_subSolve=0.0183035, bi_maintain=0.0851618, admm_maintain=0.0322008, area1=103.876, area23=1.02461, area4=1.08395, dual_obj=-53.9398, overall time=18.076
i=11, infea=0.0900311, nnz_a=8.65911, nnz_b=11.5582, uni_search=1.03573, uni_subSolve=0.0495766, uni_maintain=0.0558363, bi_search=0.17007, bi_subSolve=0.0162257, bi_maintain=0.0683796, admm_maintain=0.0328048, area1=120.979, area23=1.02593, area4=1.08411, dual_obj=-58.1562, overall time=19.5838
i=12, infea=0.0945476, nnz_a=9.00593, nnz_b=12.298, uni_search=1.04081, uni_subSolve=0.0512612, uni_maintain=0.0582368, bi_search=0.177389, bi_subSolve=0.0174178, bi_maintain=0.0704819, admm_maintain=0.0342295, area1=138.841, area23=1.02665, area4=1.09301, dual_obj=-62.263, overall time=21.1134
