using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=1
i=0, infea=0.0964916, nnz_a=1.99993, nnz_b=2, uni_search=0.893012, uni_subSolve=0.0129335, uni_maintain=0.00886851, bi_search=0.0512273, bi_subSolve=0.00527284, bi_maintain=0.0181251, admm_maintain=0.00727606, area1=0.999841, area23=1.00382, area4=1.00032, dual_obj=-725.565, overall time=1.20305
i=1, infea=0.176881, nnz_a=2.99481, nnz_b=3, uni_search=0.901366, uni_subSolve=0.0171648, uni_maintain=0.0119953, bi_search=0.0621267, bi_subSolve=0.0053174, bi_maintain=0.0150239, admm_maintain=0.00933993, area1=3.9558, area23=1.03018, area4=1.00048, dual_obj=-1339.4, overall time=2.28015
i=2, infea=0.245051, nnz_a=3.96427, nnz_b=4, uni_search=0.892741, uni_subSolve=0.0209856, uni_maintain=0.0170616, bi_search=0.0611762, bi_subSolve=0.00582663, bi_maintain=0.0155974, admm_maintain=0.0111928, area1=8.66889, area23=1.04323, area4=1.00032, dual_obj=-1881.19, overall time=3.35616
i=3, infea=0.302511, nnz_a=4.89956, nnz_b=4.99976, uni_search=0.903902, uni_subSolve=0.0251654, uni_maintain=0.0239826, bi_search=0.074258, bi_subSolve=0.00703441, bi_maintain=0.0188832, admm_maintain=0.014191, area1=15.0755, area23=1.04721, area4=1.00032, dual_obj=-2367.69, overall time=4.47634
i=4, infea=0.35067, nnz_a=5.79542, nnz_b=5.99785, uni_search=0.890314, uni_subSolve=0.0282697, uni_maintain=0.0290882, bi_search=0.0710713, bi_subSolve=0.00762602, bi_maintain=0.0195534, admm_maintain=0.014817, area1=23.1156, area23=1.05049, area4=1.00016, dual_obj=-2809.45, overall time=5.58955
i=5, infea=0.390672, nnz_a=6.65859, nnz_b=6.99531, uni_search=0.904159, uni_subSolve=0.0324946, uni_maintain=0.0341387, bi_search=0.0813416, bi_subSolve=0.00871753, bi_maintain=0.0222201, admm_maintain=0.017366, area1=32.9141, area23=1.05177, area4=1.00016, dual_obj=-3214.9, overall time=6.74344
i=6, infea=0.42358, nnz_a=7.48373, nnz_b=7.99038, uni_search=0.885882, uni_subSolve=0.0352055, uni_maintain=0.0370457, bi_search=0.0821884, bi_subSolve=0.00912677, bi_maintain=0.0228636, admm_maintain=0.0175875, area1=44.3909, area23=1.05505, area4=1, dual_obj=-3589.79, overall time=7.88631
i=7, infea=0.450606, nnz_a=8.28011, nnz_b=8.98148, uni_search=0.912512, uni_subSolve=0.0398261, uni_maintain=0.0424802, bi_search=0.09827, bi_subSolve=0.0105602, bi_maintain=0.0261347, admm_maintain=0.0211968, area1=57.6119, area23=1.05734, area4=1.00048, dual_obj=-3936.32, overall time=9.09278
i=8, infea=0.47248, nnz_a=9.04796, nnz_b=9.9678, uni_search=0.882052, uni_subSolve=0.0461284, uni_maintain=0.0438816, bi_search=0.0932585, bi_subSolve=0.0108968, bi_maintain=0.0261879, admm_maintain=0.0213058, area1=72.5458, area23=1.06149, area4=1.00016, dual_obj=-4256.72, overall time=10.2711
i=9, infea=0.489892, nnz_a=9.78386, nnz_b=10.9513, uni_search=0.91201, uni_subSolve=0.0478323, uni_maintain=0.0495758, bi_search=0.10392, bi_subSolve=0.012214, bi_maintain=0.0289754, admm_maintain=0.0245077, area1=89.0687, area23=1.06409, area4=1.00016, dual_obj=-4553.3, p_obj=14690.4, heldout Acc=0.452694, overall time=11.5061
i=10, infea=0.503517, nnz_a=10.495, nnz_b=11.929, uni_search=0.883592, uni_subSolve=0.0479599, uni_maintain=0.0505276, bi_search=0.10405, bi_subSolve=0.0126803, bi_maintain=0.0293912, admm_maintain=0.0234288, area1=107.12, area23=1.06599, area4=1.00032, dual_obj=-4827.85, overall time=12.7129
i=11, infea=0.513811, nnz_a=11.1753, nnz_b=12.9025, uni_search=0.913766, uni_subSolve=0.0523311, uni_maintain=0.056227, bi_search=0.115176, bi_subSolve=0.0140167, bi_maintain=0.0321998, admm_maintain=0.0265303, area1=126.683, area23=1.07145, area4=1.00032, dual_obj=-5081.72, overall time=13.9794
i=12, infea=0.52143, nnz_a=11.8322, nnz_b=13.8719, uni_search=0.876601, uni_subSolve=0.0526593, uni_maintain=0.0557483, bi_search=0.115059, bi_subSolve=0.0145842, bi_maintain=0.0323659, admm_maintain=0.0253659, area1=147.474, area23=1.07752, area4=1.00016, dual_obj=-5316.9, overall time=15.2073
i=13, infea=0.526529, nnz_a=12.4583, nnz_b=14.8328, uni_search=0.91995, uni_subSolve=0.0580691, uni_maintain=0.0626251, bi_search=0.120489, bi_subSolve=0.0155124, bi_maintain=0.0337296, admm_maintain=0.0263102, area1=169.645, area23=1.08093, area4=1.00048, dual_obj=-5534.85, overall time=16.5002
i=14, infea=0.530056, nnz_a=13.0592, nnz_b=15.7923, uni_search=0.883352, uni_subSolve=0.0580586, uni_maintain=0.061761, bi_search=0.14282, bi_subSolve=0.0178216, bi_maintain=0.0392734, admm_maintain=0.0290282, area1=192.987, area23=1.09008, area4=1.00048, dual_obj=-5737.87, overall time=17.7898
i=15, infea=0.531863, nnz_a=13.6359, nnz_b=16.7445, uni_search=0.895876, uni_subSolve=0.0612389, uni_maintain=0.0656465, bi_search=0.136739, bi_subSolve=0.0176187, bi_maintain=0.0370596, admm_maintain=0.0282949, area1=217.158, area23=1.0971, area4=1.00016, dual_obj=-5926.13, overall time=19.089
i=16, infea=0.532468, nnz_a=14.1841, nnz_b=17.6917, uni_search=0.904707, uni_subSolve=0.0642439, uni_maintain=0.0693072, bi_search=0.145836, bi_subSolve=0.0191167, bi_maintain=0.039816, admm_maintain=0.0313803, area1=242.229, area23=1.10569, area4=1.00064, dual_obj=-6101.63, overall time=20.4216
i=17, infea=0.531901, nnz_a=14.7216, nnz_b=18.6307, uni_search=0.88613, uni_subSolve=0.06497, uni_maintain=0.0696202, bi_search=0.142448, bi_subSolve=0.0197416, bi_maintain=0.0393966, admm_maintain=0.0299306, area1=267.668, area23=1.11293, area4=1.00032, dual_obj=-6265.1, overall time=21.7314
