using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=5, admm_step_size=1, C=1, eta=10
i=0, infea=0.02011, nnz_a=2, nnz_b=2, uni_search=0.493165, uni_subSolve=0.0202199, uni_maintain=0.00951711, bi_search=0.137699, bi_subSolve=0.00907457, bi_maintain=0.0474869, admm_maintain=0.0144421, area1=1, area23=1.0004, area4=1, dual_obj=-208.399, overall time=1.19054
i=1, infea=0.0239269, nnz_a=2.99918, nnz_b=3, uni_search=0.50911, uni_subSolve=0.0282668, uni_maintain=0.0140168, bi_search=0.129773, bi_subSolve=0.00632826, bi_maintain=0.0303525, admm_maintain=0.0177882, area1=3.99444, area23=1.00302, area4=1, dual_obj=-317.837, overall time=2.00161
i=2, infea=0.0235336, nnz_a=3.95582, nnz_b=4, uni_search=0.522434, uni_subSolve=0.038864, uni_maintain=0.0252212, bi_search=0.158043, bi_subSolve=0.00868477, bi_maintain=0.0401955, admm_maintain=0.0246239, area1=8.86287, area23=1.00905, area4=1, dual_obj=-384.088, overall time=2.90045
i=3, infea=0.022811, nnz_a=4.7419, nnz_b=5, uni_search=0.516931, uni_subSolve=0.0423989, uni_maintain=0.0357065, bi_search=0.178678, bi_subSolve=0.0097156, bi_maintain=0.0446744, admm_maintain=0.0328169, area1=14.9565, area23=1.02222, area4=1, dual_obj=-435.922, overall time=3.84506
i=4, infea=0.0233041, nnz_a=5.28975, nnz_b=5.99952, uni_search=0.49942, uni_subSolve=0.0462281, uni_maintain=0.0424939, bi_search=0.188391, bi_subSolve=0.0116954, bi_maintain=0.0514674, admm_maintain=0.0421148, area1=22.0695, area23=1.02941, area4=1, dual_obj=-489.755, overall time=4.81256
i=5, infea=0.0246656, nnz_a=5.76273, nnz_b=6.99825, uni_search=0.51071, uni_subSolve=0.0528221, uni_maintain=0.0500968, bi_search=0.173251, bi_subSolve=0.0118866, bi_maintain=0.0495469, admm_maintain=0.0329464, area1=30.3566, area23=1.03824, area4=1, dual_obj=-548.135, overall time=5.77816
i=6, infea=0.0264522, nnz_a=6.21866, nnz_b=7.99595, uni_search=0.51945, uni_subSolve=0.0596691, uni_maintain=0.0593918, bi_search=0.170983, bi_subSolve=0.0133701, bi_maintain=0.0531017, admm_maintain=0.0323983, area1=39.5434, area23=1.04439, area4=1, dual_obj=-606.996, overall time=6.77107
i=7, infea=0.0281665, nnz_a=6.65258, nnz_b=8.98426, uni_search=0.482556, uni_subSolve=0.052211, uni_maintain=0.0512178, bi_search=0.203222, bi_subSolve=0.0152966, bi_maintain=0.061174, admm_maintain=0.0361504, area1=49.8268, area23=1.05306, area4=1, dual_obj=-664.019, overall time=7.75619
i=8, infea=0.0297509, nnz_a=7.06011, nnz_b=9.94666, uni_search=0.48837, uni_subSolve=0.0559589, uni_maintain=0.0553617, bi_search=0.214934, bi_subSolve=0.0180998, bi_maintain=0.0686229, admm_maintain=0.0416245, area1=61.1772, area23=1.05901, area4=1, dual_obj=-718.398, overall time=8.78996
i=9, infea=0.0311458, nnz_a=7.44281, nnz_b=10.8691, uni_search=0.492127, uni_subSolve=0.0599091, uni_maintain=0.0589353, bi_search=0.229115, bi_subSolve=0.0198672, bi_maintain=0.0741791, admm_maintain=0.0418859, area1=73.6943, area23=1.06675, area4=1, dual_obj=-770.237, p_obj=14089.9, heldout Acc=0.513141, overall time=9.85497
i=10, infea=0.0322777, nnz_a=7.78882, nnz_b=11.7275, uni_search=0.487133, uni_subSolve=0.0618163, uni_maintain=0.0605813, bi_search=0.233184, bi_subSolve=0.0212787, bi_maintain=0.0765428, admm_maintain=0.0405991, area1=87.3421, area23=1.06973, area4=1.00016, dual_obj=-818.354, overall time=10.9237
