using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=0, infea=0.00299943, nnz_a=2, nnz_b=2, uni_search=0.847149, uni_subSolve=0.0116826, uni_maintain=0.00882793, bi_search=20.7747, bi_subSolve=0.0180256, bi_maintain=0.0291261, admm_maintain=0.00607912, area1=-nan, area23=-nan, area4=-nan, dual_obj=-139.482, overall time=21.8985
i=1, infea=0.00833859, nnz_a=2.97087, nnz_b=2.99897, uni_search=0.848765, uni_subSolve=0.0152789, uni_maintain=0.0142293, bi_search=20.7711, bi_subSolve=0.020987, bi_maintain=0.0277699, admm_maintain=0.00741344, area1=-nan, area23=-nan, area4=-nan, dual_obj=-268.658, overall time=43.658
i=2, infea=0.0152675, nnz_a=3.90883, nnz_b=3.99547, uni_search=0.848573, uni_subSolve=0.0190814, uni_maintain=0.0191631, bi_search=21.1492, bi_subSolve=0.0380298, bi_maintain=0.0417135, admm_maintain=0.00915119, area1=-nan, area23=-nan, area4=-nan, dual_obj=-390.422, overall time=65.8415
i=3, infea=0.0225265, nnz_a=4.79927, nnz_b=4.98609, uni_search=0.852448, uni_subSolve=0.0222406, uni_maintain=0.0244629, bi_search=20.778, bi_subSolve=0.023764, bi_maintain=0.0393924, admm_maintain=0.0115769, area1=-nan, area23=-nan, area4=-nan, dual_obj=-507.574, overall time=87.6485
i=4, infea=0.0294192, nnz_a=5.6451, nnz_b=5.96971, uni_search=0.848511, uni_subSolve=0.0249788, uni_maintain=0.0293675, bi_search=20.9563, bi_subSolve=0.0246769, bi_maintain=0.0496499, admm_maintain=0.012295, area1=-nan, area23=-nan, area4=-nan, dual_obj=-621.732, overall time=109.654
i=5, infea=0.0361404, nnz_a=6.44467, nnz_b=6.94594, uni_search=0.8734, uni_subSolve=0.029036, uni_maintain=0.0343984, bi_search=20.7856, bi_subSolve=0.0235839, bi_maintain=0.0488199, admm_maintain=0.0135184, area1=-nan, area23=-nan, area4=-nan, dual_obj=-733.62, overall time=131.519
i=6, infea=0.0426737, nnz_a=7.20295, nnz_b=7.90993, uni_search=0.847699, uni_subSolve=0.0306575, uni_maintain=0.0364542, bi_search=20.8968, bi_subSolve=0.0253943, bi_maintain=0.0565461, admm_maintain=0.0158652, area1=-nan, area23=-nan, area4=-nan, dual_obj=-843.392, overall time=153.487
i=7, infea=0.0489709, nnz_a=7.91817, nnz_b=8.86772, uni_search=0.885082, uni_subSolve=0.0354253, uni_maintain=0.0388913, bi_search=20.8375, bi_subSolve=0.0315479, bi_maintain=0.0584714, admm_maintain=0.0161919, area1=-nan, area23=-nan, area4=-nan, dual_obj=-951.314, overall time=175.449
i=8, infea=0.0551569, nnz_a=8.60122, nnz_b=9.81596, uni_search=0.848182, uni_subSolve=0.0356727, uni_maintain=0.0397941, bi_search=20.8057, bi_subSolve=0.0259277, bi_maintain=0.0604841, admm_maintain=0.0177474, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1057.46, overall time=197.34
i=9, infea=0.0612001, nnz_a=9.24728, nnz_b=10.7548, uni_search=0.849966, uni_subSolve=0.0380664, uni_maintain=0.0426044, bi_search=20.772, bi_subSolve=0.0255758, bi_maintain=0.063089, admm_maintain=0.0181205, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1161.67, p_obj=14039, heldout Acc=0.446124, overall time=219.206
i=10, infea=0.0671192, nnz_a=9.8688, nnz_b=11.6803, uni_search=0.86979, uni_subSolve=0.0412602, uni_maintain=0.0471196, bi_search=20.7744, bi_subSolve=0.0265148, bi_maintain=0.0663413, admm_maintain=0.0208727, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1264.16, overall time=241.111
i=11, infea=0.0729005, nnz_a=10.4583, nnz_b=12.5995, uni_search=0.862821, uni_subSolve=0.0428699, uni_maintain=0.0487554, bi_search=20.7873, bi_subSolve=0.0298307, bi_maintain=0.0706564, admm_maintain=0.0212942, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1365.1, overall time=263.032
i=12, infea=0.0786697, nnz_a=11.0148, nnz_b=13.5048, uni_search=0.848741, uni_subSolve=0.0438208, uni_maintain=0.0498569, bi_search=21.0543, bi_subSolve=0.0394398, bi_maintain=0.0907107, admm_maintain=0.0210234, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1464.29, overall time=285.241
i=13, infea=0.0842341, nnz_a=11.5498, nnz_b=14.4014, uni_search=0.848052, uni_subSolve=0.0454111, uni_maintain=0.0549543, bi_search=20.7892, bi_subSolve=0.0292538, bi_maintain=0.0775581, admm_maintain=0.0207977, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1561.9, overall time=307.164
i=14, infea=0.089729, nnz_a=12.0606, nnz_b=15.2922, uni_search=0.845548, uni_subSolve=0.0468214, uni_maintain=0.056773, bi_search=20.7817, bi_subSolve=0.0295645, bi_maintain=0.0701869, admm_maintain=0.0214911, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1657.91, overall time=329.071
i=15, infea=0.0951128, nnz_a=12.5577, nnz_b=16.171, uni_search=0.844354, uni_subSolve=0.048366, uni_maintain=0.0559749, bi_search=20.7806, bi_subSolve=0.0300351, bi_maintain=0.0639612, admm_maintain=0.0226508, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1752.32, overall time=350.972
i=16, infea=0.100357, nnz_a=13.0296, nnz_b=17.0417, uni_search=0.844215, uni_subSolve=0.0497859, uni_maintain=0.0580119, bi_search=20.7808, bi_subSolve=0.0301586, bi_maintain=0.0672122, admm_maintain=0.0229127, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1845.13, overall time=372.881
i=17, infea=0.105476, nnz_a=13.4814, nnz_b=17.9005, uni_search=0.842691, uni_subSolve=0.0507477, uni_maintain=0.0625585, bi_search=20.7119, bi_subSolve=0.0264216, bi_maintain=0.0660682, admm_maintain=0.0233739, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1936.73, overall time=394.72
i=18, infea=0.110476, nnz_a=13.9214, nnz_b=18.7566, uni_search=0.844448, uni_subSolve=0.052078, uni_maintain=0.0644684, bi_search=20.6953, bi_subSolve=0.0264795, bi_maintain=0.0658519, admm_maintain=0.0240743, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2026.72, overall time=416.547
i=19, infea=0.115368, nnz_a=14.3375, nnz_b=19.6042, uni_search=0.844395, uni_subSolve=0.0533765, uni_maintain=0.0661527, bi_search=20.6963, bi_subSolve=0.0269735, bi_maintain=0.0672468, admm_maintain=0.0245957, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2115.24, p_obj=14395.3, heldout Acc=0.519711, overall time=438.382
i=20, infea=0.1202, nnz_a=14.7441, nnz_b=20.4446, uni_search=0.845108, uni_subSolve=0.0547333, uni_maintain=0.0657885, bi_search=20.7007, bi_subSolve=0.0282781, bi_maintain=0.0722912, admm_maintain=0.0269206, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2202.19, overall time=460.231
i=21, infea=0.124852, nnz_a=15.1319, nnz_b=21.2732, uni_search=0.85265, uni_subSolve=0.056172, uni_maintain=0.067172, bi_search=20.6963, bi_subSolve=0.0292089, bi_maintain=0.0749021, admm_maintain=0.0274077, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2287.82, overall time=482.091
i=22, infea=0.129423, nnz_a=15.5074, nnz_b=22.0952, uni_search=0.851137, uni_subSolve=0.0571967, uni_maintain=0.0686079, bi_search=20.6968, bi_subSolve=0.0296378, bi_maintain=0.0766917, admm_maintain=0.0281601, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2372.14, overall time=503.956
i=23, infea=0.13387, nnz_a=15.8737, nnz_b=22.9122, uni_search=0.852793, uni_subSolve=0.0583841, uni_maintain=0.0702207, bi_search=20.6985, bi_subSolve=0.030537, bi_maintain=0.0794615, admm_maintain=0.0281938, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2455.13, overall time=525.831
i=24, infea=0.138273, nnz_a=16.2276, nnz_b=23.7187, uni_search=0.908319, uni_subSolve=0.0649276, uni_maintain=0.0832603, bi_search=20.7232, bi_subSolve=0.0332479, bi_maintain=0.0843863, admm_maintain=0.0312311, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2536.66, overall time=547.817
i=25, infea=0.142599, nnz_a=16.5713, nnz_b=24.5186, uni_search=0.91019, uni_subSolve=0.066291, uni_maintain=0.0820189, bi_search=20.722, bi_subSolve=0.0339248, bi_maintain=0.0864544, admm_maintain=0.0314374, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2616.89, overall time=569.808
i=26, infea=0.14669, nnz_a=16.9014, nnz_b=25.3091, uni_search=0.907471, uni_subSolve=0.0671023, uni_maintain=0.083073, bi_search=20.7231, bi_subSolve=0.0346798, bi_maintain=0.0885564, admm_maintain=0.0319873, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2695.75, overall time=591.802
i=27, infea=0.150774, nnz_a=17.2199, nnz_b=26.0918, uni_search=0.852079, uni_subSolve=0.0623375, uni_maintain=0.0790896, bi_search=20.696, bi_subSolve=0.032786, bi_maintain=0.0857197, admm_maintain=0.0303846, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2773.51, overall time=613.697
i=28, infea=0.154819, nnz_a=17.5302, nnz_b=26.8642, uni_search=0.851331, uni_subSolve=0.0632174, uni_maintain=0.0802014, bi_search=20.6957, bi_subSolve=0.0333911, bi_maintain=0.0876754, admm_maintain=0.0311088, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2850.01, overall time=635.597
i=29, infea=0.158748, nnz_a=17.8334, nnz_b=27.6311, uni_search=0.926094, uni_subSolve=0.0720115, uni_maintain=0.0932534, bi_search=20.7225, bi_subSolve=0.0365916, bi_maintain=0.0939204, admm_maintain=0.0330772, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2925.16, p_obj=14656.8, heldout Acc=0.560447, overall time=657.633
i=30, infea=0.162605, nnz_a=18.1184, nnz_b=28.3886, uni_search=0.851014, uni_subSolve=0.0649569, uni_maintain=0.0800916, bi_search=20.6976, bi_subSolve=0.0345822, bi_maintain=0.0910053, admm_maintain=0.0320145, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2999.27, overall time=679.541
i=31, infea=0.16643, nnz_a=18.3997, nnz_b=29.1344, uni_search=0.850733, uni_subSolve=0.065782, uni_maintain=0.0805838, bi_search=20.6995, bi_subSolve=0.0359464, bi_maintain=0.0922016, admm_maintain=0.0321765, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3071.83, overall time=701.458
i=32, infea=0.170146, nnz_a=18.6718, nnz_b=29.8738, uni_search=0.953803, uni_subSolve=0.0777777, uni_maintain=0.102186, bi_search=22.9208, bi_subSolve=0.0855278, bi_maintain=0.144143, admm_maintain=0.0368385, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3143.45, overall time=725.848
i=33, infea=0.173808, nnz_a=18.9337, nnz_b=30.5966, uni_search=0.852911, uni_subSolve=0.0674634, uni_maintain=0.0867296, bi_search=20.7, bi_subSolve=0.0373243, bi_maintain=0.0954816, admm_maintain=0.032977, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3213.87, overall time=747.779
i=34, infea=0.177397, nnz_a=19.1901, nnz_b=31.3218, uni_search=0.907189, uni_subSolve=0.0744183, uni_maintain=0.0973088, bi_search=20.7231, bi_subSolve=0.0402841, bi_maintain=0.101649, admm_maintain=0.0362821, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3283.26, overall time=769.818
i=35, infea=0.18092, nnz_a=19.44, nnz_b=32.0364, uni_search=0.853524, uni_subSolve=0.0689629, uni_maintain=0.0886343, bi_search=20.6973, bi_subSolve=0.0382001, bi_maintain=0.0984084, admm_maintain=0.0342002, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3351.51, overall time=791.755
i=36, infea=0.184446, nnz_a=19.6901, nnz_b=32.7485, uni_search=0.851167, uni_subSolve=0.0696082, uni_maintain=0.0859815, bi_search=20.6986, bi_subSolve=0.0386675, bi_maintain=0.0994553, admm_maintain=0.0350917, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3418.61, overall time=813.692
i=37, infea=0.187891, nnz_a=19.9265, nnz_b=33.4462, uni_search=0.85305, uni_subSolve=0.0704029, uni_maintain=0.0872929, bi_search=20.699, bi_subSolve=0.0392646, bi_maintain=0.101297, admm_maintain=0.0351872, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3484.55, overall time=835.636
i=38, infea=0.191287, nnz_a=20.1605, nnz_b=34.1372, uni_search=0.852483, uni_subSolve=0.0710046, uni_maintain=0.0879481, bi_search=20.6998, bi_subSolve=0.0396532, bi_maintain=0.102532, admm_maintain=0.0355403, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3549.35, overall time=857.584
i=39, infea=0.19467, nnz_a=20.3794, nnz_b=34.8185, uni_search=0.853086, uni_subSolve=0.0717441, uni_maintain=0.0889044, bi_search=20.6994, bi_subSolve=0.0401932, bi_maintain=0.103717, admm_maintain=0.0360886, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3613.39, p_obj=14895.6, heldout Acc=0.585414, overall time=879.536
i=40, infea=0.197939, nnz_a=20.6011, nnz_b=35.491, uni_search=0.851073, uni_subSolve=0.0722555, uni_maintain=0.0896576, bi_search=20.6995, bi_subSolve=0.040557, bi_maintain=0.104669, admm_maintain=0.0355474, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3676.18, overall time=901.491
i=41, infea=0.201122, nnz_a=20.8153, nnz_b=36.1549, uni_search=0.850843, uni_subSolve=0.072843, uni_maintain=0.0904865, bi_search=20.6994, bi_subSolve=0.0410846, bi_maintain=0.106701, admm_maintain=0.0367762, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3737.94, overall time=923.447
i=42, infea=0.204268, nnz_a=21.0253, nnz_b=36.8189, uni_search=0.852981, uni_subSolve=0.0735196, uni_maintain=0.0914758, bi_search=20.6998, bi_subSolve=0.0416585, bi_maintain=0.108155, admm_maintain=0.0366234, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3798.79, overall time=945.415
i=43, infea=0.207438, nnz_a=21.2275, nnz_b=37.4767, uni_search=0.952226, uni_subSolve=0.0861526, uni_maintain=0.113516, bi_search=23.9771, bi_subSolve=0.118429, bi_maintain=0.19762, admm_maintain=0.0408058, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3858.56, overall time=970.975
i=44, infea=0.210547, nnz_a=21.4255, nnz_b=38.1229, uni_search=0.851962, uni_subSolve=0.0746221, uni_maintain=0.0929807, bi_search=20.6993, bi_subSolve=0.0424476, bi_maintain=0.110926, admm_maintain=0.0376203, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3917.36, overall time=992.943
i=45, infea=0.213578, nnz_a=21.6226, nnz_b=38.7605, uni_search=0.852219, uni_subSolve=0.0751587, uni_maintain=0.0969474, bi_search=20.7013, bi_subSolve=0.0430704, bi_maintain=0.112889, admm_maintain=0.0373338, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3975.24, overall time=1014.92
i=46, infea=0.216546, nnz_a=21.8096, nnz_b=39.398, uni_search=0.851707, uni_subSolve=0.0757925, uni_maintain=0.0945179, bi_search=20.701, bi_subSolve=0.043415, bi_maintain=0.113518, admm_maintain=0.0378131, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4032.1, overall time=1036.9
i=47, infea=0.219535, nnz_a=21.9967, nnz_b=40.0244, uni_search=0.852237, uni_subSolve=0.0762854, uni_maintain=0.0952471, bi_search=20.7015, bi_subSolve=0.0438573, bi_maintain=0.114928, admm_maintain=0.0383425, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4087.87, overall time=1058.88
i=48, infea=0.222434, nnz_a=22.1752, nnz_b=40.6496, uni_search=0.934712, uni_subSolve=0.087423, uni_maintain=0.115453, bi_search=24.0711, bi_subSolve=0.124343, bi_maintain=0.211883, admm_maintain=0.0411906, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4143.03, overall time=1084.54
i=49, infea=0.225182, nnz_a=22.3455, nnz_b=41.2608, uni_search=0.851113, uni_subSolve=0.0771902, uni_maintain=0.0967623, bi_search=20.6991, bi_subSolve=0.0450731, bi_maintain=0.118066, admm_maintain=0.0391798, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4197.22, p_obj=15139.6, heldout Acc=0.61498, overall time=1106.53
i=50, infea=0.227969, nnz_a=22.5255, nnz_b=41.8645, uni_search=0.851665, uni_subSolve=0.0776933, uni_maintain=0.0973132, bi_search=20.7025, bi_subSolve=0.0455565, bi_maintain=0.11926, admm_maintain=0.0391585, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4250.49, overall time=1128.52
