using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=0, infea=0.0625099, nnz_a=2, nnz_b=2, uni_search=0.87331, uni_subSolve=0.0125498, uni_maintain=0.00890607, bi_search=23.8584, bi_subSolve=0.0321415, bi_maintain=0.0636892, admm_maintain=0.0096924, area1=-nan, area23=-nan, area4=-nan, dual_obj=-605.592, overall time=25.0941
i=1, infea=0.118527, nnz_a=2.97272, nnz_b=2.99889, uni_search=1.07704, uni_subSolve=0.0186562, uni_maintain=0.012602, bi_search=23.5266, bi_subSolve=0.0279842, bi_maintain=0.0436488, admm_maintain=0.00999563, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1141.29, overall time=49.8917
i=2, infea=0.165706, nnz_a=3.90142, nnz_b=3.99539, uni_search=0.962741, uni_subSolve=0.0231371, uni_maintain=0.0187682, bi_search=20.984, bi_subSolve=0.0239236, bi_maintain=0.0479433, admm_maintain=0.0108551, area1=-nan, area23=-nan, area4=-nan, dual_obj=-1628.5, overall time=72.024
i=3, infea=0.206805, nnz_a=4.77971, nnz_b=4.99094, uni_search=0.876218, uni_subSolve=0.0235658, uni_maintain=0.0229324, bi_search=21.2851, bi_subSolve=0.0396861, bi_maintain=0.0706142, admm_maintain=0.0124083, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2079.07, overall time=94.4181
i=4, infea=0.243685, nnz_a=5.60589, nnz_b=5.98442, uni_search=0.854404, uni_subSolve=0.0252938, uni_maintain=0.0286843, bi_search=20.7128, bi_subSolve=0.0166095, bi_maintain=0.0442573, admm_maintain=0.0143675, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2496.68, overall time=116.174
i=5, infea=0.277098, nnz_a=6.37544, nnz_b=6.97448, uni_search=0.947716, uni_subSolve=0.0323162, uni_maintain=0.0367925, bi_search=23.1766, bi_subSolve=0.0709141, bi_maintain=0.0973931, admm_maintain=0.0172862, area1=-nan, area23=-nan, area4=-nan, dual_obj=-2889.32, overall time=140.633
i=6, infea=0.307668, nnz_a=7.09903, nnz_b=7.96192, uni_search=0.962649, uni_subSolve=0.0374809, uni_maintain=0.0406722, bi_search=22.4908, bi_subSolve=0.0598324, bi_maintain=0.0885528, admm_maintain=0.0185113, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3257.96, overall time=164.403
i=7, infea=0.335445, nnz_a=7.77229, nnz_b=8.94491, uni_search=0.941515, uni_subSolve=0.0378792, uni_maintain=0.0424529, bi_search=20.7514, bi_subSolve=0.0280836, bi_maintain=0.0594734, admm_maintain=0.0196709, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3605.14, overall time=186.343
i=8, infea=0.360905, nnz_a=8.40034, nnz_b=9.92305, uni_search=0.934698, uni_subSolve=0.0400348, uni_maintain=0.045506, bi_search=20.9889, bi_subSolve=0.0275006, bi_maintain=0.0794092, admm_maintain=0.0217364, area1=-nan, area23=-nan, area4=-nan, dual_obj=-3931.75, overall time=208.543
i=9, infea=0.38466, nnz_a=8.98636, nnz_b=10.8959, uni_search=0.939331, uni_subSolve=0.0442775, uni_maintain=0.0499196, bi_search=20.9627, bi_subSolve=0.0327426, bi_maintain=0.0868336, admm_maintain=0.0211749, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4241.4, p_obj=14623.6, heldout Acc=0.34297, overall time=230.742
i=10, infea=0.406489, nnz_a=9.53636, nnz_b=11.8583, uni_search=0.86281, uni_subSolve=0.0421769, uni_maintain=0.0469258, bi_search=20.9981, bi_subSolve=0.0279611, bi_maintain=0.0760623, admm_maintain=0.0231426, area1=-nan, area23=-nan, area4=-nan, dual_obj=-4533.18, overall time=252.879
