using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.05004, ever_a_nnz=2.05004, b_nnz=2.33442, uni_search=2.27789, uni_subSolve=0.295737, uni_maintain_time=0.143081, bi_search=0.0279416, bi_subSolve=0.0221739, bi_maintain_time=0.0139482, admm_maintain=0.0276992, area4=1.00447, infea=3.49467, d_obj=150.211, overall time=3.03811
i=1, a_nnz=2.50938, ever_a_nnz=2.76139, b_nnz=4.70899, uni_search=2.98582, uni_subSolve=0.410605, uni_maintain_time=0.110336, bi_search=0.0468942, bi_subSolve=0.0391595, bi_maintain_time=0.0254125, admm_maintain=0.0484018, area4=1.018, infea=21.0311, d_obj=1584.87, overall time=6.71324
i=2, a_nnz=2.8844, ever_a_nnz=3.4587, b_nnz=7.45972, uni_search=3.50164, uni_subSolve=0.472196, uni_maintain_time=0.12203, bi_search=0.0443095, bi_subSolve=0.0463626, bi_maintain_time=0.0284388, admm_maintain=0.0560241, area4=1.05387, infea=12.9331, d_obj=515.608, overall time=10.9926
i=3, a_nnz=3.17196, ever_a_nnz=4.11388, b_nnz=10.4273, uni_search=2.60133, uni_subSolve=0.310507, uni_maintain_time=0.111069, bi_search=0.0508889, bi_subSolve=0.057733, bi_maintain_time=0.0338948, admm_maintain=0.0659128, area4=1.07098, infea=13.1028, d_obj=420.5, overall time=14.2328
i=4, a_nnz=3.41842, ever_a_nnz=4.72929, b_nnz=13.4708, uni_search=2.66635, uni_subSolve=0.301297, uni_maintain_time=0.101642, bi_search=0.0577668, bi_subSolve=0.0700511, bi_maintain_time=0.0399364, admm_maintain=0.0802758, area4=1.08273, infea=9.098, d_obj=157.07, overall time=17.5586
i=5, a_nnz=3.62798, ever_a_nnz=5.30965, b_nnz=16.1462, uni_search=3.13557, uni_subSolve=0.344984, uni_maintain_time=0.0971084, bi_search=0.060464, bi_subSolve=0.0789139, bi_maintain_time=0.0468999, admm_maintain=0.0868613, area4=1.08911, infea=13.1323, d_obj=292.86, overall time=21.4159
i=6, a_nnz=3.80384, ever_a_nnz=5.85861, b_nnz=19.1096, uni_search=2.81435, uni_subSolve=0.287258, uni_maintain_time=0.093056, bi_search=0.0777171, bi_subSolve=0.10049, bi_maintain_time=0.0596329, admm_maintain=0.0967183, area4=1.07749, infea=22.6662, d_obj=356.457, overall time=24.9522
i=7, a_nnz=3.97676, ever_a_nnz=6.38121, b_nnz=22.4848, uni_search=2.86456, uni_subSolve=0.287233, uni_maintain_time=0.0906625, bi_search=0.0772929, bi_subSolve=0.104082, bi_maintain_time=0.0579246, admm_maintain=0.109826, area4=1.08017, infea=14.574, d_obj=166.461, overall time=28.5504
i=8, a_nnz=4.10047, ever_a_nnz=6.85682, b_nnz=26.0966, uni_search=3.17319, uni_subSolve=0.325947, uni_maintain_time=0.0992074, bi_search=0.0979236, bi_subSolve=0.130323, bi_maintain_time=0.0673875, admm_maintain=0.137091, area4=1.06907, infea=9.73366, d_obj=85.258, overall time=32.5889
i=9, a_nnz=4.23771, ever_a_nnz=7.32274, b_nnz=29.9342, uni_search=3.78685, uni_subSolve=0.395905, uni_maintain_time=0.112519, bi_search=0.112114, bi_subSolve=0.151696, bi_maintain_time=0.0760013, admm_maintain=0.157999, area4=1.07775, infea=6.368, d_obj=51.3645., heldout Acc=0.98963, overall time=37.3897
i=10, a_nnz=4.36308, ever_a_nnz=7.76803, b_nnz=33.8882, uni_search=6.84506, uni_subSolve=0.752218, uni_maintain_time=0.173916, bi_search=0.207587, bi_subSolve=0.279205, bi_maintain_time=0.142715, admm_maintain=0.316869, area4=1.09511, infea=4.86522, d_obj=50.852, overall time=46.1167
i=11, a_nnz=4.48251, ever_a_nnz=8.18652, b_nnz=37.9848, uni_search=6.4582, uni_subSolve=0.691982, uni_maintain_time=0.164621, bi_search=0.155891, bi_subSolve=0.210536, bi_maintain_time=0.104355, admm_maintain=0.229456, area4=1.09945, infea=3.39568, d_obj=31.0755, overall time=54.1409
i=12, a_nnz=4.5743, ever_a_nnz=8.57622, b_nnz=42.1019, uni_search=4.30888, uni_subSolve=0.467761, uni_maintain_time=0.155035, bi_search=0.167514, bi_subSolve=0.22874, bi_maintain_time=0.110623, admm_maintain=0.24696, area4=1.10826, infea=2.6196, d_obj=21.1536, overall time=59.835
i=13, a_nnz=4.66635, ever_a_nnz=8.95098, b_nnz=46.3045, uni_search=4.45141, uni_subSolve=0.48454, uni_maintain_time=0.15609, bi_search=0.183159, bi_subSolve=0.252072, bi_maintain_time=0.118474, admm_maintain=0.26873, area4=1.11503, infea=2.04572, d_obj=10.853, overall time=65.7581
