using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.04934, ever_a_nnz=2.04934, b_nnz=2.33512, uni_search=5.64837, uni_subSolve=0.81565, uni_maintain_time=0.230803, bi_search=0.0735465, bi_subSolve=0.0370302, bi_maintain_time=0.0384333, admm_maintain=0.042107, area4=1.00421, infea=0.0237009, d_obj=65.7467, overall time=7.36456
i=1, a_nnz=2.52496, ever_a_nnz=2.76963, b_nnz=4.58662, uni_search=5.83868, uni_subSolve=1.03213, uni_maintain_time=0.172349, bi_search=0.0899871, bi_subSolve=0.0936587, bi_maintain_time=0.0530344, admm_maintain=0.064877, area4=1.01111, infea=0.109833, d_obj=188.056, overall time=14.815
i=2, a_nnz=2.89863, ever_a_nnz=3.46808, b_nnz=7.19507, uni_search=6.15817, uni_subSolve=1.06603, uni_maintain_time=0.211303, bi_search=0.127899, bi_subSolve=0.169999, bi_maintain_time=0.0720912, admm_maintain=0.168645, area4=1.018, infea=0.178221, d_obj=370.404, overall time=22.9096
i=3, a_nnz=3.18256, ever_a_nnz=4.11918, b_nnz=10.0765, uni_search=6.09341, uni_subSolve=0.869388, uni_maintain_time=0.177103, bi_search=0.14122, bi_subSolve=0.11164, bi_maintain_time=0.103537, admm_maintain=0.15695, area4=1.02362, infea=0.420949, d_obj=532.417, overall time=30.6853
i=4, a_nnz=3.43802, ever_a_nnz=4.73203, b_nnz=13.2415, uni_search=6.11745, uni_subSolve=0.848928, uni_maintain_time=0.177774, bi_search=0.115338, bi_subSolve=0.150589, bi_maintain_time=0.0765157, admm_maintain=0.155154, area4=1.03102, infea=0.161714, d_obj=159.451, overall time=38.5503
i=5, a_nnz=3.6373, ever_a_nnz=5.31303, b_nnz=16.6239, uni_search=6.5994, uni_subSolve=0.897029, uni_maintain_time=0.178719, bi_search=0.155719, bi_subSolve=0.187362, bi_maintain_time=0.0958348, admm_maintain=0.217127, area4=1.03243, infea=0.601242, d_obj=204.456, overall time=47.2687
i=6, a_nnz=3.79957, ever_a_nnz=5.84961, b_nnz=20.1609, uni_search=7.03274, uni_subSolve=1.01196, uni_maintain_time=0.197973, bi_search=0.276478, bi_subSolve=0.312577, bi_maintain_time=0.229886, admm_maintain=0.280201, area4=1.04698, infea=0.23028, d_obj=40.0505, overall time=56.9146
i=7, a_nnz=3.95889, ever_a_nnz=6.36206, b_nnz=23.8775, uni_search=7.72008, uni_subSolve=0.92239, uni_maintain_time=0.190668, bi_search=0.254664, bi_subSolve=0.364009, bi_maintain_time=0.204554, admm_maintain=0.351171, area4=1.0563, infea=0.235847, d_obj=36.3755, overall time=67.2298
i=8, a_nnz=4.09454, ever_a_nnz=6.84833, b_nnz=27.7072, uni_search=10.6989, uni_subSolve=1.34855, uni_maintain_time=0.202071, bi_search=0.299129, bi_subSolve=0.359877, bi_maintain_time=0.148768, admm_maintain=0.42259, area4=1.08656, infea=0.560673, d_obj=42.1864, overall time=81.2099
i=9, a_nnz=4.22495, ever_a_nnz=7.30793, b_nnz=31.6512, uni_search=12.0058, uni_subSolve=1.41283, uni_maintain_time=0.198691, bi_search=0.321257, bi_subSolve=0.493005, bi_maintain_time=0.17923, admm_maintain=0.446392, area4=1.10979, infea=0.330504, d_obj=18.5772, p_obj=126147, heldout Acc=1, overall time=96.7543
i=10, a_nnz=4.34323, ever_a_nnz=7.74901, b_nnz=35.6933, uni_search=11.1949, uni_subSolve=1.45795, uni_maintain_time=0.228162, bi_search=0.322408, bi_subSolve=0.437834, bi_maintain_time=0.16781, admm_maintain=0.486631, area4=1.16226, infea=0.311371, d_obj=-8.17526, overall time=111.557
i=11, a_nnz=4.4331, ever_a_nnz=8.16296, b_nnz=39.7775, uni_search=10.039, uni_subSolve=1.18445, uni_maintain_time=0.177538, bi_search=0.372238, bi_subSolve=0.520655, bi_maintain_time=0.22577, admm_maintain=0.627298, area4=1.21575, infea=0.830725, d_obj=479.016, overall time=125.316
i=12, a_nnz=4.51755, ever_a_nnz=8.55853, b_nnz=43.8854, uni_search=12.5663, uni_subSolve=1.53217, uni_maintain_time=0.203872, bi_search=0.491387, bi_subSolve=0.703374, bi_maintain_time=0.24376, admm_maintain=0.802252, area4=1.29082, infea=0.940185, d_obj=926.785, overall time=142.557
