using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.test
D=5001
K=407
N=15666
d=237.683
r=1
i=0, a_nnz=2.05962, ever_a_nnz=2.05962, b_nnz=2.34884, uni_search=1.42496, uni_subSolve=0.156997, uni_maintain_time=0.0847009, bi_search=0.014503, bi_subSolve=0.0136853, bi_maintain_time=0.00893387, admm_maintain=0.016905, area4=1.00421, infea=0.0275143, d_obj=76.5759, overall time=1.86858
i=1, a_nnz=2.51992, ever_a_nnz=2.77391, b_nnz=4.59192, uni_search=1.82302, uni_subSolve=0.222842, uni_maintain_time=0.0763912, bi_search=0.0286545, bi_subSolve=0.0252492, bi_maintain_time=0.0179429, admm_maintain=0.0298573, area4=1.01085, infea=0.158754, d_obj=460.415, overall time=4.13392
i=2, a_nnz=2.90489, ever_a_nnz=3.46732, b_nnz=7.19303, uni_search=2.23882, uni_subSolve=0.270734, uni_maintain_time=0.0831649, bi_search=0.0372791, bi_subSolve=0.0391559, bi_maintain_time=0.026864, admm_maintain=0.045059, area4=1.01672, infea=0.20408, d_obj=313.851, overall time=6.93156
i=3, a_nnz=3.20829, ever_a_nnz=4.12741, b_nnz=10.1167, uni_search=2.95385, uni_subSolve=0.374785, uni_maintain_time=0.102283, bi_search=0.0680934, bi_subSolve=0.0755234, bi_maintain_time=0.0450458, admm_maintain=0.0877927, area4=1.02183, infea=0.46383, d_obj=1562.97, overall time=10.7392
i=4, a_nnz=3.45691, ever_a_nnz=4.74678, b_nnz=13.3091, uni_search=3.36339, uni_subSolve=0.41965, uni_maintain_time=0.110552, bi_search=0.0756572, bi_subSolve=0.0881127, bi_maintain_time=0.0503353, admm_maintain=0.0977445, area4=1.02783, infea=0.317064, d_obj=7349.22, overall time=15.0467
i=5, a_nnz=3.65786, ever_a_nnz=5.32625, b_nnz=16.6958, uni_search=3.5935, uni_subSolve=0.442232, uni_maintain_time=0.1145, bi_search=0.0833301, bi_subSolve=0.102819, bi_maintain_time=0.0559541, admm_maintain=0.108489, area4=1.04034, infea=1.08088, d_obj=934.185, overall time=19.6788
i=6, a_nnz=3.8295, ever_a_nnz=5.86729, b_nnz=20.2546, uni_search=3.83712, uni_subSolve=0.46285, uni_maintain_time=0.117067, bi_search=0.0988571, bi_subSolve=0.126556, bi_maintain_time=0.0710071, admm_maintain=0.145738, area4=1.05566, infea=0.887709, d_obj=595.178, overall time=24.6819
i=7, a_nnz=3.98085, ever_a_nnz=6.37961, b_nnz=23.9792, uni_search=4.03637, uni_subSolve=0.469888, uni_maintain_time=0.117041, bi_search=0.107026, bi_subSolve=0.14167, bi_maintain_time=0.0774205, admm_maintain=0.141053, area4=1.08081, infea=0.449385, d_obj=1538.86, overall time=29.946
i=8, a_nnz=4.117, ever_a_nnz=6.86116, b_nnz=27.7964, uni_search=3.9998, uni_subSolve=0.444036, uni_maintain_time=0.114756, bi_search=0.10964, bi_subSolve=0.149248, bi_maintain_time=0.0743626, admm_maintain=0.155084, area4=1.11809, infea=0.983902, d_obj=353.79, overall time=35.153
i=9, a_nnz=4.23739, ever_a_nnz=7.31865, b_nnz=31.757, uni_search=4.16663, uni_subSolve=0.455921, uni_maintain_time=0.112613, bi_search=0.120426, bi_subSolve=0.167305, bi_maintain_time=0.0786983, admm_maintain=0.234146, area4=1.16086, infea=0.726607, d_obj=376.965, p_obj=285765..................., heldout Acc=0.989574, overall time=40.6742
i=10, a_nnz=4.33908, ever_a_nnz=7.75182, b_nnz=35.7827, uni_search=17.9849, uni_subSolve=2.03236, uni_maintain_time=0.185337, bi_search=0.360402, bi_subSolve=0.694691, bi_maintain_time=0.246199, admm_maintain=0.459295, area4=1.22954, infea=0.729589, d_obj=177.713, overall time=62.8501
i=11, a_nnz=4.43732, ever_a_nnz=8.17548, b_nnz=39.9584, uni_search=5.30886, uni_subSolve=0.60467, uni_maintain_time=0.158066, bi_search=0.176574, bi_subSolve=0.243549, bi_maintain_time=0.108699, admm_maintain=0.270432, area4=1.31061, infea=0.404348, d_obj=10.5483, overall time=69.9829
i=12, a_nnz=4.52655, ever_a_nnz=8.56996, b_nnz=44.0737, uni_search=5.32282, uni_subSolve=0.611351, uni_maintain_time=0.164334, bi_search=0.281015, bi_subSolve=0.385354, bi_maintain_time=0.149563, admm_maintain=0.265269, area4=1.40342, infea=0.396928, d_obj=-8.72197, overall time=77.4199
i=13, a_nnz=4.59837, ever_a_nnz=8.93949, b_nnz=48.1263, uni_search=5.0647, uni_subSolve=0.573741, uni_maintain_time=0.146813, bi_search=0.25336, bi_subSolve=0.353219, bi_maintain_time=0.13721, admm_maintain=0.577986, area4=1.52011, infea=0.410289, d_obj=-9.13505, overall time=85.0601
i=14, a_nnz=4.68122, ever_a_nnz=9.30059, b_nnz=52.277, uni_search=5.86859, uni_subSolve=0.654337, uni_maintain_time=0.13922, bi_search=0.19291, bi_subSolve=0.277502, bi_maintain_time=0.106025, admm_maintain=0.268822, area4=1.65696, infea=0.415329, d_obj=-13.3599, overall time=92.8234
i=15, a_nnz=4.73746, ever_a_nnz=9.64662, b_nnz=56.3984, uni_search=6.01827, uni_subSolve=0.607099, uni_maintain_time=0.123405, bi_search=0.243685, bi_subSolve=0.356754, bi_maintain_time=0.133214, admm_maintain=0.384709, area4=1.74978, infea=1.34702, d_obj=337.386, overall time=101.034
i=16, a_nnz=4.78112, ever_a_nnz=9.97038, b_nnz=60.4245, uni_search=6.91499, uni_subSolve=0.649679, uni_maintain_time=0.119248, bi_search=0.265451, bi_subSolve=0.387038, bi_maintain_time=0.13501, admm_maintain=0.417935, area4=1.82714, infea=0.461316, d_obj=148.518, overall time=110.298
i=17, a_nnz=4.82216, ever_a_nnz=10.2809, b_nnz=64.4205, uni_search=5.23072, uni_subSolve=0.601331, uni_maintain_time=0.155789, bi_search=0.274325, bi_subSolve=0.387587, bi_maintain_time=0.144208, admm_maintain=0.409242, area4=1.85906, infea=0.388923, d_obj=43.7059, overall time=117.87
i=18, a_nnz=4.87221, ever_a_nnz=10.5815, b_nnz=68.4633, uni_search=5.32962, uni_subSolve=0.614858, uni_maintain_time=0.157055, bi_search=0.279208, bi_subSolve=0.39394, bi_maintain_time=0.139372, admm_maintain=0.428626, area4=1.84833, infea=0.365238, d_obj=1.39883, overall time=125.565
i=19, a_nnz=4.90151, ever_a_nnz=10.8781, b_nnz=72.6998, uni_search=6.17706, uni_subSolve=0.692204, uni_maintain_time=0.149511, bi_search=0.645052, bi_subSolve=0.910858, bi_maintain_time=0.252265, admm_maintain=0.890066, area4=1.83672, infea=0.582722, d_obj=14.7341
