using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.04934, ever_a_nnz=2.04934, b_nnz=2.33512, uni_search=3.42335, uni_subSolve=0.49472, uni_maintain_time=0.158336, bi_search=0.0435555, bi_subSolve=0.0349663, bi_maintain_time=0.0211685, admm_maintain=0.0403184, area4=1.00421, infea=0.0237009, d_obj=65.7467, overall time=4.65277
i=1, a_nnz=2.52496, ever_a_nnz=2.76963, b_nnz=4.58662, uni_search=3.98158, uni_subSolve=0.624124, uni_maintain_time=0.120265, bi_search=0.074721, bi_subSolve=0.0596387, bi_maintain_time=0.0411594, admm_maintain=0.0703686, area4=1.01111, infea=0.109833, d_obj=188.056, overall time=9.63754
i=2, a_nnz=2.89863, ever_a_nnz=3.46808, b_nnz=7.19507, uni_search=6.19028, uni_subSolve=0.826288, uni_maintain_time=0.224026, bi_search=0.102451, bi_subSolve=0.0971532, bi_maintain_time=0.0638489, admm_maintain=0.246111, area4=1.018, infea=0.178221, d_obj=370.404, overall time=17.398
i=3, a_nnz=3.18256, ever_a_nnz=4.11918, b_nnz=10.0765, uni_search=6.97852, uni_subSolve=1.08591, uni_maintain_time=0.170017, bi_search=0.143118, bi_subSolve=0.140473, bi_maintain_time=0.0879548, admm_maintain=0.210573, area4=1.02362, infea=0.420949, d_obj=532.417, overall time=26.2262
i=4, a_nnz=3.43802, ever_a_nnz=4.73203, b_nnz=13.2415, uni_search=7.40176, uni_subSolve=1.10353, uni_maintain_time=0.181511, bi_search=0.103803, bi_subSolve=0.118014, bi_maintain_time=0.0669372, admm_maintain=0.149933, area4=1.03102, infea=0.161714, d_obj=159.451, overall time=35.3629
i=5, a_nnz=3.6373, ever_a_nnz=5.31303, b_nnz=16.6239, uni_search=7.1099, uni_subSolve=1.04376, uni_maintain_time=0.158588, bi_search=0.0948199, bi_subSolve=0.115068, bi_maintain_time=0.0647931, admm_maintain=0.133697, area4=1.03243, infea=0.601242, d_obj=204.456, overall time=44.1039
i=6, a_nnz=3.79957, ever_a_nnz=5.84961, b_nnz=20.1609, uni_search=7.41513, uni_subSolve=1.00026, uni_maintain_time=0.178606, bi_search=0.178371, bi_subSolve=0.221456, bi_maintain_time=0.122834, admm_maintain=0.309461, area4=1.04698, infea=0.23028, d_obj=40.0505, overall time=53.5393
i=7, a_nnz=3.95889, ever_a_nnz=6.36206, b_nnz=23.8775, uni_search=8.66921, uni_subSolve=1.12566, uni_maintain_time=0.172029, bi_search=0.241632, bi_subSolve=0.304602, bi_maintain_time=0.159238, admm_maintain=0.486074, area4=1.0563, infea=0.235847, d_obj=36.3755, overall time=64.7147
i=8, a_nnz=4.09454, ever_a_nnz=6.84833, b_nnz=27.7072, uni_search=8.43447, uni_subSolve=1.11575, uni_maintain_time=0.207093, bi_search=0.349409, bi_subSolve=0.486662, bi_maintain_time=0.246873, admm_maintain=0.385414, area4=1.08656, infea=0.560673, d_obj=42.1864, overall time=75.9779
i=9, a_nnz=4.22495, ever_a_nnz=7.30793, b_nnz=31.6512, uni_search=9.47874, uni_subSolve=1.22061, uni_maintain_time=0.172611, bi_search=0.338619, bi_subSolve=0.499139, bi_maintain_time=0.177402, admm_maintain=0.599097, area4=1.10979, infea=0.330504, d_obj=18.5772, heldout Acc=1, overall time=88.4795
i=10, a_nnz=4.33882, ever_a_nnz=7.7439, b_nnz=35.6824, uni_search=7.99936, uni_subSolve=1.11317, uni_maintain_time=0.182675, bi_search=0.169006, bi_subSolve=0.232193, bi_maintain_time=0.103723, admm_maintain=0.259583, area4=1.15664, infea=0.364987, d_obj=8.43911, overall time=98.5489
