using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.04934, ever_a_nnz=2.04934, b_nnz=2.33512, uni_search=3.86763, uni_subSolve=0.573564, uni_maintain_time=0.179487, bi_search=0.0445451, bi_subSolve=0.0366157, bi_maintain_time=0.0218914, admm_maintain=0.0456159, area4=1.00421, infea=0.0237009, d_obj=65.7467, overall time=5.03232
i=1, a_nnz=2.52496, ever_a_nnz=2.76963, b_nnz=4.58662, uni_search=1.77229, uni_subSolve=0.216558, uni_maintain_time=0.085694, bi_search=0.0296489, bi_subSolve=0.0262476, bi_maintain_time=0.0186916, admm_maintain=0.0335738, area4=1.01111, infea=0.109833, d_obj=188.056, overall time=7.22261
i=2, a_nnz=2.89863, ever_a_nnz=3.46808, b_nnz=7.19507, uni_search=2.12466, uni_subSolve=0.25607, uni_maintain_time=0.091742, bi_search=0.0411304, bi_subSolve=0.0427551, bi_maintain_time=0.0286266, admm_maintain=0.0491649, area4=1.018, infea=0.178221, d_obj=370.404, overall time=9.86419
i=3, a_nnz=3.18256, ever_a_nnz=4.11918, b_nnz=10.0765, uni_search=3.33394, uni_subSolve=0.445622, uni_maintain_time=0.107475, bi_search=0.0755997, bi_subSolve=0.0828822, bi_maintain_time=0.0512464, admm_maintain=0.0933034, area4=1.02362, infea=0.420949, d_obj=532.417, overall time=14.0635
i=4, a_nnz=3.43802, ever_a_nnz=4.73203, b_nnz=13.2415, uni_search=3.32848, uni_subSolve=0.418373, uni_maintain_time=0.107279, bi_search=0.0706786, bi_subSolve=0.0832877, bi_maintain_time=0.0482534, admm_maintain=0.0937325, area4=1.03102, infea=0.161714, d_obj=159.451, overall time=18.2227
i=5, a_nnz=3.6373, ever_a_nnz=5.31303, b_nnz=16.6239, uni_search=3.35296, uni_subSolve=0.406196, uni_maintain_time=0.106576, bi_search=0.0877202, bi_subSolve=0.107217, bi_maintain_time=0.0584823, admm_maintain=0.116208, area4=1.03243, infea=0.601242, d_obj=204.456, overall time=22.4676
i=6, a_nnz=3.79957, ever_a_nnz=5.84961, b_nnz=20.1609, uni_search=3.68376, uni_subSolve=0.441734, uni_maintain_time=0.110445, bi_search=0.0921394, bi_subSolve=0.119098, bi_maintain_time=0.0676073, admm_maintain=0.13168, area4=1.04698, infea=0.23028, d_obj=40.0505, overall time=27.1216
i=7, a_nnz=3.95889, ever_a_nnz=6.36206, b_nnz=23.8775, uni_search=3.8249, uni_subSolve=0.440745, uni_maintain_time=0.11054, bi_search=0.113657, bi_subSolve=0.148923, bi_maintain_time=0.0801136, admm_maintain=0.159554, area4=1.0563, infea=0.235847, d_obj=36.3755, overall time=32.0076
i=8, a_nnz=4.09454, ever_a_nnz=6.84833, b_nnz=27.7072, uni_search=4.15711, uni_subSolve=0.4787, uni_maintain_time=0.114397, bi_search=0.117324, bi_subSolve=0.158612, bi_maintain_time=0.0787604, admm_maintain=0.171596, area4=1.08656, infea=0.560673, d_obj=42.1864, overall time=37.2922
i=9, a_nnz=4.22495, ever_a_nnz=7.30793, b_nnz=31.6512, uni_search=4.27595, uni_subSolve=0.481229, uni_maintain_time=0.114579, bi_search=0.1367, bi_subSolve=0.187066, bi_maintain_time=0.0860719, admm_maintain=0.20914, area4=1.10979, infea=0.330504, d_obj=18.5772., heldout Acc=0.993333, overall time=42.7908
i=10, a_nnz=4.33506, ever_a_nnz=7.74652, b_nnz=35.6983, uni_search=4.77589, uni_subSolve=0.579301, uni_maintain_time=0.151532, bi_search=0.469465, bi_subSolve=0.62064, bi_maintain_time=0.218791, admm_maintain=0.689025, area4=1.16443, infea=0.315776, d_obj=-10.8038, overall time=50.3056
i=11, a_nnz=4.42034, ever_a_nnz=8.16801, b_nnz=39.8532, uni_search=6.93499, uni_subSolve=0.805036, uni_maintain_time=0.182362, bi_search=0.174236, bi_subSolve=0.238032, bi_maintain_time=0.1073, admm_maintain=0.25277, area4=1.21626, infea=0.514487, d_obj=51.3229, overall time=59.0099
