using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.16079, ever_a_nnz=2.16079, b_nnz=2.20905, uni_search=9.95667, uni_subSolve=0.583988, uni_maintain_time=0.175051, bi_search=140.222, bi_subSolve=0.110836, bi_maintain_time=0.0936087, admm_maintain=0.0203716, area4=-nan, infea=0.20289, d_obj=36.1078., heldout Acc=0.970617, overall time=151.361
i=1, a_nnz=2.64094, ever_a_nnz=2.9451, b_nnz=4.33678, uni_search=13.8837, uni_subSolve=0.829779, uni_maintain_time=0.136844, bi_search=161.162, bi_subSolve=0.212921, bi_maintain_time=0.183151, admm_maintain=0.0928534, area4=-nan, infea=1.02229, d_obj=1478.32., heldout Acc=0.966173 (1/50), overall time=327.912
i=2, a_nnz=2.97996, ever_a_nnz=3.66328, b_nnz=6.76554, uni_search=7.17963, uni_subSolve=0.398639, uni_maintain_time=0.111172, bi_search=132.098, bi_subSolve=0.183213, bi_maintain_time=0.158143, admm_maintain=0.0603511, area4=-nan, infea=1.28045, d_obj=2552.42., heldout Acc=0.971111, overall time=468.135
i=3, a_nnz=3.23331, ever_a_nnz=4.33914, b_nnz=9.54155, uni_search=13.2795, uni_subSolve=0.824591, uni_maintain_time=0.158489, bi_search=132.005, bi_subSolve=0.233086, bi_maintain_time=0.189909, admm_maintain=0.184452, area4=-nan, infea=1.38034, d_obj=2360.36., heldout Acc=0.971605, overall time=615.041
i=4, a_nnz=3.46304, ever_a_nnz=4.96591, b_nnz=12.567, uni_search=10.532, uni_subSolve=0.544705, uni_maintain_time=0.11706, bi_search=135.786, bi_subSolve=0.297673, bi_maintain_time=0.256201, admm_maintain=0.203186, area4=-nan, infea=1.95956, d_obj=3296.06., heldout Acc=0.980988, overall time=762.811
i=5, a_nnz=3.64247, ever_a_nnz=5.53983, b_nnz=15.7643, uni_search=13.5515, uni_subSolve=0.734852, uni_maintain_time=0.137469, bi_search=133.195, bi_subSolve=0.250996, bi_maintain_time=0.192091, admm_maintain=0.0864713, area4=-nan, infea=2.09282, d_obj=2160.95., heldout Acc=0.976296 (1/50), overall time=910.987
i=6, a_nnz=3.79337, ever_a_nnz=6.06319, b_nnz=19.0359, uni_search=14.2908, uni_subSolve=0.614883, uni_maintain_time=0.116358, bi_search=141.546, bi_subSolve=0.304588, bi_maintain_time=0.217261, admm_maintain=0.210641, area4=-nan, infea=1.83989, d_obj=1178.59., heldout Acc=0.974568 (2/50), overall time=1068.32
i=7, a_nnz=3.91051, ever_a_nnz=6.54692, b_nnz=22.4167, uni_search=11.8445, uni_subSolve=0.437998, uni_maintain_time=0.0992741, bi_search=126.332, bi_subSolve=0.213627, bi_maintain_time=0.145011, admm_maintain=0.0995707, area4=-nan, infea=2.17386, d_obj=2321.68., heldout Acc=0.985432, overall time=1207.51
i=8, a_nnz=4.02898, ever_a_nnz=7.00875, b_nnz=25.8935, uni_search=15.4019, uni_subSolve=0.789621, uni_maintain_time=0.150654, bi_search=150.746, bi_subSolve=0.486441, bi_maintain_time=0.325627, admm_maintain=0.162296, area4=-nan, infea=2.23481, d_obj=1422.13., heldout Acc=0.978272 (1/50), overall time=1375.61
i=9, a_nnz=4.14292, ever_a_nnz=7.43349, b_nnz=29.355, uni_search=13.0659, uni_subSolve=0.612855, uni_maintain_time=0.122926, bi_search=154.445, bi_subSolve=0.528141, bi_maintain_time=0.339024, admm_maintain=0.366082, area4=-nan, infea=0.977227, d_obj=344.46., heldout Acc=0.978272 (2/50), overall time=1545.12
i=10, a_nnz=4.24129, ever_a_nnz=7.82567, b_nnz=32.782, uni_search=8.3829, uni_subSolve=0.313994, uni_maintain_time=0.104038, bi_search=127.684, bi_subSolve=0.345563, bi_maintain_time=0.220907, admm_maintain=0.196975, area4=-nan, infea=0.949259, d_obj=214.131., heldout Acc=0.986173, overall time=1682.39
