using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.15786, ever_a_nnz=2.15786, b_nnz=2.18888, uni_search=4.37601, uni_subSolve=0.227075, uni_maintain_time=0.15643, bi_search=133.957, bi_subSolve=0.0833042, bi_maintain_time=0.0587564, admm_maintain=0.0336114, area4=-nan, infea=53.7249, d_obj=7342.92., heldout Acc=0.963951, overall time=139.083
i=1, a_nnz=2.66762, ever_a_nnz=2.81093, b_nnz=4.00064, uni_search=8.56269, uni_subSolve=0.534736, uni_maintain_time=0.110687, bi_search=137.063, bi_subSolve=0.136611, bi_maintain_time=0.107697, admm_maintain=0.0405101, area4=-nan, infea=97.6434, d_obj=15532.1., heldout Acc=0.987901, overall time=285.674
i=2, a_nnz=2.96681, ever_a_nnz=3.34878, b_nnz=5.71186, uni_search=4.99713, uni_subSolve=0.264853, uni_maintain_time=0.103066, bi_search=148.267, bi_subSolve=0.211404, bi_maintain_time=0.157989, admm_maintain=0.0729061, area4=-nan, infea=180.888, d_obj=37182.9., heldout Acc=0.985185 (1/50), overall time=439.786
i=3, a_nnz=3.19424, ever_a_nnz=3.8445, b_nnz=7.53332, uni_search=11.4076, uni_subSolve=0.686054, uni_maintain_time=0.133123, bi_search=143.25, bi_subSolve=0.233121, bi_maintain_time=0.173876, admm_maintain=0.0599507, area4=-nan, infea=181.938, d_obj=42328.6., heldout Acc=0.994074, overall time=595.77
i=4, a_nnz=3.36716, ever_a_nnz=4.2845, b_nnz=9.41434, uni_search=14.3284, uni_subSolve=0.859668, uni_maintain_time=0.151612, bi_search=160.035, bi_subSolve=0.344687, bi_maintain_time=0.250718, admm_maintain=0.12349, area4=-nan, infea=200.206, d_obj=43046.3., heldout Acc=0.991111 (1/50), overall time=771.912
i=5, a_nnz=3.52879, ever_a_nnz=4.69973, b_nnz=11.4124, uni_search=18.6478, uni_subSolve=1.22203, uni_maintain_time=0.188844, bi_search=148.465, bi_subSolve=0.315929, bi_maintain_time=0.228283, admm_maintain=0.0572127, area4=-nan, infea=210.806, d_obj=49531.7., heldout Acc=0.992593 (2/50), overall time=941.079
i=6, a_nnz=3.6673, ever_a_nnz=5.08024, b_nnz=13.4352, uni_search=14.269, uni_subSolve=0.788974, uni_maintain_time=0.155501, bi_search=140.221, bi_subSolve=0.302055, bi_maintain_time=0.211297, admm_maintain=0.107119, area4=-nan, infea=185.225, d_obj=34670., heldout Acc=0.992593 (3/50), overall time=1097.17
i=7, a_nnz=3.81163, ever_a_nnz=5.43757, b_nnz=15.4632, uni_search=10.3968, uni_subSolve=0.620753, uni_maintain_time=0.141622, bi_search=124.434, bi_subSolve=0.245808, bi_maintain_time=0.173312, admm_maintain=0.057597, area4=-nan, infea=155.784, d_obj=28924.9., heldout Acc=0.994815, overall time=1233.27
i=8, a_nnz=3.94293, ever_a_nnz=5.76995, b_nnz=17.5277, uni_search=11.5987, uni_subSolve=0.71444, uni_maintain_time=0.15198, bi_search=134.791, bi_subSolve=0.340309, bi_maintain_time=0.2254, admm_maintain=0.0893448, area4=-nan, infea=126.935, d_obj=22759.6., heldout Acc=0.994074 (1/50), overall time=1381.22
i=9, a_nnz=4.08579, ever_a_nnz=6.09205, b_nnz=19.6578, uni_search=11.5131, uni_subSolve=0.673652, uni_maintain_time=0.1469, bi_search=138.243, bi_subSolve=0.414492, bi_maintain_time=0.26599, admm_maintain=0.15559, area4=-nan, infea=117.623, d_obj=19335., heldout Acc=0.995309, overall time=1532.67
i=10, a_nnz=4.20669, ever_a_nnz=6.39334, b_nnz=21.7756, uni_search=16.0539, uni_subSolve=1.05233, uni_maintain_time=0.197024, bi_search=152.74, bi_subSolve=0.553418, bi_maintain_time=0.351998, admm_maintain=0.276883, area4=-nan, infea=104.736, d_obj=14064.5., heldout Acc=0.995062 (1/50), overall time=1703.94
