using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=0, a_nnz=2.13941, ever_a_nnz=2.13941, b_nnz=2.10417, uni_search=4.64393, uni_subSolve=0.24343, uni_maintain_time=0.118526, bi_search=140.666, bi_subSolve=0.0954292, bi_maintain_time=0.0694189, admm_maintain=0.0153978, area4=-nan, infea=1.80414, d_obj=1549.53., heldout Acc=0.984198, overall time=146.054
i=1, a_nnz=2.68237, ever_a_nnz=2.80442, b_nnz=3.95015, uni_search=4.64925, uni_subSolve=0.241308, uni_maintain_time=0.108012, bi_search=117.306, bi_subSolve=0.0590817, bi_maintain_time=0.0579693, admm_maintain=0.0479656, area4=-nan, infea=10.2167, d_obj=13774.3., heldout Acc=0.98716, overall time=268.543
i=2, a_nnz=3.00906, ever_a_nnz=3.37265, b_nnz=5.85797, uni_search=10.3778, uni_subSolve=0.619409, uni_maintain_time=0.132873, bi_search=151.735, bi_subSolve=0.223111, bi_maintain_time=0.184364, admm_maintain=0.100409, area4=-nan, infea=19.2506, d_obj=22472., heldout Acc=0.990617, overall time=431.959
i=3, a_nnz=3.20522, ever_a_nnz=3.8535, b_nnz=7.76197, uni_search=13.67, uni_subSolve=0.950248, uni_maintain_time=0.157106, bi_search=177.37, bi_subSolve=0.383917, bi_maintain_time=0.310197, admm_maintain=0.135858, area4=-nan, infea=23.8123, d_obj=35999.8., heldout Acc=0.991605, overall time=624.995
i=4, a_nnz=3.40451, ever_a_nnz=4.31891, b_nnz=9.81425, uni_search=6.04363, uni_subSolve=0.312025, uni_maintain_time=0.12158, bi_search=141.908, bi_subSolve=0.256994, bi_maintain_time=0.204473, admm_maintain=0.0933353, area4=-nan, infea=28.1503, d_obj=42809.9., heldout Acc=0.991358 (1/50), overall time=773.969
i=5, a_nnz=3.5579, ever_a_nnz=4.74269, b_nnz=11.8942, uni_search=5.93979, uni_subSolve=0.283378, uni_maintain_time=0.092513, bi_search=145.779, bi_subSolve=0.328738, bi_maintain_time=0.251298, admm_maintain=0.11514, area4=-nan, infea=29.5486, d_obj=50029.5., heldout Acc=0.992593, overall time=926.792
i=6, a_nnz=3.69118, ever_a_nnz=5.13769, b_nnz=14.0719, uni_search=9.25797, uni_subSolve=0.438905, uni_maintain_time=0.101692, bi_search=120.414, bi_subSolve=0.127337, bi_maintain_time=0.105835, admm_maintain=0.0646614, area4=-nan, infea=27.446, d_obj=38868.2., heldout Acc=0.988889 (1/50), overall time=1057.32
i=7, a_nnz=3.79893, ever_a_nnz=5.50243, b_nnz=16.2535, uni_search=9.87466, uni_subSolve=0.431587, uni_maintain_time=0.0976981, bi_search=133.043, bi_subSolve=0.185274, bi_maintain_time=0.149686, admm_maintain=0.128214, area4=-nan, infea=28.7655, d_obj=42661.4., heldout Acc=0.994074, overall time=1201.26
i=8, a_nnz=3.93815, ever_a_nnz=5.85785, b_nnz=18.5297, uni_search=12.7223, uni_subSolve=0.581311, uni_maintain_time=0.113092, bi_search=116.596, bi_subSolve=0.12688, bi_maintain_time=0.0965505, admm_maintain=0.0756788, area4=-nan, infea=23.5027, d_obj=34970.2., heldout Acc=0.993333 (1/50), overall time=1331.59
i=9, a_nnz=4.06364, ever_a_nnz=6.19086, b_nnz=20.7818, uni_search=7.76104, uni_subSolve=0.368833, uni_maintain_time=0.144865, bi_search=139.744, bi_subSolve=0.278355, bi_maintain_time=0.212586, admm_maintain=0.142453, area4=-nan, infea=20.9676, d_obj=28737.5., heldout Acc=0.99358 (2/50), overall time=1480.26
i=10, a_nnz=4.17011, ever_a_nnz=6.49821, b_nnz=22.9761, uni_search=23.6455, uni_subSolve=1.47868, uni_maintain_time=0.209181, bi_search=167.861, bi_subSolve=0.465305, bi_maintain_time=0.343788, admm_maintain=0.265712, area4=-nan, infea=17.8174, d_obj=25482.7., heldout Acc=0.994568, overall time=1674.58
i=11, a_nnz=4.25961, ever_a_nnz=6.78725, b_nnz=25.2022, uni_search=22.2866, uni_subSolve=1.55394, uni_maintain_time=0.213338, bi_search=162.21, bi_subSolve=0.534612, bi_maintain_time=0.360155, admm_maintain=0.0926513, area4=-nan, infea=15.4459, d_obj=24086.6., heldout Acc=0.99284 (1/50), overall time=1861.88
i=12, a_nnz=4.35082, ever_a_nnz=7.05892, b_nnz=27.382, uni_search=8.33139, uni_subSolve=0.385116, uni_maintain_time=0.13048, bi_search=117.329, bi_subSolve=0.199838, bi_maintain_time=0.133812, admm_maintain=0.134072, area4=-nan, infea=17.1733, d_obj=21239.3., heldout Acc=0.993333 (2/50), overall time=1988.53
i=13, a_nnz=4.4511, ever_a_nnz=7.31674, b_nnz=29.5762, uni_search=12.9121, uni_subSolve=0.64471, uni_maintain_time=0.138454, bi_search=156.75, bi_subSolve=0.482025, bi_maintain_time=0.326651, admm_maintain=0.323896, area4=-nan, infea=14.8705, d_obj=19404.3., heldout Acc=0.994074 (3/50), overall time=2160.15
