using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=0, a_nnz=3.3971, ever_a_nnz=3.3971, b_nnz=6.54548, uni_search=0.161659, uni_subSolve=0.0171279, uni_maintain_time=0.0103209, bi_search=0.00645872, bi_subSolve=0.00856437, bi_maintain_time=0.00564611, admm_maintain=0.0112107, area4=1.00734, infea=10.2547, d_obj=-209.648, overall time=0.256268
i=1, a_nnz=4.25321, ever_a_nnz=4.34468, b_nnz=10.6582, uni_search=0.207128, uni_subSolve=0.0234046, uni_maintain_time=0.0119571, bi_search=0.0116785, bi_subSolve=0.0138416, bi_maintain_time=0.00887188, admm_maintain=0.0154681, area4=1.00968, infea=24.1139, d_obj=-372.11, overall time=0.565402
i=2, a_nnz=4.96845, ever_a_nnz=5.25271, b_nnz=15.3876, uni_search=0.244339, uni_subSolve=0.0294098, uni_maintain_time=0.0134921, bi_search=0.0147988, bi_subSolve=0.019541, bi_maintain_time=0.0117771, admm_maintain=0.0212485, area4=1.0207, infea=36.1701, d_obj=-416.254, overall time=0.941918
i=3, a_nnz=5.57536, ever_a_nnz=6.11784, b_nnz=20.6333, uni_search=0.277378, uni_subSolve=0.0353064, uni_maintain_time=0.0151629, bi_search=0.0177476, bi_subSolve=0.025491, bi_maintain_time=0.0137024, admm_maintain=0.0264331, area4=1.02771, infea=43.4226, d_obj=-394.064, overall time=1.38014
i=4, a_nnz=6.10883, ever_a_nnz=6.95243, b_nnz=26.342, uni_search=0.322911, uni_subSolve=0.0450566, uni_maintain_time=0.0178006, bi_search=0.023844, bi_subSolve=0.0354743, bi_maintain_time=0.0188416, admm_maintain=0.0376863, area4=1.03038, infea=47.2601, d_obj=-337.306, overall time=1.91697
i=5, a_nnz=6.60374, ever_a_nnz=7.76081, b_nnz=32.4679, uni_search=0.34899, uni_subSolve=0.0500606, uni_maintain_time=0.0183914, bi_search=0.0263143, bi_subSolve=0.0419085, bi_maintain_time=0.0228848, admm_maintain=0.041922, area4=1.03238, infea=48.2544, d_obj=-276.138, overall time=2.50806
i=6, a_nnz=7.03438, ever_a_nnz=8.52796, b_nnz=38.8521, uni_search=0.370344, uni_subSolve=0.0533747, uni_maintain_time=0.0188685, bi_search=0.028081, bi_subSolve=0.0468453, bi_maintain_time=0.0257594, admm_maintain=0.045275, area4=1.03505, infea=50.0272, d_obj=-229.768, overall time=3.13038
i=7, a_nnz=7.44233, ever_a_nnz=9.27408, b_nnz=45.5482, uni_search=0.325865, uni_subSolve=0.0381964, uni_maintain_time=0.0178224, bi_search=0.0237704, bi_subSolve=0.0432187, bi_maintain_time=0.0222933, admm_maintain=0.0401592, area4=1.04841, infea=53.9044, d_obj=-190.3, overall time=3.67917
i=8, a_nnz=7.80704, ever_a_nnz=9.97196, b_nnz=52.2799, uni_search=0.347813, uni_subSolve=0.0425155, uni_maintain_time=0.0184271, bi_search=0.0274136, bi_subSolve=0.0497127, bi_maintain_time=0.0240159, admm_maintain=0.0471054, area4=1.05141, infea=58.9244, d_obj=-159.121, overall time=4.28068
i=9, a_nnz=8.12669, ever_a_nnz=10.6178, b_nnz=58.8993, uni_search=0.369696, uni_subSolve=0.0478177, uni_maintain_time=0.0191118, bi_search=0.0296231, bi_subSolve=0.0550941, bi_maintain_time=0.0260828, admm_maintain=0.0518753, area4=1.06343, infea=63.7456, d_obj=-108.426, p_obj=5732.2......., heldout Acc=0.97984, overall time=4.92651
i=10, a_nnz=8.42197, ever_a_nnz=11.2225, b_nnz=65.4126, uni_search=0.374671, uni_subSolve=0.0486496, uni_maintain_time=0.0178845, bi_search=0.0270752, bi_subSolve=0.0587115, bi_maintain_time=0.0253712, admm_maintain=0.0544412, area4=1.09214, infea=66.8799, d_obj=-36.6269, overall time=5.58224
i=11, a_nnz=8.68486, ever_a_nnz=11.7873, b_nnz=71.7294, uni_search=0.391864, uni_subSolve=0.0523318, uni_maintain_time=0.0182383, bi_search=0.0297849, bi_subSolve=0.0640276, bi_maintain_time=0.0274252, admm_maintain=0.0581302, area4=1.08746, infea=68.2524, d_obj=57.0694, overall time=6.27662
i=12, a_nnz=8.92439, ever_a_nnz=12.315, b_nnz=77.9199, uni_search=0.409056, uni_subSolve=0.0567072, uni_maintain_time=0.018514, bi_search=0.0326274, bi_subSolve=0.0693742, bi_maintain_time=0.0282435, admm_maintain=0.0659356, area4=1.0888, infea=68.6388, d_obj=165.013, overall time=7.01731
i=13, a_nnz=9.13954, ever_a_nnz=12.805, b_nnz=83.9412, uni_search=0.423201, uni_subSolve=0.0605365, uni_maintain_time=0.0186866, bi_search=0.0345121, bi_subSolve=0.0735567, bi_maintain_time=0.0298736, admm_maintain=0.0662162, area4=1.10616, infea=68.6904, d_obj=286.577, overall time=7.78314
