using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=0, a_nnz=3.34619, ever_a_nnz=3.34619, b_nnz=6.39526, uni_search=0.293229, uni_subSolve=0.00955956, uni_maintain_time=0.00972684, bi_search=6.38204, bi_subSolve=0.00725635, bi_maintain_time=0.00645387, admm_maintain=0.00989262, area4=-nan, infea=13.5811, d_obj=-169.087, overall time=6.75444
i=1, a_nnz=4.06476, ever_a_nnz=4.14689, b_nnz=9.94308, uni_search=0.39278, uni_subSolve=0.0135673, uni_maintain_time=0.0111609, bi_search=6.37203, bi_subSolve=0.0121235, bi_maintain_time=0.00959316, admm_maintain=0.0128675, area4=-nan, infea=33.1049, d_obj=-150.568, overall time=13.5941
i=2, a_nnz=4.73093, ever_a_nnz=4.95827, b_nnz=14.0666, uni_search=0.470088, uni_subSolve=0.0173268, uni_maintain_time=0.0126438, bi_search=6.37595, bi_subSolve=0.0175513, bi_maintain_time=0.0122612, admm_maintain=0.0169276, area4=-nan, infea=47.0912, d_obj=-215.531, overall time=20.5354
i=3, a_nnz=5.30963, ever_a_nnz=5.73443, b_nnz=18.559, uni_search=0.545147, uni_subSolve=0.0219265, uni_maintain_time=0.0143415, bi_search=6.38731, bi_subSolve=0.0225606, bi_maintain_time=0.0140177, admm_maintain=0.0227131, area4=-nan, infea=53.1494, d_obj=-243.506, overall time=27.6057
i=4, a_nnz=5.86096, ever_a_nnz=6.51427, b_nnz=23.5839, uni_search=0.952735, uni_subSolve=0.0616766, uni_maintain_time=0.0251757, bi_search=6.53142, bi_subSolve=0.0841143, bi_maintain_time=0.0855888, admm_maintain=0.0275357, area4=-nan, infea=55.4017, d_obj=-230.425, overall time=35.4038
i=5, a_nnz=6.32532, ever_a_nnz=7.23619, b_nnz=28.7945, uni_search=0.662674, uni_subSolve=0.0277123, uni_maintain_time=0.0156279, bi_search=6.40565, bi_subSolve=0.0349005, bi_maintain_time=0.0199115, admm_maintain=0.0320323, area4=-nan, infea=59.1399, d_obj=-144.147, overall time=42.6346
i=6, a_nnz=6.81773, ever_a_nnz=7.9975, b_nnz=34.7094, uni_search=0.723344, uni_subSolve=0.0315258, uni_maintain_time=0.0167741, bi_search=6.41681, bi_subSolve=0.0412255, bi_maintain_time=0.0229491, admm_maintain=0.0379354, area4=-nan, infea=62.2693, d_obj=-107.035, overall time=49.9619
i=7, a_nnz=7.24537, ever_a_nnz=8.69855, b_nnz=40.6682, uni_search=0.843343, uni_subSolve=0.044211, uni_maintain_time=0.0186046, bi_search=6.43994, bi_subSolve=0.0773294, bi_maintain_time=0.0569873, admm_maintain=0.0480154, area4=-nan, infea=66.6518, d_obj=-64.39, overall time=57.5374
i=8, a_nnz=7.62544, ever_a_nnz=9.36154, b_nnz=46.7097, uni_search=0.905323, uni_subSolve=0.0505416, uni_maintain_time=0.019338, bi_search=6.44017, bi_subSolve=0.0737891, bi_maintain_time=0.0458101, admm_maintain=0.0513992, area4=-nan, infea=71.1098, d_obj=-18.7749, overall time=65.1735
i=9, a_nnz=7.97363, ever_a_nnz=9.99466, b_nnz=52.8464, uni_search=0.900456, uni_subSolve=0.0443158, uni_maintain_time=0.0193035, bi_search=6.43081, bi_subSolve=0.0598345, bi_maintain_time=0.0289117, admm_maintain=0.0541565, area4=-nan, infea=75.4405, d_obj=-37.7876, p_obj=5933.11......., heldout Acc=0.980443, overall time=72.762
i=10, a_nnz=8.31564, ever_a_nnz=10.6086, b_nnz=59.0795, uni_search=1.01456, uni_subSolve=0.0587288, uni_maintain_time=0.0246275, bi_search=6.47324, bi_subSolve=0.0759648, bi_maintain_time=0.0372727, admm_maintain=0.0891529, area4=-nan, infea=79.7585, d_obj=41.495, overall time=80.6193
i=11, a_nnz=8.62344, ever_a_nnz=11.19, b_nnz=65.243, uni_search=1.15548, uni_subSolve=0.0775543, uni_maintain_time=0.0344113, bi_search=6.50521, bi_subSolve=0.0892583, bi_maintain_time=0.0458895, admm_maintain=0.0847285, area4=-nan, infea=82.1435, d_obj=104.408, overall time=88.6909
i=12, a_nnz=8.92622, ever_a_nnz=11.7565, b_nnz=71.5291, uni_search=1.12374, uni_subSolve=0.0695315, uni_maintain_time=0.0269445, bi_search=6.52384, bi_subSolve=0.127321, bi_maintain_time=0.0695519, admm_maintain=0.113968, area4=-nan, infea=81.6606, d_obj=234.273, overall time=96.85
