using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=0, a_nnz=3.33634, ever_a_nnz=3.33634, b_nnz=6.05859, uni_search=0.423475, uni_subSolve=0.0204303, uni_maintain_time=0.0131637, bi_search=6.45148, bi_subSolve=0.0174856, bi_maintain_time=0.0196806, admm_maintain=0.00667184, area4=-nan, infea=60.4745, d_obj=-25.4534, overall time=6.98996
i=1, a_nnz=4.13036, ever_a_nnz=4.13554, b_nnz=9.30846, uni_search=0.55392, uni_subSolve=0.0281121, uni_maintain_time=0.0134248, bi_search=6.43036, bi_subSolve=0.025807, bi_maintain_time=0.0258232, admm_maintain=0.0120861, area4=-nan, infea=125.543, d_obj=53.4211, overall time=14.0975
i=2, a_nnz=4.92989, ever_a_nnz=4.94225, b_nnz=13.0643, uni_search=0.624891, uni_subSolve=0.0323158, uni_maintain_time=0.0149986, bi_search=6.43546, bi_subSolve=0.0347185, bi_maintain_time=0.0319185, admm_maintain=0.0160254, area4=-nan, infea=173.242, d_obj=-27.0752, overall time=21.3111
i=3, a_nnz=5.65999, ever_a_nnz=5.68453, b_nnz=17.0711, uni_search=0.701759, uni_subSolve=0.0378677, uni_maintain_time=0.0166324, bi_search=6.40354, bi_subSolve=0.0239511, bi_maintain_time=0.0178798, admm_maintain=0.0120353, area4=-nan, infea=188.705, d_obj=-160.57, overall time=28.5411
i=4, a_nnz=6.30229, ever_a_nnz=6.34185, b_nnz=21.0876, uni_search=0.573903, uni_subSolve=0.0208357, uni_maintain_time=0.0143088, bi_search=6.39956, bi_subSolve=0.0200381, bi_maintain_time=0.01245, admm_maintain=0.0159167, area4=-nan, infea=221.929, d_obj=-187.999, overall time=35.6182
i=5, a_nnz=6.8658, ever_a_nnz=6.92322, b_nnz=25.0471, uni_search=0.638642, uni_subSolve=0.0259816, uni_maintain_time=0.0161735, bi_search=6.40166, bi_subSolve=0.0234716, bi_maintain_time=0.0137074, admm_maintain=0.0169827, area4=-nan, infea=232.786, d_obj=-235.992, overall time=42.7749
i=6, a_nnz=7.36655, ever_a_nnz=7.43799, b_nnz=28.8828, uni_search=0.671474, uni_subSolve=0.0274754, uni_maintain_time=0.0159263, bi_search=6.40793, bi_subSolve=0.0260332, bi_maintain_time=0.0147494, admm_maintain=0.0180545, area4=-nan, infea=247.731, d_obj=-286.54, overall time=49.9806
i=7, a_nnz=7.80788, ever_a_nnz=7.89317, b_nnz=32.5305, uni_search=0.708597, uni_subSolve=0.0303745, uni_maintain_time=0.0164744, bi_search=6.41302, bi_subSolve=0.028461, bi_maintain_time=0.0154274, admm_maintain=0.0201296, area4=-nan, infea=253.89, d_obj=-331.717, overall time=57.2374
i=8, a_nnz=8.19112, ever_a_nnz=8.28977, b_nnz=35.9379, uni_search=0.741435, uni_subSolve=0.0321571, uni_maintain_time=0.0167913, bi_search=6.41784, bi_subSolve=0.0332011, bi_maintain_time=0.0176788, admm_maintain=0.0299039, area4=-nan, infea=257.99, d_obj=-372.807, overall time=64.5604
i=9, a_nnz=8.53564, ever_a_nnz=8.64296, b_nnz=39.1646, uni_search=0.801296, uni_subSolve=0.0391335, uni_maintain_time=0.0198083, bi_search=6.44, bi_subSolve=0.0376096, bi_maintain_time=0.0195348, admm_maintain=0.0358978, area4=-nan, infea=269.288, d_obj=-413.537, p_obj=7797.42......., heldout Acc=0.986215, overall time=71.9867
i=10, a_nnz=8.84961, ever_a_nnz=8.96795, b_nnz=42.2627, uni_search=0.940963, uni_subSolve=0.0649201, uni_maintain_time=0.0258519, bi_search=6.48186, bi_subSolve=0.0551249, bi_maintain_time=0.0271771, admm_maintain=0.0413837, area4=-nan, infea=257.349, d_obj=-478.82, overall time=79.6724
