using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=0, a_nnz=3.38141, ever_a_nnz=3.38141, b_nnz=6.46553, uni_search=0.522767, uni_subSolve=0.0261476, uni_maintain_time=0.015321, bi_search=6.58811, bi_subSolve=0.028264, bi_maintain_time=0.0373467, admm_maintain=0.010396, area4=-nan, infea=23.2178, d_obj=-198.33, overall time=7.29716
i=1, a_nnz=4.28159, ever_a_nnz=4.28626, b_nnz=10.3587, uni_search=0.672211, uni_subSolve=0.0364622, uni_maintain_time=0.0155281, bi_search=6.60445, bi_subSolve=0.0477286, bi_maintain_time=0.0558465, admm_maintain=0.0173912, area4=-nan, infea=37.0414, d_obj=-377.105, overall time=14.764
i=2, a_nnz=5.03956, ever_a_nnz=5.05675, b_nnz=14.346, uni_search=0.722062, uni_subSolve=0.039472, uni_maintain_time=0.016554, bi_search=6.6114, bi_subSolve=0.0602211, bi_maintain_time=0.0656315, admm_maintain=0.0340095, area4=-nan, infea=56.2286, d_obj=-445.356, overall time=22.3409
i=3, a_nnz=5.72943, ever_a_nnz=5.77049, b_nnz=18.5069, uni_search=0.977433, uni_subSolve=0.0658386, uni_maintain_time=0.0215745, bi_search=6.60482, bi_subSolve=0.0710818, bi_maintain_time=0.0638316, admm_maintain=0.0186752, area4=-nan, infea=71.6594, d_obj=-641.96, overall time=30.1873
i=4, a_nnz=6.31748, ever_a_nnz=6.38124, b_nnz=22.4707, uni_search=0.723537, uni_subSolve=0.0384514, uni_maintain_time=0.017056, bi_search=6.5842, bi_subSolve=0.0866941, bi_maintain_time=0.0738585, admm_maintain=0.0409462, area4=-nan, infea=81.4077, d_obj=-706.606, overall time=37.7986
i=5, a_nnz=6.85361, ever_a_nnz=6.94325, b_nnz=26.4108, uni_search=1.08596, uni_subSolve=0.087013, uni_maintain_time=0.0251239, bi_search=6.65571, bi_subSolve=0.12736, bi_maintain_time=0.113533, admm_maintain=0.0401197, area4=-nan, infea=93.7639, d_obj=-762.66, overall time=46.0037
i=6, a_nnz=7.32666, ever_a_nnz=7.43565, b_nnz=30.1721, uni_search=1.01868, uni_subSolve=0.0749508, uni_maintain_time=0.0302647, bi_search=6.62187, bi_subSolve=0.0993414, bi_maintain_time=0.070418, admm_maintain=0.0521073, area4=-nan, infea=101.385, d_obj=-855.259, overall time=54.0222
i=7, a_nnz=7.77533, ever_a_nnz=7.90319, b_nnz=33.9676, uni_search=1.04296, uni_subSolve=0.0788545, uni_maintain_time=0.0310817, bi_search=6.65499, bi_subSolve=0.125338, bi_maintain_time=0.0870175, admm_maintain=0.0654617, area4=-nan, infea=105.675, d_obj=-954.687, overall time=62.1722
i=8, a_nnz=8.15623, ever_a_nnz=8.30796, b_nnz=37.4994, uni_search=1.22918, uni_subSolve=0.107561, uni_maintain_time=0.0285331, bi_search=6.62989, bi_subSolve=0.159757, bi_maintain_time=0.112572, admm_maintain=0.0594961, area4=-nan, infea=109.347, d_obj=-1042.05, overall time=70.5694
i=9, a_nnz=8.50292, ever_a_nnz=8.66967, b_nnz=40.8045, uni_search=1.28994, uni_subSolve=0.119607, uni_maintain_time=0.0289717, bi_search=6.63712, bi_subSolve=0.161526, bi_maintain_time=0.110158, admm_maintain=0.0530484, area4=-nan, infea=112.109, d_obj=-1093.57, p_obj=8381.36......., heldout Acc=0.984061, overall time=79.0345
i=10, a_nnz=8.8244, ever_a_nnz=9.00033, b_nnz=44.0008, uni_search=1.21218, uni_subSolve=0.0962406, uni_maintain_time=0.0259122, bi_search=6.67887, bi_subSolve=0.16673, bi_maintain_time=0.109616, admm_maintain=0.0996534, area4=-nan, infea=116.325, d_obj=-1141.49, overall time=87.5089
