using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98541, ever_a_nnz=1.98541, b_nnz=2.33045, uni_search=0.635868, uni_subSolve=0.243156, uni_maintain_time=0.0503527, bi_search=0.0477703, bi_subSolve=0.0300312, bi_maintain_time=0.0172616, admm_maintain=0.0462661, area4=1.00451, infea=928.108, d_obj=-3229.44, overall time=1.37474
i=1, a_nnz=2.49642, ever_a_nnz=2.51874, b_nnz=4.03811, uni_search=1.06541, uni_subSolve=0.387941, uni_maintain_time=0.0605206, bi_search=0.0776907, bi_subSolve=0.0489844, bi_maintain_time=0.0356828, admm_maintain=0.0615969, area4=1.01037, infea=1136.16, d_obj=-3866.35, overall time=3.12321
i=2, a_nnz=2.93271, ever_a_nnz=2.99088, b_nnz=5.75623, uni_search=1.18573, uni_subSolve=0.391294, uni_maintain_time=0.0599104, bi_search=0.101949, bi_subSolve=0.073526, bi_maintain_time=0.0420306, admm_maintain=0.101237, area4=1.01507, infea=1203.35, d_obj=-1729.4, overall time=5.0892
i=3, a_nnz=3.31164, ever_a_nnz=3.41171, b_nnz=7.46777, uni_search=1.32022, uni_subSolve=0.427685, uni_maintain_time=0.0632871, bi_search=0.118344, bi_subSolve=0.0962921, bi_maintain_time=0.0529744, admm_maintain=0.12706, area4=1.02016, infea=1118.77, d_obj=310.333, overall time=7.3072
i=4, a_nnz=3.65486, ever_a_nnz=3.7989, b_nnz=9.19294, uni_search=1.55595, uni_subSolve=0.513981, uni_maintain_time=0.0695339, bi_search=0.111504, bi_subSolve=0.101805, bi_maintain_time=0.0537992, admm_maintain=0.145162, area4=1.02621, infea=1057.47, d_obj=1820.54, overall time=9.87104
i=5, a_nnz=3.96933, ever_a_nnz=4.16189, b_nnz=10.9581, uni_search=1.68758, uni_subSolve=0.539946, uni_maintain_time=0.0733355, bi_search=0.107743, bi_subSolve=0.0992416, bi_maintain_time=0.051742, admm_maintain=0.0929032, area4=1.02957, infea=1050.49, d_obj=2847.33, overall time=12.5355
i=6, a_nnz=4.2611, ever_a_nnz=4.5065, b_nnz=12.7374, uni_search=1.13045, uni_subSolve=0.317204, uni_maintain_time=0.0683306, bi_search=0.136647, bi_subSolve=0.131372, bi_maintain_time=0.0645109, admm_maintain=0.155636, area4=1.02861, infea=1094.49, d_obj=3683.59, overall time=14.5504
i=7, a_nnz=4.53228, ever_a_nnz=4.83686, b_nnz=14.5661, uni_search=1.97882, uni_subSolve=0.620221, uni_maintain_time=0.0799913, bi_search=0.183294, bi_subSolve=0.178439, bi_maintain_time=0.0817327, admm_maintain=0.207309, area4=1.02985, infea=1126.8, d_obj=4570.41, overall time=17.8922
i=8, a_nnz=4.78695, ever_a_nnz=5.16347, b_nnz=16.4922, uni_search=2.26427, uni_subSolve=0.802552, uni_maintain_time=0.0890551, bi_search=0.200986, bi_subSolve=0.204278, bi_maintain_time=0.0882233, admm_maintain=0.224741, area4=1.03129, infea=1155.42, d_obj=5641.14, overall time=21.7786
i=9, a_nnz=5.01733, ever_a_nnz=5.4742, b_nnz=18.461, uni_search=2.61461, uni_subSolve=1.05009, uni_maintain_time=0.10783, bi_search=0.298537, bi_subSolve=0.26839, bi_maintain_time=0.107775, admm_maintain=0.35583, area4=1.02861, infea=1145.7, d_obj=6854.01, overall time=26.5933
i=10, a_nnz=5.23451, ever_a_nnz=5.7737, b_nnz=20.5363, uni_search=2.68874, uni_subSolve=1.13586, uni_maintain_time=0.108158, bi_search=0.384002, bi_subSolve=0.369535, bi_maintain_time=0.132877, admm_maintain=0.358195, area4=1.03235, infea=1122.43, d_obj=8104.53, overall time=31.7823
