using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98541, ever_a_nnz=1.98541, b_nnz=2.33045, uni_search=0.884751, uni_subSolve=0.382206, uni_maintain_time=0.0592412, bi_search=0.101194, bi_subSolve=0.0445601, bi_maintain_time=0.0235156, admm_maintain=0.0621401, area4=1.00451, infea=928.108, d_obj=-3229.44, overall time=2.17866
i=1, a_nnz=2.49642, ever_a_nnz=2.51874, b_nnz=4.03811, uni_search=1.27447, uni_subSolve=0.43731, uni_maintain_time=0.0650324, bi_search=0.0826494, bi_subSolve=0.0494783, bi_maintain_time=0.0304448, admm_maintain=0.0699242, area4=1.01037, infea=1136.16, d_obj=-3866.35, overall time=4.35511
i=2, a_nnz=2.93271, ever_a_nnz=2.99088, b_nnz=5.75623, uni_search=1.55584, uni_subSolve=0.575976, uni_maintain_time=0.0669287, bi_search=0.170219, bi_subSolve=0.118909, bi_maintain_time=0.0562837, admm_maintain=0.21758, area4=1.01507, infea=1203.35, d_obj=-1729.4, overall time=7.47767
i=3, a_nnz=3.31164, ever_a_nnz=3.41171, b_nnz=7.46777, uni_search=1.86065, uni_subSolve=0.513196, uni_maintain_time=0.0685618, bi_search=0.183457, bi_subSolve=0.162555, bi_maintain_time=0.0698259, admm_maintain=0.158288, area4=1.02016, infea=1118.77, d_obj=310.333, overall time=10.7528
i=4, a_nnz=3.65486, ever_a_nnz=3.7989, b_nnz=9.19294, uni_search=2.4778, uni_subSolve=0.85187, uni_maintain_time=0.0818847, bi_search=0.228869, bi_subSolve=0.181345, bi_maintain_time=0.0752743, admm_maintain=0.204532, area4=1.02621, infea=1057.47, d_obj=1820.54, overall time=15.2247
i=5, a_nnz=3.96933, ever_a_nnz=4.16189, b_nnz=10.9581, uni_search=2.45811, uni_subSolve=0.951959, uni_maintain_time=0.122859, bi_search=0.188429, bi_subSolve=0.229648, bi_maintain_time=0.112525, admm_maintain=0.40512, area4=1.02957, infea=1050.49, d_obj=2847.33, overall time=20.0085
i=6, a_nnz=4.2611, ever_a_nnz=4.5065, b_nnz=12.7374, uni_search=1.61063, uni_subSolve=0.526081, uni_maintain_time=0.0715258, bi_search=0.25298, bi_subSolve=0.230294, bi_maintain_time=0.0941841, admm_maintain=0.253402, area4=1.02861, infea=1094.49, d_obj=3683.59, overall time=23.547
i=7, a_nnz=4.53228, ever_a_nnz=4.83686, b_nnz=14.5661, uni_search=2.21848, uni_subSolve=0.753538, uni_maintain_time=0.0916878, bi_search=0.182428, bi_subSolve=0.18229, bi_maintain_time=0.0822813, admm_maintain=0.206738, area4=1.02985, infea=1126.8, d_obj=4570.41, overall time=27.5711
i=8, a_nnz=4.78695, ever_a_nnz=5.16347, b_nnz=16.4922, uni_search=2.15612, uni_subSolve=0.668449, uni_maintain_time=0.0957208, bi_search=0.205763, bi_subSolve=0.212115, bi_maintain_time=0.0891058, admm_maintain=0.231497, area4=1.03129, infea=1155.42, d_obj=5641.14, overall time=31.5489
i=9, a_nnz=5.01733, ever_a_nnz=5.4742, b_nnz=18.461, uni_search=2.37316, uni_subSolve=0.749063, uni_maintain_time=0.0979165, bi_search=0.301146, bi_subSolve=0.255471, bi_maintain_time=0.131463, admm_maintain=0.26318, area4=1.02861, infea=1145.7, d_obj=6854.01, p_obj=961292, heldout Acc=0.991111, overall time=36.1092
i=10, a_nnz=5.23086, ever_a_nnz=5.77111, b_nnz=20.5179, uni_search=3.35026, uni_subSolve=1.02668, uni_maintain_time=0.103057, bi_search=0.305209, bi_subSolve=0.262511, bi_maintain_time=0.116059, admm_maintain=0.349547, area4=1.03504, infea=1117.53, d_obj=8069.16, overall time=42.2723
