using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98738, ever_a_nnz=1.98738, b_nnz=2.20293, uni_search=1.32742, uni_subSolve=0.0603339, uni_maintain_time=0.0345804, bi_search=44.6993, bi_subSolve=0.0158309, bi_maintain_time=0.0150873, admm_maintain=0.0222273, area4=-nan, infea=1530.99, d_obj=-3350.07, overall time=46.3943
i=1, a_nnz=2.41301, ever_a_nnz=2.43101, b_nnz=3.68659, uni_search=2.09763, uni_subSolve=0.106583, uni_maintain_time=0.0468883, bi_search=44.8956, bi_subSolve=0.0279999, bi_maintain_time=0.0283852, admm_maintain=0.0309335, area4=-nan, infea=1669.79, d_obj=-2180.01, overall time=93.7152
i=2, a_nnz=2.74322, ever_a_nnz=2.79275, b_nnz=5.17567, uni_search=2.21736, uni_subSolve=0.108095, uni_maintain_time=0.0498173, bi_search=44.8687, bi_subSolve=0.0386363, bi_maintain_time=0.035089, admm_maintain=0.039939, area4=-nan, infea=1577.77, d_obj=1052.42, overall time=141.168
i=3, a_nnz=3.00917, ever_a_nnz=3.097, b_nnz=6.60134, uni_search=2.38676, uni_subSolve=0.117184, uni_maintain_time=0.0523487, bi_search=44.9097, bi_subSolve=0.0475052, bi_maintain_time=0.0398797, admm_maintain=0.050694, area4=-nan, infea=1344.55, d_obj=3500.92, overall time=188.882
i=4, a_nnz=3.24324, ever_a_nnz=3.36563, b_nnz=7.94533, uni_search=2.5278, uni_subSolve=0.124009, uni_maintain_time=0.0539156, bi_search=44.9033, bi_subSolve=0.0572117, bi_maintain_time=0.0454178, admm_maintain=0.0536616, area4=-nan, infea=1204.74, d_obj=4692.56, overall time=236.75
i=5, a_nnz=3.45649, ever_a_nnz=3.60917, b_nnz=9.17327, uni_search=2.46036, uni_subSolve=0.112696, uni_maintain_time=0.0457091, bi_search=44.7363, bi_subSolve=0.060342, bi_maintain_time=0.0460715, admm_maintain=0.0588745, area4=-nan, infea=1162.01, d_obj=5172.69, overall time=284.376
i=6, a_nnz=3.64891, ever_a_nnz=3.83086, b_nnz=10.2503, uni_search=2.54629, uni_subSolve=0.116632, uni_maintain_time=0.0455061, bi_search=44.7272, bi_subSolve=0.0677461, bi_maintain_time=0.0495651, admm_maintain=0.0645363, area4=-nan, infea=1169.17, d_obj=5515.63, overall time=332.104
i=7, a_nnz=3.82769, ever_a_nnz=4.04099, b_nnz=11.2386, uni_search=2.64368, uni_subSolve=0.122428, uni_maintain_time=0.0469471, bi_search=44.7616, bi_subSolve=0.0777739, bi_maintain_time=0.0537423, admm_maintain=0.0721465, area4=-nan, infea=1191.19, d_obj=6093.77, overall time=380.004
i=8, a_nnz=3.98392, ever_a_nnz=4.23715, b_nnz=12.2353, uni_search=2.8946, uni_subSolve=0.142614, uni_maintain_time=0.0526988, bi_search=44.8347, bi_subSolve=0.0873784, bi_maintain_time=0.056796, admm_maintain=0.0802815, area4=-nan, infea=1173.48, d_obj=6899.21, overall time=428.311
i=9, a_nnz=4.12061, ever_a_nnz=4.41814, b_nnz=13.2508, uni_search=4.08195, uni_subSolve=0.231801, uni_maintain_time=0.0574282, bi_search=46.0552, bi_subSolve=0.142767, bi_maintain_time=0.103296, admm_maintain=0.0888054, area4=-nan, infea=1116.52, d_obj=7839.87, p_obj=107675.........., heldout Acc=0.970354, overall time=479.22
i=10, a_nnz=4.2442, ever_a_nnz=4.5879, b_nnz=14.3743, uni_search=4.18579, uni_subSolve=0.237233, uni_maintain_time=0.0570969, bi_search=46.1905, bi_subSolve=0.157567, bi_maintain_time=0.112227, admm_maintain=0.0932881, area4=-nan, infea=1071.23, d_obj=8907.41, overall time=530.403
