using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98536, ever_a_nnz=1.98536, b_nnz=2.20221, uni_search=1.26429, uni_subSolve=0.0544013, uni_maintain_time=0.0333146, bi_search=44.4575, bi_subSolve=0.0240725, bi_maintain_time=0.0298333, admm_maintain=0.0177506, area4=-nan, infea=1526.81, d_obj=-3350.14, p_obj=1.83207e+06., heldout Acc=0.978222, overall time=46.0563
i=1, a_nnz=2.40926, ever_a_nnz=2.42736, b_nnz=3.68313, uni_search=1.50823, uni_subSolve=0.0473052, uni_maintain_time=0.0257668, bi_search=44.0653, bi_subSolve=0.0199871, bi_maintain_time=0.019081, admm_maintain=0.0231147, area4=-nan, infea=1660.47, d_obj=-2203.93, p_obj=1.39453e+06., heldout Acc=0.965778 (1/50), overall time=91.8202
i=2, a_nnz=2.74082, ever_a_nnz=2.78666, b_nnz=5.17, uni_search=1.98239, uni_subSolve=0.0714868, uni_maintain_time=0.0296522, bi_search=44.0346, bi_subSolve=0.0405919, bi_maintain_time=0.0487364, admm_maintain=0.0297295, area4=-nan, infea=1581.25, d_obj=1080.92, p_obj=1.21432e+06., heldout Acc=0.981333, overall time=138.124
i=3, a_nnz=3.00989, ever_a_nnz=3.09167, b_nnz=6.59645, uni_search=2.178, uni_subSolve=0.0805427, uni_maintain_time=0.0321586, bi_search=43.9209, bi_subSolve=0.0493157, bi_maintain_time=0.0573632, admm_maintain=0.0386723, area4=-nan, infea=1345.17, d_obj=3479.46, p_obj=1.24176e+06., heldout Acc=0.972889 (1/50), overall time=184.558
i=4, a_nnz=3.2491, ever_a_nnz=3.36223, b_nnz=7.94682, uni_search=2.29611, uni_subSolve=0.0863048, uni_maintain_time=0.032756, bi_search=43.8565, bi_subSolve=0.0598522, bi_maintain_time=0.0609558, admm_maintain=0.0604715, area4=-nan, infea=1203.28, d_obj=4722.54, p_obj=1.24425e+06., heldout Acc=0.980889 (2/50), overall time=231.134
i=5, a_nnz=3.46139, ever_a_nnz=3.60749, b_nnz=9.18743, uni_search=2.41878, uni_subSolve=0.0919942, uni_maintain_time=0.0333766, bi_search=43.8995, bi_subSolve=0.0689259, bi_maintain_time=0.0653874, admm_maintain=0.052516, area4=-nan, infea=1177.17, d_obj=5209.66, p_obj=1.29455e+06., heldout Acc=0.98 (3/50), overall time=277.861
i=6, a_nnz=3.65222, ever_a_nnz=3.82808, b_nnz=10.2505, uni_search=2.56056, uni_subSolve=0.0984846, uni_maintain_time=0.0343667, bi_search=44.4326, bi_subSolve=0.0776581, bi_maintain_time=0.0799545, admm_maintain=0.060607, area4=-nan, infea=1164.88, d_obj=5482.35, p_obj=1.30151e+06., heldout Acc=0.974667 (4/50), overall time=325.309
i=7, a_nnz=3.83225, ever_a_nnz=4.04104, b_nnz=11.2498, uni_search=3.35737, uni_subSolve=0.154906, uni_maintain_time=0.0510309, bi_search=45.2437, bi_subSolve=0.114234, bi_maintain_time=0.105364, admm_maintain=0.0886103, area4=-nan, infea=1185.01, d_obj=6066.32, p_obj=1.21794e+06., heldout Acc=0.986667, overall time=374.583
i=8, a_nnz=3.98613, ever_a_nnz=4.23585, b_nnz=12.2281, uni_search=3.02837, uni_subSolve=0.121399, uni_maintain_time=0.0388543, bi_search=44.2962, bi_subSolve=0.0987428, bi_maintain_time=0.0802372, admm_maintain=0.0671404, area4=-nan, infea=1171.93, d_obj=6905.19, p_obj=1.26578e+06., heldout Acc=0.980444 (1/50), overall time=422.473
i=9, a_nnz=4.12565, ever_a_nnz=4.41968, b_nnz=13.2854, uni_search=3.70657, uni_subSolve=0.174087, uni_maintain_time=0.0623849, bi_search=45.0001, bi_subSolve=0.12924, bi_maintain_time=0.0990503, admm_maintain=0.10611, area4=-nan, infea=1136.71, d_obj=7912.52, p_obj=1.22685e+06., heldout Acc=0.990222, overall time=471.911
i=10, a_nnz=4.24809, ever_a_nnz=4.59054, b_nnz=14.4257, uni_search=3.36679, uni_subSolve=0.156711, uni_maintain_time=0.0450845, bi_search=44.2671, bi_subSolve=0.144898, bi_maintain_time=0.0957228, admm_maintain=0.0959099, area4=-nan, infea=1074.29, d_obj=8865.38, p_obj=1.23356e+06., heldout Acc=0.976444 (1/50), overall time=520.238
