using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=1.98325, ever_a_nnz=1.98325, b_nnz=1.67281, uni_search=1.65195, uni_subSolve=0.0825422, uni_maintain_time=0.0368581, bi_search=45.7321, bi_subSolve=0.0272074, bi_maintain_time=0.0259151, admm_maintain=0.0143589, area4=-nan, infea=20618.7, d_obj=14673.8, p_obj=1.66511e+06., heldout Acc=0.923111, overall time=47.8684
i=1, a_nnz=2.61085, ever_a_nnz=2.61147, b_nnz=2.90823, uni_search=2.03678, uni_subSolve=0.0808217, uni_maintain_time=0.0356502, bi_search=45.3236, bi_subSolve=0.0261278, bi_maintain_time=0.0243966, admm_maintain=0.0168561, area4=-nan, infea=13492.3, d_obj=10335.5, p_obj=1.38588e+06., heldout Acc=0.934222, overall time=95.4874
i=2, a_nnz=3.09666, ever_a_nnz=3.09945, b_nnz=4.34106, uni_search=3.01136, uni_subSolve=0.134763, uni_maintain_time=0.041496, bi_search=49.1279, bi_subSolve=0.0680489, bi_maintain_time=0.0652278, admm_maintain=0.0342633, area4=-nan, infea=9146.39, d_obj=3827.49, p_obj=1.28529e+06., heldout Acc=0.933333 (1/50), overall time=148.099
i=3, a_nnz=3.44329, ever_a_nnz=3.44862, b_nnz=5.70046, uni_search=3.17197, uni_subSolve=0.134478, uni_maintain_time=0.0410702, bi_search=48.911, bi_subSolve=0.0805698, bi_maintain_time=0.0790516, admm_maintain=0.0347421, area4=-nan, infea=6582.36, d_obj=-331.411, p_obj=1.15038e+06., heldout Acc=0.974667, overall time=200.668
i=4, a_nnz=3.72489, ever_a_nnz=3.733, b_nnz=7.04843, uni_search=2.90599, uni_subSolve=0.117979, uni_maintain_time=0.0360616, bi_search=45.2681, bi_subSolve=0.0510139, bi_maintain_time=0.0457161, admm_maintain=0.0267566, area4=-nan, infea=5002.74, d_obj=-2933.69, p_obj=1.1772e+06., heldout Acc=0.963111 (1/50), overall time=249.189
i=5, a_nnz=3.96875, ever_a_nnz=3.97912, b_nnz=8.41776, uni_search=2.902, uni_subSolve=0.118702, uni_maintain_time=0.0380172, bi_search=45.2418, bi_subSolve=0.0685412, bi_maintain_time=0.0581275, admm_maintain=0.0349555, area4=-nan, infea=4056.3, d_obj=-4699.37, p_obj=1.14719e+06., heldout Acc=0.980889, overall time=297.738
i=6, a_nnz=4.18618, ever_a_nnz=4.19837, b_nnz=9.78421, uni_search=3.64763, uni_subSolve=0.147091, uni_maintain_time=0.0431792, bi_search=50.467, bi_subSolve=0.103451, bi_maintain_time=0.0937874, admm_maintain=0.057712, area4=-nan, infea=3385.14, d_obj=-6054.68, p_obj=1.1464e+06., heldout Acc=0.983556, overall time=352.448
i=7, a_nnz=4.38733, ever_a_nnz=4.40134, b_nnz=11.2013, uni_search=2.60045, uni_subSolve=0.092548, uni_maintain_time=0.0375451, bi_search=45.2685, bi_subSolve=0.0546736, bi_maintain_time=0.0349432, admm_maintain=0.0383197, area4=-nan, infea=2992.33, d_obj=-7028.05, p_obj=1.10877e+06., heldout Acc=0.976444 (1/50), overall time=400.658
i=8, a_nnz=4.56659, ever_a_nnz=4.58258, b_nnz=12.6089, uni_search=5.03868, uni_subSolve=0.213236, uni_maintain_time=0.0531906, bi_search=52.4699, bi_subSolve=0.147115, bi_maintain_time=0.121982, admm_maintain=0.0726445, area4=-nan, infea=2598.44, d_obj=-7938.96, p_obj=1.16137e+06., heldout Acc=0.973778 (2/50), overall time=458.908
i=9, a_nnz=4.73578, ever_a_nnz=4.75344, b_nnz=14.0516, uni_search=4.71319, uni_subSolve=0.203996, uni_maintain_time=0.0545462, bi_search=45.7953, bi_subSolve=0.0717633, bi_maintain_time=0.0416619, admm_maintain=0.0576741, area4=-nan, infea=2337.39, d_obj=-8668.35, p_obj=1.05243e+06., heldout Acc=0.984444, overall time=509.966
i=10, a_nnz=4.8946, ever_a_nnz=4.91409, b_nnz=15.5533, uni_search=3.19663, uni_subSolve=0.123921, uni_maintain_time=0.0405182, bi_search=44.8725, bi_subSolve=0.0611766, bi_maintain_time=0.0338572, admm_maintain=0.0472608, area4=-nan, infea=2137.6, d_obj=-9294.79, p_obj=1.04775e+06., heldout Acc=0.983556 (1/50), overall time=558.432
i=11, a_nnz=5.04339, ever_a_nnz=5.06422, b_nnz=17.0537, uni_search=3.41682, uni_subSolve=0.156343, uni_maintain_time=0.0661638, bi_search=45.0621, bi_subSolve=0.0676064, bi_maintain_time=0.0376329, admm_maintain=0.0497016, area4=-nan, infea=1951.86, d_obj=-9870.81, p_obj=1.04274e+06., heldout Acc=0.991111, overall time=607.381
i=12, a_nnz=5.18541, ever_a_nnz=5.2073, b_nnz=18.5857, uni_search=3.13467, uni_subSolve=0.120189, uni_maintain_time=0.0430507, bi_search=45.0627, bi_subSolve=0.0686416, bi_maintain_time=0.0377284, admm_maintain=0.0505092, area4=-nan, infea=1916.8, d_obj=-10260.9, p_obj=999865., heldout Acc=0.986222 (1/50), overall time=655.994
i=13, a_nnz=5.32119, ever_a_nnz=5.34394, b_nnz=20.1079, uni_search=3.01385, uni_subSolve=0.114711, uni_maintain_time=0.0427016, bi_search=45.0357, bi_subSolve=0.0729507, bi_maintain_time=0.0392365, admm_maintain=0.0531196, area4=-nan, infea=1832, d_obj=-10670.4, p_obj=1.00079e+06., heldout Acc=0.990222 (2/50), overall time=704.456
i=14, a_nnz=5.45078, ever_a_nnz=5.47478, b_nnz=21.6925, uni_search=3.06039, uni_subSolve=0.117543, uni_maintain_time=0.0436912, bi_search=45.0445, bi_subSolve=0.0751527, bi_maintain_time=0.0389828, admm_maintain=0.0576626, area4=-nan, infea=1776.61, d_obj=-11036.8, p_obj=956029., heldout Acc=0.987556 (3/50), overall time=752.995
i=15, a_nnz=5.57178, ever_a_nnz=5.59707, b_nnz=23.2788, uni_search=3.65166, uni_subSolve=0.177207, uni_maintain_time=0.0595615, bi_search=45.7088, bi_subSolve=0.114039, bi_maintain_time=0.0563328, admm_maintain=0.0888703, area4=-nan, infea=1699.32, d_obj=-11405.2, p_obj=969183., heldout Acc=0.991556, overall time=803.091
i=16, a_nnz=5.6885, ever_a_nnz=5.71461, b_nnz=24.8623, uni_search=6.12933, uni_subSolve=0.321019, uni_maintain_time=0.0712624, bi_search=48.8711, bi_subSolve=0.216058, bi_maintain_time=0.135669, admm_maintain=0.0968171, area4=-nan, infea=1666.04, d_obj=-11713.3, p_obj=992031., heldout Acc=0.991111 (1/50), overall time=859.102
i=17, a_nnz=5.79678, ever_a_nnz=5.82433, b_nnz=26.4206, uni_search=3.72415, uni_subSolve=0.185325, uni_maintain_time=0.0570355, bi_search=46.7575, bi_subSolve=0.152223, bi_maintain_time=0.0857369, admm_maintain=0.0964426, area4=-nan, infea=1610.74, d_obj=-12027.2, p_obj=968283., heldout Acc=0.992, overall time=910.324
i=18, a_nnz=5.90266, ever_a_nnz=5.93113, b_nnz=28.0042, uni_search=4.19185, uni_subSolve=0.217798, uni_maintain_time=0.0684856, bi_search=47.0522, bi_subSolve=0.171, bi_maintain_time=0.0931034, admm_maintain=0.15897, area4=-nan, infea=1606.46, d_obj=-12275.4, p_obj=941092., heldout Acc=0.996, overall time=962.539
i=19, a_nnz=6.00523, ever_a_nnz=6.03499, b_nnz=29.6314, uni_search=5.50808, uni_subSolve=0.256311, uni_maintain_time=0.0545835, bi_search=49.3686, bi_subSolve=0.232375, bi_maintain_time=0.14682, admm_maintain=0.12873, area4=-nan, infea=1573.7, d_obj=-12542.1, p_obj=835800., heldout Acc=0.992 (1/50), overall time=1018.43
i=20, a_nnz=6.10242, ever_a_nnz=6.1329, b_nnz=31.2286, uni_search=7.15544, uni_subSolve=0.400158, uni_maintain_time=0.0679383, bi_search=48.8186, bi_subSolve=0.354077, bi_maintain_time=0.21385, admm_maintain=0.211179, area4=-nan, infea=1521.94, d_obj=-12816.4, p_obj=918079., heldout Acc=0.988444 (2/50), overall time=1075.94
i=21, a_nnz=6.19909, ever_a_nnz=6.23033, b_nnz=32.8514, uni_search=3.49472, uni_subSolve=0.160247, uni_maintain_time=0.0476906, bi_search=45.1508, bi_subSolve=0.114749, bi_maintain_time=0.052882, admm_maintain=0.0881837, area4=-nan, infea=1540.93, d_obj=-13013, p_obj=881809., heldout Acc=0.992 (3/50), overall time=1125.18
i=22, a_nnz=6.28812, ever_a_nnz=6.32052, b_nnz=34.4473, uni_search=3.86068, uni_subSolve=0.186862, uni_maintain_time=0.0514665, bi_search=50.1994, bi_subSolve=0.201811, bi_maintain_time=0.117123, admm_maintain=0.17152, area4=-nan, infea=1481.61, d_obj=-13274.7, p_obj=835719., heldout Acc=0.990667 (4/50), overall time=1180.21
i=23, a_nnz=6.37543, ever_a_nnz=6.40869, b_nnz=36.052, uni_search=3.41812, uni_subSolve=0.150907, uni_maintain_time=0.0429206, bi_search=45.1601, bi_subSolve=0.130757, bi_maintain_time=0.0591465, admm_maintain=0.0859113, area4=-nan, infea=1449.06, d_obj=-13502.1, p_obj=872629., heldout Acc=0.993333 (5/50), overall time=1229.38
i=24, a_nnz=6.46177, ever_a_nnz=6.49652, b_nnz=37.6988, uni_search=3.61703, uni_subSolve=0.17397, uni_maintain_time=0.0476275, bi_search=44.9208, bi_subSolve=0.121015, bi_maintain_time=0.0541774, admm_maintain=0.0911917, area4=-nan, infea=1429.1, d_obj=-13713.7, p_obj=850522., heldout Acc=0.994667 (6/50), overall time=1278.53
i=25, a_nnz=6.54322, ever_a_nnz=6.57903, b_nnz=39.3196, uni_search=5.46447, uni_subSolve=0.26299, uni_maintain_time=0.0528448, bi_search=51.0591, bi_subSolve=0.258296, bi_maintain_time=0.143294, admm_maintain=0.141198, area4=-nan, infea=1396.94, d_obj=-13929.1, p_obj=872671., heldout Acc=0.991111 (7/50), overall time=1336.16
i=26, a_nnz=6.62409, ever_a_nnz=6.66096, b_nnz=40.9801, uni_search=3.89569, uni_subSolve=0.207866, uni_maintain_time=0.0536268, bi_search=46.8597, bi_subSolve=0.175875, bi_maintain_time=0.0860834, admm_maintain=0.114162, area4=-nan, infea=1391.13, d_obj=-14111.5
