using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=0, a_nnz=2.00562, ever_a_nnz=2.00562, b_nnz=1.85366, uni_search=1.87985, uni_subSolve=0.109072, uni_maintain_time=0.0384951, bi_search=49.0835, bi_subSolve=0.0532138, bi_maintain_time=0.0530645, admm_maintain=0.0161354, area4=-nan, infea=3083.48, d_obj=-4842.37, p_obj=1.69546e+06., heldout Acc=0.949333, overall time=51.4932
i=1, a_nnz=2.44771, ever_a_nnz=2.45356, b_nnz=3.1437, uni_search=1.58764, uni_subSolve=0.0537055, uni_maintain_time=0.0266693, bi_search=43.6616, bi_subSolve=0.016734, bi_maintain_time=0.0171862, admm_maintain=0.0140887, area4=-nan, infea=2491.89, d_obj=-8427.62, p_obj=1.37929e+06., heldout Acc=0.944889 (1/50), overall time=96.9667
i=2, a_nnz=2.79309, ever_a_nnz=2.80346, b_nnz=4.39808, uni_search=1.9218, uni_subSolve=0.0692838, uni_maintain_time=0.0290002, bi_search=44.5689, bi_subSolve=0.0489058, bi_maintain_time=0.0574344, admm_maintain=0.023042, area4=-nan, infea=2245.87, d_obj=-10631.8, p_obj=1.29165e+06., heldout Acc=0.973333, overall time=143.782
i=3, a_nnz=3.05971, ever_a_nnz=3.07411, b_nnz=5.60466, uni_search=2.02038, uni_subSolve=0.0722144, uni_maintain_time=0.0311923, bi_search=45.4744, bi_subSolve=0.0722919, bi_maintain_time=0.079186, admm_maintain=0.0464662, area4=-nan, infea=1976.81, d_obj=-12247.5, p_obj=1.20824e+06., heldout Acc=0.970667 (1/50), overall time=191.722
i=4, a_nnz=3.27886, ever_a_nnz=3.29743, b_nnz=6.76755, uni_search=2.61141, uni_subSolve=0.111435, uni_maintain_time=0.0422461, bi_search=44.4844, bi_subSolve=0.0614032, bi_maintain_time=0.0597402, admm_maintain=0.0359038, area4=-nan, infea=1769.58, d_obj=-13504.2, p_obj=1.19477e+06., heldout Acc=0.985333, overall time=239.23
i=5, a_nnz=3.46052, ever_a_nnz=3.48222, b_nnz=7.86235, uni_search=2.70204, uni_subSolve=0.115482, uni_maintain_time=0.050943, bi_search=44.8288, bi_subSolve=0.0782816, bi_maintain_time=0.0789416, admm_maintain=0.0981856, area4=-nan, infea=1581.55, d_obj=-14536.5, p_obj=1.08965e+06., heldout Acc=0.988444, overall time=287.462
i=6, a_nnz=3.61128, ever_a_nnz=3.63638, b_nnz=8.89551, uni_search=3.63474, uni_subSolve=0.177936, uni_maintain_time=0.050804, bi_search=46.652, bi_subSolve=0.130933, bi_maintain_time=0.135422, admm_maintain=0.0885271, area4=-nan, infea=1426.91, d_obj=-15391.2, p_obj=1.0264e+06., heldout Acc=0.992, overall time=338.465
i=7, a_nnz=3.74183, ever_a_nnz=3.77067, b_nnz=9.87228, uni_search=3.09874, uni_subSolve=0.140197, uni_maintain_time=0.0474955, bi_search=45.0354, bi_subSolve=0.125444, bi_maintain_time=0.122694, admm_maintain=0.0496526, area4=-nan, infea=1308.76, d_obj=-16092.7, p_obj=984624., heldout Acc=0.991111 (1/50), overall time=387.209
i=8, a_nnz=3.85692, ever_a_nnz=3.88879, b_nnz=10.8057, uni_search=2.36493, uni_subSolve=0.0870794, uni_maintain_time=0.0337968, bi_search=45.2749, bi_subSolve=0.130663, bi_maintain_time=0.122185, admm_maintain=0.136097, area4=-nan, infea=1215.57, d_obj=-16678, p_obj=965129., heldout Acc=0.970667 (2/50), overall time=435.607
i=9, a_nnz=3.95935, ever_a_nnz=3.99491, b_nnz=11.7021, uni_search=2.82983, uni_subSolve=0.122378, uni_maintain_time=0.0410626, bi_search=44.4524, bi_subSolve=0.106034, bi_maintain_time=0.0921396, admm_maintain=0.0454244, area4=-nan, infea=1144.47, d_obj=-17177.2, p_obj=974012., heldout Acc=0.983111 (3/50), overall time=483.401
i=10, a_nnz=4.05092, ever_a_nnz=4.08879, b_nnz=12.5567, uni_search=3.18257, uni_subSolve=0.147948, uni_maintain_time=0.0420334, bi_search=44.4135, bi_subSolve=0.102391, bi_maintain_time=0.0815387, admm_maintain=0.0564438, area4=-nan, infea=1069.75, d_obj=-17625.8, p_obj=939494., heldout Acc=0.989778 (4/50), overall time=531.581
